Decision Tree & 13.22% & 86.29% & 86.78% & 86.33% & 739.60ms \\
Decision Stump & 50.32% & 25.42% & 49.68% & 33.40% & 98.30ms \\
Decision List & 13.28% & 86.19% & 86.72% & 86.28% & 2891.60ms \\
Decision Table & 20.55% & 83.58% & 79.45% & 79.51% & 6432.40ms \\
Naive Bayes & 35.17% & 67.19% & 64.83% & 64.80% & 610.40ms \\
Random Forrest & 11.27% & 88.25% & 88.73% & 88.35% & 8651.40ms \\
Support Vector Machine & 39.01% & 45.14% & 60.99% & 50.36% & 13692.50ms \\
Multilayer Perceptron & 21.17% & 78.67% & 78.83% & 77.47% & 461748.00ms \\
