@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
2,9,WEIGHT
12,51,PRODUCT_SIZE
2,8,SCREEN_SIZE
6,38,TITLE
1,6,PRICE
1,15,NETWORK_4G
4,46,NETWORK_3G
2,9,WEIGHT
12,51,PRODUCT_SIZE
7,27,TITLE
1,8,DEVICE_TYPE
1,5,BRAND
1,7,PRICE
2,15,BATTERY_CAPACITY
5,31,CPU
2,9,WEIGHT
12,52,PRODUCT_SIZE
1,9,SCREEN_SIZE
3,11,SCREEN_RESOLUTION
6,32,TITLE
1,7,PRICE
5,38,BATTERY_CAPACITY
2,10,GPU
2,9,WEIGHT
12,51,PRODUCT_SIZE
4,18,TITLE
1,6,PRICE
2,14,BATTERY_CAPACITY
1,6,CPU
2,9,WEIGHT
12,51,PRODUCT_SIZE
4,19,TITLE
1,6,PRICE
2,14,BATTERY_CAPACITY
1,7,CPU
2,9,WEIGHT
12,50,PRODUCT_SIZE
4,20,TITLE
3,22,OS
1,7,PRICE
2,14,BATTERY_CAPACITY
4,27,CPU
2,9,WEIGHT
12,52,PRODUCT_SIZE
7,33,TITLE
1,7,PRICE
7,51,BATTERY_CAPACITY
2,14,GPU
2,10,CPU
6,36,CPU_CORES
2,8,WEIGHT
12,51,PRODUCT_SIZE
2,8,SCREEN_SIZE
4,18,SCREEN_RESOLUTION
5,27,TITLE
1,8,BRAND
1,6,PRICE
3,13,GPU
12,51,PRODUCT_SIZE
8,31,TITLE
1,6,BRAND
1,7,PRICE
5,38,BATTERY_CAPACITY
12,52,PRODUCT_SIZE
1,6,PRICE
4,17,TITLE
1,4,BRAND
1,7,PRICE
4,31,BATTERY_CAPACITY
1,9,GPU
1,6,CPU
2,9,WEIGHT
2,8,SCREEN_SIZE
5,25,TITLE
3,12,OS
1,7,PRICE
1,12,BATTERY_CAPACITY
2,9,WEIGHT
12,52,PRODUCT_SIZE
2,9,SCREEN_SIZE
3,11,SCREEN_RESOLUTION
5,22,TITLE
1,6,PRICE
2,9,WEIGHT
12,51,PRODUCT_SIZE
5,26,TITLE
7,29,SIM_CARD_SLOT
1,7,PRICE
4,44,NETWORK_4G
5,38,BATTERY_CAPACITY
1,8,CPU
2,9,WEIGHT
12,51,PRODUCT_SIZE
7,30,TITLE
1,3,BRAND
1,8,GPU
2,16,CPU_CORES
2,8,WEIGHT
12,48,PRODUCT_SIZE
15,77,TITLE
1,6,PRICE
8,31,TITLE
1,7,PRICE
7,51,BATTERY_CAPACITY
2,14,CPU_CORES
2,9,WEIGHT
12,52,PRODUCT_SIZE
5,26,TITLE
3,25,SIM_CARD_SLOT
2,10,BRAND
1,7,PRICE
2,43,NETWORK_4G
2,26,NETWORK_3G
2,17,NETWORK_TYPE
1,13,BATTERY_CAPACITY
1,7,CPU
2,8,WEIGHT
12,51,PRODUCT_SIZE
3,17,TITLE
1,7,PRICE
2,14,BATTERY_CAPACITY
2,9,WEIGHT
19,115,TITLE
2,11,OS
1,7,PRICE
6,37,NETWORK_3G
2,11,CPU
2,19,CPU_CORES
2,8,WEIGHT
6,21,PRODUCT_SIZE
4,20,TITLE
1,7,PRICE
1,7,CPU
2,9,WEIGHT
12,52,PRODUCT_SIZE
3,10,SCREEN_RESOLUTION
1,6,PRICE
4,17,TITLE
1,6,PRICE
5,38,BATTERY_CAPACITY
12,51,PRODUCT_SIZE
8,45,TITLE
1,6,PRICE
4,31,BATTERY_CAPACITY
2,10,GPU
4,29,CPU
2,9,WEIGHT
12,51,PRODUCT_SIZE
4,22,TITLE
1,7,PRICE
6,48,BATTERY_CAPACITY
2,9,WEIGHT
12,51,PRODUCT_SIZE
7,38,TITLE
9,55,SIM_CARD_SLOT
1,7,PRICE
1,7,BATTERY_CAPACITY
1,10,GPU
1,7,CPU
2,16,CPU_CORES
5,29,CAMERA_BACK
2,8,WEIGHT
12,49,PRODUCT_SIZE
7,40,TITLE
1,7,PRICE
2,13,GPU
3,19,CPU
2,9,WEIGHT
12,51,PRODUCT_SIZE
6,25,TITLE
1,7,PRICE
2,10,GPU
1,7,CPU
6,43,CPU_CORES
2,9,WEIGHT
12,50,PRODUCT_SIZE
2,8,SCREEN_SIZE
8,49,TITLE
7,28,TITLE
2,9,WEIGHT
12,50,PRODUCT_SIZE
7,40,TITLE
4,19,SIM_CARD_SLOT
1,7,PRICE
4,50,NETWORK_4G
5,41,NETWORK_TYPE
3,23,CPU
12,50,PRODUCT_SIZE
6,29,TITLE
1,7,PRICE
2,9,WEIGHT
12,52,PRODUCT_SIZE
11,55,TITLE
2,23,DEVICE_TYPE
1,7,PRICE
1,12,BATTERY_CAPACITY
2,9,WEIGHT
12,52,PRODUCT_SIZE
6,33,TITLE
1,7,PRICE
6,48,BATTERY_CAPACITY
1,5,CPU
2,9,WEIGHT
12,51,PRODUCT_SIZE
7,37,TITLE
1,6,PRICE
1,6,PRICE
2,8,WEIGHT
6,35,TITLE
1,6,PRICE
2,8,WEIGHT
12,51,PRODUCT_SIZE
9,43,TITLE
1,14,DEVICE_TYPE
1,7,PRICE
1,12,BATTERY_CAPACITY
2,9,WEIGHT
12,52,PRODUCT_SIZE
1,21,SCREEN_TYPE
9,38,TITLE
1,7,PRICE
9,41,TITLE
1,17,DEVICE_TYPE
1,7,PRICE
2,8,WEIGHT
12,52,PRODUCT_SIZE
6,33,TITLE
1,6,PRICE
4,20,TITLE
1,6,PRICE
7,32,TITLE
1,7,PRICE
2,13,GPU
1,7,CPU
2,16,CPU_CORES
2,9,WEIGHT
12,51,PRODUCT_SIZE
5,30,TITLE
1,7,PRICE
3,31,BATTERY_CAPACITY
2,14,GPU
2,8,WEIGHT
2,32,SCREEN_TYPE
11,47,TITLE
1,7,PRICE
2,14,BATTERY_CAPACITY
2,9,WEIGHT
12,50,PRODUCT_SIZE
11,51,TITLE
3,23,DEVICE_TYPE
1,7,PRICE
1,12,BATTERY_CAPACITY
2,9,WEIGHT
12,52,PRODUCT_SIZE
9,37,TITLE
1,7,PRICE
2,9,WEIGHT
12,52,PRODUCT_SIZE
5,27,TITLE
1,6,PRICE
1,7,BATTERY_CAPACITY
2,9,WEIGHT
12,50,PRODUCT_SIZE
1,8,SCREEN_RESOLUTION
5,23,TITLE
2,16,DEVICE_TYPE
1,6,PRICE
1,12,BATTERY_CAPACITY
3,17,GPU
4,24,CPU
2,16,CPU_CORES
2,9,WEIGHT
12,49,PRODUCT_SIZE
5,28,TITLE
1,7,PRICE
4,57,NETWORK_4G
4,31,BATTERY_CAPACITY
1,8,GPU
2,9,WEIGHT
12,51,PRODUCT_SIZE
1,6,PRICE
10,45,TITLE
2,9,WEIGHT
12,52,PRODUCT_SIZE
5,27,TITLE
1,7,PRICE
12,50,PRODUCT_SIZE
1,7,PRICE
2,9,WEIGHT
6,28,TITLE
2,14,DEVICE_TYPE
2,14,BATTERY_CAPACITY
2,9,WEIGHT
12,51,PRODUCT_SIZE
5,22,TITLE
1,6,PRICE
2,14,BATTERY_CAPACITY
12,51,PRODUCT_SIZE
5,23,TITLE
1,6,PRICE
2,9,WEIGHT
12,51,PRODUCT_SIZE
9,41,TITLE
1,7,PRICE
1,12,BATTERY_CAPACITY
2,12,GPU
3,18,CPU
2,16,CPU_CORES
2,9,WEIGHT
12,51,PRODUCT_SIZE
1,6,PRICE
5,28,TITLE
1,6,PRICE
2,9,WEIGHT
12,51,PRODUCT_SIZE
5,27,TITLE
1,7,PRICE
4,19,TITLE
2,13,BATTERY_CAPACITY
7,39,CAMERA_BACK
2,9,WEIGHT
12,51,PRODUCT_SIZE
5,30,TITLE
1,7,PRICE
5,39,BATTERY_CAPACITY
2,9,WEIGHT
12,51,PRODUCT_SIZE
1,6,PRICE
7,29,TITLE
7,52,BATTERY_CAPACITY
1,7,CPU_CORES
2,9,WEIGHT
12,52,PRODUCT_SIZE
4,19,TITLE
4,33,NETWORK_3G
1,14,NETWORK_2G
1,13,WIFI
5,39,BATTERY_CAPACITY
12,51,PRODUCT_SIZE
1,6,PRICE
4,21,TITLE
1,7,PRICE
2,17,CPU_CORES
15,83,TITLE
4,22,SIM_CARD_SLOT
2,11,OS
1,6,PRICE
3,22,BATTERY_CAPACITY
1,7,CPU
3,17,CPU_CORES
2,8,WEIGHT
6,20,PRODUCT_SIZE
9,37,TITLE
1,7,PRICE
3,13,TITLE
1,6,PRICE
2,15,WIFI
2,14,BATTERY_CAPACITY
2,9,WEIGHT
12,51,PRODUCT_SIZE
9,48,TITLE
1,7,PRICE
2,38,NETWORK_4G
5,40,NETWORK_3G
2,14,BATTERY_CAPACITY
2,16,CPU
2,14,CPU_CORES
2,8,WEIGHT
12,51,PRODUCT_SIZE
4,19,TITLE
5,38,BATTERY_CAPACITY
12,51,PRODUCT_SIZE
1,7,PRICE
4,22,TITLE
2,11,DEVICE_TYPE
1,7,PRICE
3,19,CPU
2,9,WEIGHT
12,51,PRODUCT_SIZE
9,43,TITLE
15,73,SIM_CARD_SLOT
1,6,PRICE
6,99,NETWORK_2G
1,7,BATTERY_CAPACITY
3,27,CPU_CORES
2,8,WEIGHT
12,51,PRODUCT_SIZE
1,6,PRICE
11,64,TITLE
1,5,PRICE
9,42,TITLE
1,7,PRICE
5,28,TITLE
7,32,SIM_CARD_SLOT
1,6,PRICE
2,9,WEIGHT
12,50,PRODUCT_SIZE
1,2,SCREEN_TYPE
5,23,TITLE
1,7,PRICE
2,9,WEIGHT
12,52,PRODUCT_SIZE
1,7,PRICE
6,31,TITLE
1,6,PRICE
1,7,BATTERY_CAPACITY
2,8,WEIGHT
12,52,PRODUCT_SIZE
1,8,SCREEN_RESOLUTION
5,25,TITLE
1,7,PRICE
5,38,BATTERY_CAPACITY
2,9,WEIGHT
12,51,PRODUCT_SIZE
7,28,TITLE
1,7,PRICE
2,10,GPU
2,9,WEIGHT
12,51,PRODUCT_SIZE
8,39,TITLE
1,6,PRICE
1,12,BATTERY_CAPACITY
2,9,WEIGHT
12,52,PRODUCT_SIZE
7,30,TITLE
1,7,PRICE
5,38,BATTERY_CAPACITY
2,9,WEIGHT
12,51,PRODUCT_SIZE
23,126,TITLE
1,7,PRICE
1,6,PRICE
1,6,PRICE
4,19,TITLE
1,7,PRICE
6,56,NETWORK_4G
2,9,WEIGHT
12,51,PRODUCT_SIZE
1,7,PRICE
5,25,TITLE
1,7,PRICE
1,8,CPU
1,7,PRICE
2,9,WEIGHT
9,35,TITLE
2,14,BATTERY_CAPACITY
2,9,WEIGHT
7,36,TITLE
4,42,NETWORK_4G
2,15,NETWORK_2G
2,16,WIFI
2,14,BATTERY_CAPACITY
2,9,WEIGHT
12,51,PRODUCT_SIZE
1,6,PRICE
1,7,PRICE
6,29,TITLE
1,7,PRICE
2,14,BATTERY_CAPACITY
2,9,WEIGHT
12,51,PRODUCT_SIZE
9,50,TITLE
1,7,PRICE
6,48,BATTERY_CAPACITY
2,9,WEIGHT
12,52,PRODUCT_SIZE
10,53,TITLE
1,8,PRICE
5,32,TITLE
6,24,SIM_CARD_SLOT
1,7,PRICE
5,42,NETWORK_4G
1,9,GPU
7,37,TITLE
9,54,SIM_CARD_SLOT
1,6,PRICE
2,9,WEIGHT
12,50,PRODUCT_SIZE
6,30,TITLE
1,6,PRICE
4,32,WIFI
2,17,CPU_CORES
2,9,WEIGHT
12,51,PRODUCT_SIZE
10,62,TITLE
1,5,PRICE
24,137,TITLE
1,7,PRICE
1,7,BATTERY_CAPACITY
2,13,CPU
2,8,WEIGHT
12,51,PRODUCT_SIZE
10,62,TITLE
1,5,PRICE
6,32,TITLE
4,36,DEVICE_TYPE
3,22,OS
1,7,PRICE
6,50,BATTERY_CAPACITY
2,9,WEIGHT
12,52,PRODUCT_SIZE
6,32,TITLE
5,38,BATTERY_CAPACITY
2,9,WEIGHT
12,51,PRODUCT_SIZE
1,7,PRICE
16,90,TITLE
1,6,PRICE
3,22,BATTERY_CAPACITY
1,6,CPU
2,16,CPU_CORES
2,7,WEIGHT
6,20,PRODUCT_SIZE
5,54,NETWORK_4G
4,48,NETWORK_3G
2,20,NETWORK_2G
6,50,BATTERY_CAPACITY
1,4,RAM_TYPE
3,27,CPU_CORES
12,51,PRODUCT_SIZE
4,20,TITLE
16,78,SIM_CARD_SLOT
2,13,BATTERY_CAPACITY
2,10,GPU
1,7,CPU
2,8,WEIGHT
12,49,PRODUCT_SIZE
2,9,SCREEN_SIZE
4,21,TITLE
1,6,BRAND
1,6,PRICE
4,31,BATTERY_CAPACITY
1,4,RAM_TYPE
2,9,WEIGHT
12,50,PRODUCT_SIZE
1,6,PRICE
4,18,TITLE
1,4,BRAND
1,6,PRICE
1,5,RAM_TYPE
2,9,WEIGHT
12,51,PRODUCT_SIZE
1,7,PRICE
5,21,TITLE
1,7,PRICE
5,38,BATTERY_CAPACITY
2,9,WEIGHT
12,51,PRODUCT_SIZE
5,25,TITLE
1,7,PRICE
2,14,BATTERY_CAPACITY
2,9,WEIGHT
1,6,RAM_TYPE
6,30,TITLE
2,15,BATTERY_CAPACITY
2,9,WEIGHT
12,52,PRODUCT_SIZE
2,7,SCREEN_SIZE
3,11,SCREEN_RESOLUTION
1,6,PRICE
4,20,TITLE
4,49,NETWORK_4G
1,24,NETWORK_TYPE
4,30,BATTERY_CAPACITY
12,51,PRODUCT_SIZE
1,7,PRICE
5,28,TITLE
1,9,BLUETOOTH_VERSION
2,7,DEVICE_TYPE
1,5,OS_BITS
1,6,BRAND
1,7,PRICE
4,22,GPU
1,13,CPU
1,6,CPU_CORES
4,17,STORAGE_SSD
2,9,WEIGHT
12,49,PRODUCT_SIZE
1,6,COLOR
1,1,ETHERNET_SPEED
5,24,TITLE
1,7,BLUETOOTH_VERSION
2,6,DEVICE_TYPE
1,5,OS_BITS
1,6,PRICE
2,17,WIFI
2,16,GPU
2,12,CPU
1,3,EXTERNAL_MEMORY
1,3,STORAGE_SSD
2,9,WEIGHT
12,51,PRODUCT_SIZE
1,5,COLOR
4,21,TITLE
2,13,BLUETOOTH_VERSION
1,8,BRAND
1,6,PRICE
2,6,RAM_CAPACITY
1,11,GPU
2,10,CPU
3,15,STORAGE_SSD
12,50,PRODUCT_SIZE
1,5,ETHERNET_SPEED
9,48,TITLE
2,13,OS
1,5,PRICE
1,11,WIFI
2,6,RAM_CAPACITY
1,8,GPU
2,14,CPU
2,6,STORAGE_SSD
12,51,PRODUCT_SIZE
9,45,TITLE
1,5,BRAND
1,7,PRICE
1,2,RAM_CAPACITY
2,9,WEIGHT
12,45,PRODUCT_SIZE
9,47,TITLE
1,12,BLUETOOTH_VERSION
1,6,PRICE
1,2,RAM_CAPACITY
2,13,CPU
2,16,CPU_CORES
12,49,PRODUCT_SIZE
5,21,TITLE
1,6,PRICE
2,6,RAM_CAPACITY
2,7,STORAGE_SSD
2,9,WEIGHT
12,51,PRODUCT_SIZE
2,9,ETHERNET_SPEED
6,20,TITLE
1,3,BRAND
1,6,PRICE
1,5,RAM_CAPACITY
1,6,STORAGE_SSD
2,9,WEIGHT
12,51,PRODUCT_SIZE
1,4,ETHERNET_SPEED
9,45,TITLE
1,6,PRICE
1,2,RAM_CAPACITY
1,2,STORAGE_SSD
2,9,WEIGHT
13,61,TITLE
1,7,PRICE
3,14,GPU
4,24,CPU
2,17,CPU_CORES
12,50,PRODUCT_SIZE
1,6,COLOR
1,3,STORAGE_SSD
11,49,TITLE
1,7,PRICE
1,3,STORAGE_SSD
2,9,WEIGHT
12,45,PRODUCT_SIZE
11,62,TITLE
1,8,BRAND
1,6,PRICE
1,5,EXTERNAL_MEMORY
2,8,WEIGHT
12,51,PRODUCT_SIZE
9,48,TITLE
1,6,BRAND
1,6,PRICE
12,51,PRODUCT_SIZE
9,44,TITLE
1,6,BRAND
1,6,PRICE
2,12,CPU
2,9,WEIGHT
12,48,PRODUCT_SIZE
11,56,TITLE
1,7,PRICE
2,9,WEIGHT
12,52,PRODUCT_SIZE
5,20,TITLE
1,6,PRICE
2,9,WEIGHT
12,51,PRODUCT_SIZE
6,23,TITLE
1,6,PRICE
2,9,CPU_CORES
4,18,TITLE
1,7,BRAND
1,6,PRICE
1,10,GPU
2,13,CPU
12,49,PRODUCT_SIZE
8,48,TITLE
1,6,PRICE
2,13,GPU
1,6,CPU
2,9,WEIGHT
12,52,PRODUCT_SIZE
10,46,TITLE
3,22,OS
1,7,PRICE
3,17,WIFI
4,23,CPU
2,9,WEIGHT
12,50,PRODUCT_SIZE
10,52,TITLE
1,7,BRAND
1,6,PRICE
2,14,WIFI
12,49,PRODUCT_SIZE
3,10,TITLE
1,7,OS
1,6,PRICE
1,11,GPU
12,51,PRODUCT_SIZE
6,27,TITLE
1,8,BRAND
1,6,PRICE
1,6,CPU
2,9,WEIGHT
12,51,PRODUCT_SIZE
5,24,TITLE
1,7,PRICE
3,29,CPU
6,28,TITLE
1,5,BRAND
1,5,PRICE
12,51,PRODUCT_SIZE
7,30,TITLE
1,6,PRICE
2,9,WEIGHT
12,49,PRODUCT_SIZE
4,19,TITLE
1,6,PRICE
12,51,PRODUCT_SIZE
7,35,TITLE
2,12,OS
1,4,STORAGE_SSD
12,51,PRODUCT_SIZE
2,21,COLOR
5,20,TITLE
2,6,RAM_CAPACITY
3,17,CPU
2,7,STORAGE_SSD
12,50,PRODUCT_SIZE
10,52,TITLE
3,19,BLUETOOTH_VERSION
1,6,PRICE
1,2,EXTERNAL_MEMORY
12,51,PRODUCT_SIZE
6,31,TITLE
4,15,TITLE
1,7,PRICE
3,19,CPU
2,11,CPU_CORES
2,8,STORAGE_SSD
2,9,WEIGHT
12,50,PRODUCT_SIZE
1,7,PRICE
1,13,CPU
2,8,WEIGHT
7,38,TITLE
1,6,PRICE
2,9,WEIGHT
8,59,TITLE
1,6,PRICE
5,23,TITLE
1,6,PRICE
2,9,WEIGHT
12,49,PRODUCT_SIZE
7,33,TITLE
1,7,PRICE
2,9,WIFI
2,8,WEIGHT
4,17,TITLE
1,6,PRICE
2,9,WEIGHT
12,49,PRODUCT_SIZE
7,33,TITLE
1,7,PRICE
6,31,TITLE
1,6,PRICE
5,26,TITLE
1,8,BRAND
1,7,PRICE
12,50,PRODUCT_SIZE
8,40,TITLE
1,6,PRICE
2,9,WEIGHT
12,51,PRODUCT_SIZE
2,9,COLOR
5,31,TITLE
1,7,BRAND
1,6,PRICE
12,51,PRODUCT_SIZE
6,29,TITLE
1,7,PRICE
3,22,GPU
5,32,CPU
2,8,WEIGHT
12,51,PRODUCT_SIZE
10,53,TITLE
1,6,PRICE
2,8,WEIGHT
12,50,PRODUCT_SIZE
9,48,TITLE
3,23,OS
1,6,PRICE
2,9,WEIGHT
12,51,PRODUCT_SIZE
11,57,TITLE
12,51,PRODUCT_SIZE
2,12,ETHERNET_SPEED
8,44,TITLE
2,9,WEIGHT
12,51,PRODUCT_SIZE
5,21,TITLE
1,6,PRICE
3,13,RAM_CAPACITY
2,9,WEIGHT
12,51,PRODUCT_SIZE
1,6,PRICE
4,14,TITLE
1,4,BRAND
1,6,PRICE
12,49,PRODUCT_SIZE
5,24,TITLE
1,7,BRAND
1,6,PRICE
2,9,WEIGHT
12,51,PRODUCT_SIZE
7,36,TITLE
1,6,PRICE
4,21,GPU
2,11,CPU
2,9,WEIGHT
12,52,PRODUCT_SIZE
8,36,TITLE
1,6,PRICE
7,35,TITLE
1,6,PRICE
2,8,WEIGHT
12,49,PRODUCT_SIZE
5,26,TITLE
1,6,PRICE
12,51,PRODUCT_SIZE
8,42,TITLE
1,6,PRICE
2,9,WEIGHT
12,51,PRODUCT_SIZE
1,14,ETHERNET_SPEED
8,37,TITLE
1,7,PRICE
7,32,TITLE
6,28,TITLE
1,6,PRICE
2,9,WEIGHT
12,51,PRODUCT_SIZE
6,27,TITLE
1,6,PRICE
12,50,PRODUCT_SIZE
8,43,TITLE
4,14,TITLE
1,6,PRICE
12,50,PRODUCT_SIZE
5,22,TITLE
1,12,BLUETOOTH_VERSION
1,6,PRICE
2,20,CPU
1,6,CPU_CORES
2,9,WEIGHT
12,51,PRODUCT_SIZE
1,7,PRICE
8,45,TITLE
4,14,TITLE
2,11,GPU
9,40,TITLE
1,6,PRICE
3,19,CPU_CORES
12,51,PRODUCT_SIZE
1,12,COLOR
11,56,TITLE
1,7,PRICE
2,9,WEIGHT
6,28,TITLE
1,6,PRICE
2,9,WEIGHT
12,51,PRODUCT_SIZE
2,14,DEVICE_TYPE
1,7,PRICE
10,44,TITLE
2,13,OS
9,45,TITLE
9,51,TITLE
1,7,PRICE
2,6,RAM_CAPACITY
2,16,CPU
2,7,STORAGE_SSD
1,1,ETHERNET_SPEED
6,27,TITLE
9,47,TITLE
1,6,PRICE
1,12,GPU
12,51,PRODUCT_SIZE
1,13,ETHERNET_SPEED
1,6,PRICE
5,20,TITLE
1,3,BRAND
1,6,PRICE
7,33,TITLE
1,4,BRAND
1,5,PRICE
2,9,WEIGHT
12,51,PRODUCT_SIZE
9,55,TITLE
1,6,PRICE
12,51,PRODUCT_SIZE
9,46,TITLE
1,6,PRICE
6,26,TITLE
1,6,PRICE
1,5,EXTERNAL_MEMORY
1,7,PRICE
11,58,TITLE
1,7,PRICE
4,19,STORAGE_SSD
13,69,TITLE
1,6,PRICE
2,9,WEIGHT
13,59,TITLE
1,7,PRICE
9,50,TITLE
6,28,TITLE
1,6,PRICE
12,51,PRODUCT_SIZE
2,9,ETHERNET_SPEED
6,24,TITLE
12,50,PRODUCT_SIZE
10,49,TITLE
1,6,PRICE
2,19,ETHERNET_SPEED
5,26,TITLE
2,8,WEIGHT
5,25,TITLE
1,6,BRAND
3,14,GPU
3,16,STORAGE_SSD
2,9,WEIGHT
12,51,PRODUCT_SIZE
13,65,TITLE
2,37,OS
1,6,BRAND
2,9,WEIGHT
12,48,PRODUCT_SIZE
1,11,COLOR
1,7,ETHERNET_SPEED
1,7,PRICE
4,16,TITLE
1,6,BRAND
1,7,PRICE
2,16,GPU
12,51,PRODUCT_SIZE
7,42,TITLE
2,15,GPU
6,27,TITLE
1,6,PRICE
12,51,PRODUCT_SIZE
1,5,COLOR
9,48,TITLE
2,8,WEIGHT
12,48,PRODUCT_SIZE
9,47,TITLE
1,3,EXTERNAL_MEMORY
5,23,TITLE
1,6,PRICE
12,51,PRODUCT_SIZE
1,7,PRICE
1,6,PRICE
7,37,TITLE
1,7,CPU_CORES
1,3,COLOR
9,46,TITLE
1,6,PRICE
12,49,PRODUCT_SIZE
5,19,TITLE
1,6,PRICE
12,51,PRODUCT_SIZE
7,38,TITLE
1,5,BRAND
1,6,PRICE
12,51,PRODUCT_SIZE
7,35,TITLE
1,7,PRICE
3,19,CPU
3,27,COLOR
8,49,TITLE
1,6,BRAND
1,6,PRICE
12,51,PRODUCT_SIZE
4,17,TITLE
1,7,PRICE
3,17,CPU
4,14,TITLE
1,6,PRICE
12,51,PRODUCT_SIZE
10,49,TITLE
6,30,TITLE
7,40,TITLE
1,5,PRICE
2,8,WEIGHT
12,51,PRODUCT_SIZE
10,50,TITLE
2,15,DEVICE_TYPE
1,7,PRICE
12,49,PRODUCT_SIZE
9,38,TITLE
1,7,PRICE
7,40,TITLE
1,6,PRICE
9,49,TITLE
1,6,PRICE
1,6,RAM_CAPACITY
1,7,STORAGE_SSD
12,49,PRODUCT_SIZE
10,45,TITLE
1,6,BRAND
1,6,PRICE
12,51,PRODUCT_SIZE
6,35,TITLE
10,54,TITLE
1,6,PRICE
2,9,WEIGHT
12,50,PRODUCT_SIZE
4,19,TITLE
1,8,BRAND
12,50,PRODUCT_SIZE
2,10,ETHERNET_SPEED
5,19,TITLE
8,45,TITLE
2,11,DEVICE_TYPE
1,6,PRICE
2,8,WEIGHT
12,50,PRODUCT_SIZE
5,19,TITLE
1,6,PRICE
2,9,WEIGHT
12,49,PRODUCT_SIZE
8,35,TITLE
7,33,TITLE
2,9,WEIGHT
12,49,PRODUCT_SIZE
9,47,TITLE
12,54,TITLE
3,10,TITLE
1,5,PRICE
12,51,PRODUCT_SIZE
9,46,TITLE
1,6,PRICE
7,39,TITLE
1,6,PRICE
2,12,CPU
2,8,WEIGHT
12,50,PRODUCT_SIZE
5,19,TITLE
12,52,PRODUCT_SIZE
7,41,TITLE
1,6,PRICE
12,49,PRODUCT_SIZE
1,4,RAM_TYPE
8,41,TITLE
2,9,WEIGHT
12,49,PRODUCT_SIZE
4,16,TITLE
1,6,PRICE
12,50,PRODUCT_SIZE
9,49,TITLE
8,40,TITLE
1,6,PRICE
3,23,CPU
12,50,PRODUCT_SIZE
1,8,ETHERNET_SPEED
6,29,TITLE
1,6,PRICE
12,51,PRODUCT_SIZE
1,4,EXTERNAL_MEMORY
10,56,TITLE
1,6,PRICE
12,51,PRODUCT_SIZE
3,10,TITLE
1,6,PRICE
12,52,PRODUCT_SIZE
5,24,TITLE
2,9,WEIGHT
1,6,PRICE
1,7,PRICE
7,37,TITLE
1,6,PRICE
2,9,WEIGHT
7,35,TITLE
2,14,COLOR
1,7,PRICE
10,55,TITLE
1,6,PRICE
6,30,TITLE
1,5,OS
1,7,BRAND
1,5,PRICE
1,5,RAM_CAPACITY
1,6,CPU
2,8,WEIGHT
12,49,PRODUCT_SIZE
1,7,PRICE
4,20,TITLE
1,6,PRICE
3,14,STORAGE_SSD
12,50,PRODUCT_SIZE
9,51,TITLE
1,6,PRICE
1,4,COLOR
4,14,TITLE
3,13,RAM_CAPACITY
3,25,CPU
10,52,TITLE
8,51,TITLE
1,6,PRICE
10,53,TITLE
1,6,PRICE
12,51,PRODUCT_SIZE
1,5,RAM_CAPACITY
7,35,TITLE
1,6,PRICE
5,22,TITLE
1,5,PRICE
2,9,RAM_CAPACITY
3,24,CPU
2,10,STORAGE_SSD
2,9,WEIGHT
6,27,TITLE
1,5,PRICE
12,51,PRODUCT_SIZE
5,21,TITLE
1,6,PRICE
3,28,CPU
2,9,WEIGHT
12,50,PRODUCT_SIZE
1,11,COLOR
11,61,TITLE
1,6,PRICE
4,24,CPU
7,36,TITLE
2,9,BLUETOOTH_VERSION
5,34,SIM_CARD_TYPE
1,4,PRICE
7,28,NETWORK_2G
5,33,BATTERY_CAPACITY
2,5,RAM_CAPACITY
7,37,EXTERNAL_MEMORY
4,15,CAMERA_BACK
2,5,WEIGHT
12,44,PRODUCT_SIZE
5,40,SCREEN_SIZE
1,3,SCREEN_TYPE
8,41,SCREEN_RESOLUTION
5,22,TITLE
5,23,BLUETOOTH_VERSION
5,31,OS
5,35,SIM_CARD_TYPE
1,5,PRICE
5,22,NETWORK_3G
9,41,NETWORK_2G
5,33,WIFI
5,31,BATTERY_CAPACITY
3,10,RAM_CAPACITY
2,10,GPU
5,35,CPU
4,25,CPU_CORES
5,20,EXTERNAL_MEMORY
2,4,STORAGE_SSD
3,9,CAMERA_FRONT
9,46,CAMERA_BACK
2,5,WEIGHT
6,22,PRODUCT_SIZE
10,53,SCREEN_SIZE
6,42,SCREEN_TYPE
5,23,TITLE
5,24,TITLE
6,31,TITLE
6,27,TITLE
3,13,BLUETOOTH_VERSION
3,20,OS
5,34,SIM_CARD_TYPE
