@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
2,16,10,4,1,BATTERY_CAPACITY
8,44,25,6,9,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
4,25,21,1,3,TITLE
2,20,6,11,1,NETWORK_2G
3,24,17,4,2,BATTERY_CAPACITY
2,27,18,4,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
4,43,35,1,3,SCREEN_TYPE
5,28,19,5,4,TITLE
1,23,17,2,0,WIRELESS_CONNECTIVITY
1,7,3,4,0,BATTERY_CAPACITY
8,41,24,6,7,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
4,41,29,3,3,SCREEN_TYPE
4,22,16,3,3,TITLE
1,15,11,1,0,WIRELESS_CONNECTIVITY
3,11,4,5,2,BATTERY_CAPACITY
4,24,8,5,6,CAMERA_FRONT
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
5,24,18,2,4,TITLE
1,6,0,4,0,PRICE
2,16,6,5,1,CAMERA_BACK
2,8,2,4,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
1,6,0,4,0,PRICE
1,7,0,5,0,PRICE
5,30,24,1,4,TITLE
1,7,3,4,0,BATTERY_CAPACITY
2,9,8,0,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
7,61,45,4,6,SCREEN_TYPE
4,24,20,1,3,TITLE
1,6,6,0,0,BRAND
1,25,20,1,0,WIRELESS_CONNECTIVITY
12,50,12,19,12,PRODUCT_SIZE
5,28,22,2,4,TITLE
2,11,10,0,1,DEVICE_TYPE
1,6,0,4,0,PRICE
1,9,9,0,0,WIRELESS_CONNECTIVITY
1,3,3,0,0,NETWORK_TYPE
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
2,9,4,3,1,SCREEN_SIZE
1,7,0,5,0,PRICE
1,7,0,5,0,PRICE
1,7,0,5,0,PRICE
1,32,24,2,0,WIRELESS_CONNECTIVITY
4,20,15,2,3,TITLE
1,7,0,5,0,PRICE
31,226,105,77,30,NETWORK_4G
1,39,31,0,0,NETWORK_TYPE
5,27,15,6,4,BATTERY_CAPACITY
2,15,4,6,2,CAMERA_BACK
12,50,12,19,12,PRODUCT_SIZE
1,6,3,3,0,SCREEN_PPI
5,30,24,2,4,TITLE
1,7,0,5,0,PRICE
2,16,10,4,1,BATTERY_CAPACITY
12,49,12,18,12,PRODUCT_SIZE
5,24,18,2,4,TITLE
1,6,0,4,0,PRICE
3,11,4,5,2,BATTERY_CAPACITY
7,38,23,5,7,CAMERA_BACK
12,50,12,19,12,PRODUCT_SIZE
4,22,16,3,3,TITLE
2,8,2,4,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
6,27,20,2,5,TITLE
1,7,0,5,0,PRICE
19,106,24,29,35,NETWORK_4G
2,20,10,5,1,NETWORK_3G
4,33,12,8,8,BATTERY_CAPACITY
6,30,21,3,5,CAMERA_BACK
2,9,2,5,1,WEIGHT
4,20,15,2,3,TITLE
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
5,41,32,2,4,SCREEN_TYPE
1,6,0,4,0,PRICE
1,7,0,5,0,PRICE
4,20,15,2,3,TITLE
1,5,0,3,0,PRICE
2,13,4,4,2,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
5,29,19,6,4,TITLE
3,25,18,5,2,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
4,23,17,3,3,TITLE
1,7,0,5,0,PRICE
12,49,12,18,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
6,29,23,1,5,TITLE
2,41,28,5,1,WIRELESS_CONNECTIVITY
2,20,10,5,1,NETWORK_4G
1,7,3,4,0,BATTERY_CAPACITY
1,6,3,2,0,CPU_CORES
7,32,23,1,6,EXTERNAL_MEMORY
5,25,21,0,4,CAMERA_BACK
12,50,12,19,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
5,24,19,1,4,TITLE
1,7,0,5,0,PRICE
2,44,30,5,1,WIRELESS_CONNECTIVITY
2,16,10,4,1,BATTERY_CAPACITY
2,9,6,2,1,CPU
7,35,25,3,6,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
2,9,2,5,1,WEIGHT
1,6,0,4,0,PRICE
1,7,0,5,0,PRICE
1,7,0,5,0,PRICE
6,36,26,5,5,TITLE
2,36,15,11,1,NETWORK_4G
4,24,20,1,3,TITLE
2,16,10,4,1,BATTERY_CAPACITY
2,9,6,2,1,CPU
2,16,11,2,1,CPU_CORES
6,30,21,3,5,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
1,9,1,8,0,SCREEN_RESOLUTION
1,7,0,5,0,PRICE
5,27,20,3,4,TITLE
2,11,7,2,1,OS
1,6,0,4,0,PRICE
1,7,3,4,0,BATTERY_CAPACITY
1,5,2,3,0,RAM_CAPACITY
2,13,10,2,1,CPU
3,13,8,2,2,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
1,8,1,7,0,SCREEN_RESOLUTION
8,30,21,2,7,TITLE
2,22,19,0,1,DEVICE_TYPE
2,10,7,2,1,OS
1,4,4,0,0,BRAND
1,7,0,5,0,PRICE
4,36,24,5,3,WIFI
4,34,19,6,5,BATTERY_CAPACITY
1,3,2,1,0,RAM_CAPACITY
4,21,15,3,3,GPU
5,28,19,4,4,CPU
2,17,11,3,1,CPU_CORES
1,5,2,2,0,CAMERA_FRONT
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
2,9,4,3,1,SCREEN_SIZE
2,25,18,2,1,SCREEN_TYPE
4,20,13,4,3,TITLE
6,44,37,0,5,SIM_CARD_SLOT
1,4,4,0,0,BRAND
1,7,0,5,0,PRICE
2,24,9,11,1,NETWORK_4G
5,38,23,6,5,BATTERY_CAPACITY
1,3,2,1,0,RAM_CAPACITY
1,7,3,4,0,CPU
2,17,11,3,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
2,9,4,3,1,SCREEN_SIZE
2,20,15,1,1,SCREEN_TYPE
4,19,6,8,3,SCREEN_RESOLUTION
7,38,26,5,6,TITLE
1,6,6,0,0,BRAND
1,6,0,4,0,PRICE
7,45,21,16,6,NETWORK_4G
1,7,3,4,0,CPU
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
7,42,34,2,6,TITLE
1,9,9,0,0,DEVICE_TYPE
4,24,14,4,4,OS
1,7,3,4,0,BATTERY_CAPACITY
3,16,14,0,2,GPU
3,19,11,5,2,CPU
2,17,11,3,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
4,18,13,2,3,TITLE
2,9,8,0,1,DEVICE_TYPE
1,4,4,0,0,BRAND
1,6,0,4,0,PRICE
5,38,25,6,5,BATTERY_CAPACITY
1,3,2,1,0,RAM_CAPACITY
1,3,1,2,0,CPU
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
2,6,4,1,1,SCREEN_SIZE
2,24,18,1,1,SCREEN_TYPE
5,27,17,4,5,TITLE
1,7,0,5,0,PRICE
3,23,15,4,2,BATTERY_CAPACITY
1,7,3,4,0,CPU
2,14,11,1,1,CPU_CORES
1,5,2,2,0,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
3,10,1,7,2,SCREEN_RESOLUTION
21,117,79,13,20,TITLE
1,8,8,0,0,BRAND
1,7,0,5,0,PRICE
1,4,2,2,0,CPU
4,28,18,3,3,CPU_CORES
2,8,2,4,1,WEIGHT
6,20,4,8,5,PRODUCT_SIZE
2,9,4,3,1,SCREEN_SIZE
2,15,13,0,1,SCREEN_TYPE
4,16,4,7,3,SCREEN_RESOLUTION
6,32,22,3,6,TITLE
2,11,10,0,1,DEVICE_TYPE
1,6,6,0,0,BRAND
1,5,0,3,0,PRICE
2,14,4,6,2,BATTERY_CAPACITY
1,8,4,3,0,GPU
1,3,1,2,0,CPU
4,24,16,2,3,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
2,6,4,1,1,SCREEN_SIZE
1,13,12,0,0,SCREEN_TYPE
4,18,6,7,3,SCREEN_RESOLUTION
3,15,9,4,2,TITLE
1,6,0,4,0,PRICE
2,13,8,4,1,NETWORK_3G
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
4,17,5,7,3,SCREEN_RESOLUTION
7,50,36,3,8,TITLE
1,6,6,0,0,BRAND
4,35,22,5,3,WIFI
3,23,15,4,2,BATTERY_CAPACITY
3,19,14,3,2,CPU
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
2,8,4,2,1,SCREEN_SIZE
4,19,6,8,3,SCREEN_RESOLUTION
10,43,25,7,10,TITLE
1,7,0,5,0,PRICE
4,32,22,5,3,BATTERY_CAPACITY
1,9,5,3,0,GPU
4,24,17,4,3,CPU
2,16,11,2,1,CPU_CORES
7,39,28,2,6,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
2,9,4,3,1,SCREEN_SIZE
4,20,13,4,3,TITLE
1,3,3,0,0,BRAND
1,7,0,5,0,PRICE
3,16,9,5,2,NETWORK_3G
5,38,23,6,5,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
2,21,15,2,1,SCREEN_TYPE
4,22,17,2,3,TITLE
1,7,7,0,0,BRAND
1,6,0,4,0,PRICE
2,12,8,3,1,GPU
1,7,3,4,0,CPU
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
4,22,17,2,3,TITLE
1,6,0,4,0,PRICE
5,38,23,6,5,BATTERY_CAPACITY
2,13,7,4,1,GPU
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
8,34,23,4,7,TITLE
1,7,0,5,0,PRICE
3,22,17,1,2,GPU
3,18,12,4,2,CPU
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
2,9,4,3,1,SCREEN_SIZE
4,22,15,4,3,TITLE
2,11,10,0,1,DEVICE_TYPE
6,23,15,1,5,SIM_CARD_SLOT
2,11,7,2,1,OS
1,3,3,0,0,BRAND
4,19,13,1,3,NETWORK_3G
4,42,14,21,3,NETWORK_2G
1,7,3,4,0,CPU
3,17,11,2,2,CPU_CORES
2,8,2,4,1,WEIGHT
12,48,12,17,12,PRODUCT_SIZE
2,6,4,1,1,SCREEN_SIZE
4,19,13,3,3,TITLE
6,45,38,0,5,SIM_CARD_SLOT
5,39,25,7,5,BATTERY_CAPACITY
2,8,3,4,1,CPU
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
4,18,13,2,3,TITLE
1,6,0,4,0,PRICE
2,14,4,6,2,BATTERY_CAPACITY
1,6,3,2,0,CPU_CORES
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
8,32,22,3,7,TITLE
5,38,25,6,5,BATTERY_CAPACITY
4,21,15,3,3,GPU
3,19,13,4,2,CPU
2,16,11,2,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
7,42,36,0,6,TITLE
1,7,0,5,0,PRICE
2,14,4,6,2,BATTERY_CAPACITY
4,21,15,3,3,GPU
4,19,11,5,3,CPU
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
6,38,24,4,7,TITLE
5,29,24,0,4,SIM_CARD_SLOT
1,7,0,5,0,PRICE
4,61,18,29,3,NETWORK_4G
4,45,17,18,3,NETWORK_3G
4,31,22,4,3,BATTERY_CAPACITY
1,3,2,1,0,RAM_CAPACITY
2,10,6,3,1,GPU
3,23,18,3,2,CPU
2,16,11,2,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
2,8,4,2,1,SCREEN_SIZE
6,38,24,4,7,TITLE
1,6,0,4,0,PRICE
1,15,4,8,0,NETWORK_4G
4,46,19,18,3,NETWORK_3G
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
7,27,17,4,6,TITLE
1,8,8,0,0,DEVICE_TYPE
1,5,5,0,0,BRAND
1,7,0,5,0,PRICE
2,15,4,7,2,BATTERY_CAPACITY
5,31,23,4,4,CPU
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
1,9,0,3,1,SCREEN_SIZE
3,11,1,8,2,SCREEN_RESOLUTION
6,32,21,4,6,TITLE
1,7,0,5,0,PRICE
5,38,23,6,5,BATTERY_CAPACITY
2,10,6,3,1,GPU
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
4,18,12,3,3,TITLE
1,6,0,4,0,PRICE
2,14,4,6,2,BATTERY_CAPACITY
1,6,2,4,0,CPU
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
4,19,13,3,3,TITLE
1,6,0,4,0,PRICE
2,14,4,6,2,BATTERY_CAPACITY
1,7,3,4,0,CPU
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
4,20,15,2,3,TITLE
3,22,14,4,2,OS
1,7,0,5,0,PRICE
2,14,4,6,2,BATTERY_CAPACITY
4,27,18,5,3,CPU
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
7,33,21,6,6,TITLE
1,7,0,5,0,PRICE
7,51,35,6,7,BATTERY_CAPACITY
2,14,9,4,1,GPU
2,10,5,4,1,CPU
6,36,22,4,5,CPU_CORES
2,8,2,4,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
2,8,4,2,1,SCREEN_SIZE
4,18,5,8,3,SCREEN_RESOLUTION
5,27,20,3,4,TITLE
1,8,8,0,0,BRAND
1,6,0,4,0,PRICE
3,13,8,2,2,GPU
12,51,12,20,12,PRODUCT_SIZE
8,31,21,3,7,TITLE
1,6,6,0,0,BRAND
1,7,0,5,0,PRICE
5,38,23,6,5,BATTERY_CAPACITY
12,52,12,21,12,PRODUCT_SIZE
1,6,0,4,0,PRICE
4,17,13,1,3,TITLE
1,4,4,0,0,BRAND
1,7,0,5,0,PRICE
4,31,22,4,3,BATTERY_CAPACITY
1,9,5,3,0,GPU
1,6,2,4,0,CPU
2,9,2,5,1,WEIGHT
2,8,4,2,1,SCREEN_SIZE
5,25,19,2,4,TITLE
3,12,7,2,2,OS
1,7,0,5,0,PRICE
1,12,4,6,0,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
2,9,4,3,1,SCREEN_SIZE
3,11,1,8,2,SCREEN_RESOLUTION
5,22,16,2,4,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
5,26,17,5,4,TITLE
7,29,20,1,6,SIM_CARD_SLOT
1,7,0,5,0,PRICE
4,44,18,16,3,NETWORK_4G
5,38,23,6,5,BATTERY_CAPACITY
1,8,4,4,0,CPU
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
7,30,22,2,6,TITLE
1,3,3,0,0,BRAND
1,8,4,3,0,GPU
2,16,11,3,1,CPU_CORES
2,8,2,4,1,WEIGHT
12,48,12,17,12,PRODUCT_SIZE
15,77,51,10,14,TITLE
1,6,0,4,0,PRICE
8,31,21,3,7,TITLE
1,7,0,5,0,PRICE
7,51,35,6,7,BATTERY_CAPACITY
2,14,11,1,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
5,26,18,4,4,TITLE
3,25,22,0,2,SIM_CARD_SLOT
2,10,9,0,1,BRAND
1,7,0,5,0,PRICE
2,43,9,25,1,NETWORK_4G
2,26,8,14,1,NETWORK_3G
2,17,14,0,1,NETWORK_TYPE
1,13,4,7,0,BATTERY_CAPACITY
1,7,3,4,0,CPU
2,8,2,4,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
3,17,11,4,2,TITLE
1,7,0,5,0,PRICE
2,14,4,6,2,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
19,115,79,16,18,TITLE
2,11,7,2,1,OS
1,7,0,5,0,PRICE
6,37,27,2,5,NETWORK_3G
2,11,6,4,1,CPU
2,19,15,1,1,CPU_CORES
2,8,2,4,1,WEIGHT
6,21,4,9,5,PRODUCT_SIZE
4,20,13,4,3,TITLE
1,7,0,5,0,PRICE
1,7,3,4,0,CPU
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
3,10,1,7,2,SCREEN_RESOLUTION
1,6,0,4,0,PRICE
4,17,13,1,3,TITLE
1,6,0,4,0,PRICE
5,38,23,6,5,BATTERY_CAPACITY
12,51,12,20,12,PRODUCT_SIZE
8,45,28,4,10,TITLE
1,6,0,4,0,PRICE
4,31,22,4,3,BATTERY_CAPACITY
2,10,6,3,1,GPU
4,29,21,5,3,CPU
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
4,22,16,3,3,TITLE
1,7,0,5,0,PRICE
6,48,30,6,6,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
7,38,24,6,6,TITLE
9,55,42,1,8,SIM_CARD_SLOT
1,7,0,5,0,PRICE
1,7,3,4,0,BATTERY_CAPACITY
1,10,6,3,0,GPU
1,7,3,4,0,CPU
2,16,11,2,1,CPU_CORES
5,29,21,2,4,CAMERA_BACK
2,8,2,4,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
7,40,21,7,8,TITLE
1,7,0,5,0,PRICE
2,13,7,4,1,GPU
3,19,14,3,2,CPU
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
6,25,19,1,5,TITLE
1,7,0,5,0,PRICE
2,10,5,4,1,GPU
1,7,3,4,0,CPU
6,43,25,6,5,CPU_CORES
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
2,8,4,2,1,SCREEN_SIZE
8,49,28,7,10,TITLE
7,28,21,1,6,TITLE
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
7,40,23,5,8,TITLE
4,19,16,0,3,SIM_CARD_SLOT
1,7,0,5,0,PRICE
4,50,19,20,3,NETWORK_4G
5,41,26,0,8,NETWORK_TYPE
3,23,18,3,2,CPU
12,50,12,19,12,PRODUCT_SIZE
6,29,23,1,5,TITLE
1,7,0,5,0,PRICE
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
11,55,41,4,10,TITLE
2,23,21,0,1,DEVICE_TYPE
1,7,0,5,0,PRICE
1,12,4,6,0,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
6,33,24,2,6,TITLE
1,7,0,5,0,PRICE
6,48,30,6,6,BATTERY_CAPACITY
1,5,1,4,0,CPU
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
7,37,21,8,7,TITLE
1,6,0,4,0,PRICE
1,6,0,4,0,PRICE
2,8,2,4,1,WEIGHT
6,35,23,6,5,TITLE
1,6,0,4,0,PRICE
2,8,2,4,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
9,43,31,4,8,TITLE
1,14,13,0,0,DEVICE_TYPE
1,7,0,5,0,PRICE
1,12,4,6,0,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
1,21,19,0,0,SCREEN_TYPE
9,38,26,4,8,TITLE
1,7,0,5,0,PRICE
9,41,29,4,8,TITLE
1,17,16,0,0,DEVICE_TYPE
1,7,0,5,0,PRICE
2,8,2,4,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
6,33,20,7,5,TITLE
1,6,0,4,0,PRICE
4,20,13,4,3,TITLE
1,6,0,4,0,PRICE
7,32,19,5,7,TITLE
1,7,0,5,0,PRICE
2,13,7,4,1,GPU
1,7,3,4,0,CPU
2,16,11,2,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
5,30,24,2,4,TITLE
1,7,0,5,0,PRICE
3,31,19,8,2,BATTERY_CAPACITY
2,14,13,0,1,GPU
2,8,2,4,1,WEIGHT
2,32,24,2,1,SCREEN_TYPE
11,47,33,4,10,TITLE
1,7,0,5,0,PRICE
2,14,4,6,2,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
11,51,37,4,10,TITLE
3,23,20,0,2,DEVICE_TYPE
1,7,0,5,0,PRICE
1,12,4,6,0,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
9,37,25,4,8,TITLE
1,7,0,5,0,PRICE
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
5,27,16,6,4,TITLE
1,6,0,4,0,PRICE
1,7,3,4,0,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
1,8,1,7,0,SCREEN_RESOLUTION
5,23,19,0,4,TITLE
2,16,14,0,1,DEVICE_TYPE
1,6,0,4,0,PRICE
1,12,4,6,0,BATTERY_CAPACITY
3,17,15,0,2,GPU
4,24,17,4,3,CPU
2,16,11,2,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
5,28,18,4,5,TITLE
1,7,0,5,0,PRICE
4,57,18,26,3,NETWORK_4G
4,31,22,4,3,BATTERY_CAPACITY
1,8,4,3,0,GPU
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
1,6,0,4,0,PRICE
10,45,33,3,9,TITLE
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
5,27,21,2,4,TITLE
1,7,0,5,0,PRICE
12,50,12,19,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
2,9,2,5,1,WEIGHT
6,28,21,2,5,TITLE
2,14,12,0,1,DEVICE_TYPE
2,14,4,6,2,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
5,22,17,1,4,TITLE
1,6,0,4,0,PRICE
2,14,4,6,2,BATTERY_CAPACITY
12,51,12,20,12,PRODUCT_SIZE
5,23,17,2,4,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
9,41,30,3,8,TITLE
1,7,0,5,0,PRICE
1,12,4,6,0,BATTERY_CAPACITY
2,12,7,4,1,GPU
3,18,11,4,2,CPU
2,16,11,3,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
1,6,0,4,0,PRICE
5,28,17,5,5,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
5,27,18,3,5,TITLE
1,7,0,5,0,PRICE
4,19,13,3,3,TITLE
2,13,3,6,2,BATTERY_CAPACITY
7,39,28,2,6,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
5,30,18,3,6,TITLE
1,7,0,5,0,PRICE
5,39,25,4,6,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
1,6,0,4,0,PRICE
7,29,20,3,6,TITLE
7,52,35,7,7,BATTERY_CAPACITY
1,7,3,3,0,CPU_CORES
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
4,19,13,3,3,TITLE
4,33,19,8,3,NETWORK_3G
1,14,6,7,0,NETWORK_2G
1,13,4,5,0,WIFI
5,39,25,7,5,BATTERY_CAPACITY
12,51,12,20,12,PRODUCT_SIZE
1,6,0,4,0,PRICE
4,21,14,4,3,TITLE
1,7,0,5,0,PRICE
2,17,11,3,1,CPU_CORES
15,83,56,11,14,TITLE
4,22,18,0,3,SIM_CARD_SLOT
2,11,7,2,1,OS
1,6,0,4,0,PRICE
3,22,15,4,2,BATTERY_CAPACITY
1,7,3,4,0,CPU
3,17,11,2,2,CPU_CORES
2,8,2,4,1,WEIGHT
6,20,4,8,5,PRODUCT_SIZE
9,37,25,4,8,TITLE
1,7,0,5,0,PRICE
3,13,9,2,2,TITLE
1,6,0,4,0,PRICE
2,15,5,5,1,WIFI
2,14,4,6,2,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
9,48,36,4,8,TITLE
1,7,0,5,0,PRICE
2,38,9,22,1,NETWORK_4G
5,40,14,19,4,NETWORK_3G
2,14,4,6,2,BATTERY_CAPACITY
2,16,11,4,1,CPU
2,14,11,1,1,CPU_CORES
2,8,2,4,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
4,19,15,1,3,TITLE
5,38,23,6,5,BATTERY_CAPACITY
12,51,12,20,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
4,22,19,0,3,TITLE
2,11,10,0,1,DEVICE_TYPE
1,7,0,5,0,PRICE
3,19,11,5,2,CPU
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
9,43,28,7,8,TITLE
15,73,53,2,14,SIM_CARD_SLOT
1,6,0,4,0,PRICE
6,99,23,57,5,NETWORK_2G
1,7,3,4,0,BATTERY_CAPACITY
3,27,18,4,2,CPU_CORES
2,8,2,4,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
1,6,0,4,0,PRICE
11,64,38,9,13,TITLE
1,5,0,3,0,PRICE
9,42,28,6,8,TITLE
1,7,0,5,0,PRICE
5,28,17,5,5,TITLE
7,32,23,1,6,SIM_CARD_SLOT
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
1,2,2,0,0,SCREEN_TYPE
5,23,17,2,4,TITLE
1,7,0,5,0,PRICE
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
6,31,20,5,5,TITLE
1,6,0,4,0,PRICE
1,7,3,4,0,BATTERY_CAPACITY
2,8,2,4,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
1,8,1,7,0,SCREEN_RESOLUTION
5,25,19,2,4,TITLE
1,7,0,5,0,PRICE
5,38,25,6,5,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
7,28,20,2,6,TITLE
1,7,0,5,0,PRICE
