@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
2,21,16,1,1,SCREEN_TYPE
4,22,16,3,3,TITLE
1,4,4,0,0,BRAND
1,6,0,4,0,PRICE
2,38,25,4,1,WIRELESS_CONNECTIVITY
2,16,10,4,1,BATTERY_CAPACITY
2,16,11,2,1,CPU_CORES
8,43,25,5,9,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
4,38,32,1,3,SCREEN_TYPE
5,26,21,1,4,TITLE
1,7,7,0,0,DEVICE_TYPE
5,28,23,0,4,SIM_CARD_TYPE
1,6,6,0,0,BRAND
1,7,0,5,0,PRICE
1,34,25,2,0,WIRELESS_CONNECTIVITY
9,59,28,20,8,NETWORK_4G
4,33,18,10,3,NETWORK_2G
2,9,6,2,1,CPU
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
6,39,29,3,5,SCREEN_TYPE
4,27,23,1,3,TITLE
1,7,7,0,0,BRAND
1,6,0,4,0,PRICE
2,32,21,4,1,WIRELESS_CONNECTIVITY
2,16,10,4,1,BATTERY_CAPACITY
2,16,11,2,1,CPU_CORES
3,16,6,4,2,CAMERA_FRONT
3,17,6,5,2,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
4,23,19,1,3,SCREEN_TYPE
8,53,44,2,7,TITLE
1,7,0,5,0,PRICE
1,32,24,2,0,WIRELESS_CONNECTIVITY
3,36,19,8,3,BATTERY_CAPACITY
2,10,6,3,1,GPU
4,33,21,7,3,CPU
2,16,11,2,1,CPU_CORES
5,30,21,3,4,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
5,26,21,1,4,TITLE
1,7,0,5,0,PRICE
1,17,14,0,0,NETWORK_TYPE
2,16,10,4,1,BATTERY_CAPACITY
2,9,6,2,1,CPU
2,16,11,2,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
4,34,29,1,3,SCREEN_TYPE
4,23,18,2,3,TITLE
10,52,42,0,9,SIM_CARD_TYPE
1,6,0,4,0,PRICE
1,34,25,2,0,WIRELESS_CONNECTIVITY
1,7,3,4,0,BATTERY_CAPACITY
2,8,2,4,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
2,25,19,1,1,SCREEN_TYPE
4,23,18,1,3,TITLE
1,7,7,0,0,BRAND
1,24,18,2,0,WIRELESS_CONNECTIVITY
9,59,28,20,8,NETWORK_4G
5,32,18,9,4,NETWORK_3G
1,7,3,4,0,BATTERY_CAPACITY
7,33,23,2,6,EXTERNAL_MEMORY
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
3,10,1,7,2,SCREEN_RESOLUTION
4,22,17,2,3,TITLE
1,4,1,2,0,BLUETOOTH_VERSION
1,7,0,5,0,PRICE
3,43,33,2,2,WIRELESS_CONNECTIVITY
15,105,49,36,14,NETWORK_4G
9,65,36,18,8,NETWORK_3G
1,25,20,0,0,NETWORK_TYPE
1,7,3,4,0,BATTERY_CAPACITY
1,6,2,3,0,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
6,31,24,2,5,TITLE
1,7,0,5,0,PRICE
2,16,10,4,1,BATTERY_CAPACITY
