11.76%	87.65%	88.24%	87.78%	700.90ms
50.32%	25.42%	49.68%	33.40%	104.50ms
11.71%	87.81%	88.29%	87.90%	2887.00ms
19.56%	84.10%	80.44%	80.46%	5363.10ms
34.24%	68.13%	65.76%	65.77%	603.80ms
9.48%	90.07%	90.52%	90.18%	8995.60ms
39.20%	50.29%	60.80%	52.68%	15655.20ms
19.42%	79.22%	80.58%	79.43%	450857.00ms
