TITLE|DEVICE_TYPE|OS|BRAND|PRICE|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|CAMERA_FRONT|CAMERA_BACK|SCREEN_SIZE|SCREEN_TYPE|SCREEN_RESOLUTION|GPU|CPU|CPU_CORES|WEIGHT|PRODUCT_SIZE|RAM|EXTERNAL_MEMORY|BATTERY_CAPACITY|ROM|SIM_CARD_SLOT
huawei honor t3 ( kob-l09 ) 4g phablet|phablet |android 7.0 |huawei |$200.2|b38/b39/b40/b41|td-scdma band 34/39,wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte,gsm,td-scdma,tdd-lte,wcdma |802.11 a/b/g/n/ac wireless internet |2.0mp |5.0mp with af |8 inch |capacitive |1280 x 800 (wxga) |adreno 308 |qualcomm snapdragon 425 |1.4ghz,quad core |0.3600 kg |21.10 x 12.47 x 0.80 cm / 8.31 x 4.91 x 0.31 inches |2gb |tf card up to 128gb (not included) |4800mah, li-ion polymer battery |16gb |nano sim card slot,single sim 
chuwi hi13 2 in 1 tablet pc|notebook |windows 10 |chuwi |$299.99|||||802.11 a/b/g/n/ac wireless internet |2.0mp |5.0mp |"13.5"" "|ips |3000 x 2000 |intel hd graphics 500 |intel apollo lake celeron n3450 |1.1ghz,quad core |1.0990 kg |33.20 x 22.00 x 0.80 cm / 13.07 x 8.66 x 0.31 inches |4gb ||3.7v / 10000mah |64gb |
huawei honor t1 - 821w tablet pc|tablet pc |android 4.4 |huawei |$169.96|||||802.11 a/b/g/n/ac wireless internet |2.0mp |5.0mp |8 inch |capacitive (5-point) |1280 x 800 (wxga) |adreno 306 |msm8916 |1.2ghz,quad core |0.3500 kg |21.06 x 12.77 x 0.79 cm / 8.29 x 5.03 x 0.31 inches |2gb |tf card up to 32gb (not included) |3.7v / 4800mah, li-ion polymer battery |16gb |
716 kids tablet pc|kids tablet |android 4.4 ||$53.19|||||802.11b/g/n wireless internet |0.3mp |0.3mp |7 inch |capacitive |1024 x 600 (wsvga) |mali-400 |rk3126 |1.2ghz,quad core |0.3070 kg |19.10 x 12.80 x 1.20 cm / 7.52 x 5.04 x 0.47 inches |512mb |tf card up to 32gb (not included) |3.7v / 3000mah |8gb |
hipo s96 3g phablet|phablet |android 5.1 |hipo |$83.49||wcdma 2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11b/g/n wireless internet |0.3mp |2.0mp |9.6 inch |capacitive (5-point) |1280 x 800 (wxga) |mali-400 mp |mtk8321 |1.34ghz,quad core |0.4500 kg |22.60 x 16.10 x 0.85 cm / 8.9 x 6.34 x 0.33 inches |1gb |tf card up to 128gb (not included) |3.7v / 4500mah |16gb |dual sim,dual standby,standard sim card slot 
chuwi hi10 tablet pc|tablet pc |android 5.1,windows 10 |chuwi |$200.99|||||802.11b/g/n wireless internet |2.0mp |2.0mp |10.1 inch |capacitive (10-point) |1920 x 1200 (wuxga) ||intel cherry trail x5-z8350 |1.44ghz,quad core |0.4740 kg |25.75 x 17.10 x 0.89 cm / 10.14 x 6.73 x 0.35 inches |4gb |tf card up to 128gb (not included) |3.7v / 6600mah |64gb |
asus zenpad 3s 10 z500m tablet pc|tablet pc |android 6.0 |asus |$387.62|||||802.11 a/b/g/n/ac wireless internet |5.0mp |8.0mp |9.7 inch |capacitive (10-point),ips |2048 x 1536 (qxga) |powervr gx6250 |mtk mt8176 |dual-core 2.1 ghz +quad-core 1.7 ghz |0.430 kg |24.05 x 16.37 x 0.58 cm / 9.47 x 6.44 x 0.23 inches |4gb |tf card up to 128gb (not included) |built-in 3.7v / 5900mah lithium ion polymer battery |64gb |
excelvan 711 kids tablet pc|kids tablet |android 4.4 |excelvan |$59.39|||||802.11b/g/n wireless internet |2.0mp |2.0mp |7 inch |capacitive (5-point) |1024 x 600 (wsvga) |opengl es 2.0 |rk3126 |1.2ghz,quad core |0.3500 kg |23.00 x 13.00 x 1.20 cm / 9.06 x 5.12 x 0.47 inches |512mb |tf card up to 64gb (not included) |3000mah |8gb |
jumper ezpad 6 2 in 1 tablet pc|tablet pc |windows 10 |jumper |$185.99|||||802.11b/g/n wireless internet |2.0mp ||11.6 inch |ips |1920 x 1080 (fhd) |intel hd graphics 400 |intel cherry trail x5-z8350 |1.44ghz,quad core |0.7000 kg |29.00 x 18.00 x 1.00 cm / 11.42 x 7.09 x 0.39 inches |4gb ||3.8v / 7000mah, li-ion polymer battery |64gb |
q88h kid tablet pc|kids tablet |android 4.4 ||$51.07|||||802.11b/g/n wireless internet |0.3mp |0.3mp |7 inch ||1024 x 600 (wsvga) |mali-400 mp |a33 |1.3ghz |0.2780 kg |18.30 x 12.00 x 0.80 cm / 7.2 x 4.72 x 0.31 inches |512mb |tf card up to 32gb (not included) |3.7v / 2000mah |8gb |
pipo p7 tablet pc|tablet pc |android 4.4 |pipo |$158.71|||||802.11b/g/n wireless internet |2.0mp |5.0mp |9.4 inch |capacitive (10-point) |1280 x 800 (wxga) |mali-t764 |rk3288 |1.8ghz,quad core |0.5350 kg |24.00 x 17.00 x 0.90 cm / 9.45 x 6.69 x 0.35 inches |2gb |tf card up to 64gb (not included) |6400mah, li-ion polymer battery |16gb |
chuwi vi10 plus tablet pc|tablet pc |remix os 2.0 |chuwi |$149.76|||||802.11b/g/n wireless internet |2.0mp |2.0mp |10.8 inch |capacitive (10-point),ips |1920 x 1280 |intel hd graphic(gen8) |cherry trail z8300 |1.44ghz,quad core |0.6860 kg |27.64 x 18.48 x 0.88 cm / 10.88 x 7.28 x 0.35 inches |2gb |tf card up to 128gb (not included) |3.7v/8400mah |32gb |
