@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
2,14,11,CPU_CORES
1,5,2,CAMERA_BACK
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
3,10,1,SCREEN_RESOLUTION
21,117,79,TITLE
1,8,8,BRAND
1,7,0,PRICE
1,4,2,CPU
4,28,18,CPU_CORES
2,8,2,WEIGHT
6,20,4,PRODUCT_SIZE
2,9,4,SCREEN_SIZE
2,15,13,SCREEN_TYPE
4,16,4,SCREEN_RESOLUTION
6,32,22,TITLE
2,11,10,DEVICE_TYPE
1,6,6,BRAND
1,5,0,PRICE
2,14,4,BATTERY_CAPACITY
1,8,4,GPU
1,3,1,CPU
4,24,16,CAMERA_BACK
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
2,6,4,SCREEN_SIZE
1,13,12,SCREEN_TYPE
4,18,6,SCREEN_RESOLUTION
3,15,9,TITLE
1,6,0,PRICE
2,13,8,NETWORK_3G
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
4,17,5,SCREEN_RESOLUTION
7,50,36,TITLE
1,6,6,BRAND
4,35,22,WIFI
3,23,15,BATTERY_CAPACITY
3,19,14,CPU
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
2,8,4,SCREEN_SIZE
4,19,6,SCREEN_RESOLUTION
10,43,25,TITLE
1,7,0,PRICE
4,32,22,BATTERY_CAPACITY
1,9,5,GPU
4,24,17,CPU
2,16,11,CPU_CORES
7,39,28,CAMERA_BACK
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
2,9,4,SCREEN_SIZE
4,20,13,TITLE
1,3,3,BRAND
1,7,0,PRICE
3,16,9,NETWORK_3G
5,38,23,BATTERY_CAPACITY
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
2,21,15,SCREEN_TYPE
4,22,17,TITLE
1,7,7,BRAND
1,6,0,PRICE
2,12,8,GPU
1,7,3,CPU
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
4,22,17,TITLE
1,6,0,PRICE
5,38,23,BATTERY_CAPACITY
2,13,7,GPU
2,9,2,WEIGHT
12,49,12,PRODUCT_SIZE
8,34,23,TITLE
1,7,0,PRICE
3,22,17,GPU
3,18,12,CPU
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
2,9,4,SCREEN_SIZE
4,22,15,TITLE
2,11,10,DEVICE_TYPE
6,23,15,SIM_CARD_SLOT
2,11,7,OS
1,3,3,BRAND
4,19,13,NETWORK_3G
4,42,14,NETWORK_2G
1,7,3,CPU
3,17,11,CPU_CORES
2,8,2,WEIGHT
12,48,12,PRODUCT_SIZE
2,6,4,SCREEN_SIZE
4,19,13,TITLE
6,45,38,SIM_CARD_SLOT
5,39,25,BATTERY_CAPACITY
2,8,3,CPU
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
4,18,13,TITLE
1,6,0,PRICE
2,14,4,BATTERY_CAPACITY
1,6,3,CPU_CORES
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
8,32,22,TITLE
5,38,25,BATTERY_CAPACITY
4,21,15,GPU
3,19,13,CPU
2,16,11,CPU_CORES
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
7,42,36,TITLE
1,7,0,PRICE
2,14,4,BATTERY_CAPACITY
4,21,15,GPU
4,19,11,CPU
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
6,38,24,TITLE
5,29,24,SIM_CARD_SLOT
1,7,0,PRICE
4,61,18,NETWORK_4G
4,45,17,NETWORK_3G
4,31,22,BATTERY_CAPACITY
1,3,2,RAM_CAPACITY
2,10,6,GPU
3,23,18,CPU
2,16,11,CPU_CORES
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
2,8,4,SCREEN_SIZE
6,38,24,TITLE
1,6,0,PRICE
1,15,4,NETWORK_4G
4,46,19,NETWORK_3G
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
7,27,17,TITLE
1,8,8,DEVICE_TYPE
1,5,5,BRAND
1,7,0,PRICE
2,15,4,BATTERY_CAPACITY
5,31,23,CPU
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
1,9,0,SCREEN_SIZE
3,11,1,SCREEN_RESOLUTION
6,32,21,TITLE
1,7,0,PRICE
5,38,23,BATTERY_CAPACITY
2,10,6,GPU
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
4,18,12,TITLE
1,6,0,PRICE
2,14,4,BATTERY_CAPACITY
1,6,2,CPU
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
4,19,13,TITLE
1,6,0,PRICE
2,14,4,BATTERY_CAPACITY
1,7,3,CPU
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
4,20,15,TITLE
3,22,14,OS
1,7,0,PRICE
2,14,4,BATTERY_CAPACITY
4,27,18,CPU
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
7,33,21,TITLE
1,7,0,PRICE
7,51,35,BATTERY_CAPACITY
2,14,9,GPU
2,10,5,CPU
6,36,22,CPU_CORES
2,8,2,WEIGHT
12,51,12,PRODUCT_SIZE
2,8,4,SCREEN_SIZE
4,18,5,SCREEN_RESOLUTION
5,27,20,TITLE
1,8,8,BRAND
1,6,0,PRICE
3,13,8,GPU
12,51,12,PRODUCT_SIZE
8,31,21,TITLE
1,6,6,BRAND
1,7,0,PRICE
5,38,23,BATTERY_CAPACITY
12,52,12,PRODUCT_SIZE
1,6,0,PRICE
4,17,13,TITLE
1,4,4,BRAND
1,7,0,PRICE
4,31,22,BATTERY_CAPACITY
1,9,5,GPU
1,6,2,CPU
2,9,2,WEIGHT
2,8,4,SCREEN_SIZE
5,25,19,TITLE
3,12,7,OS
1,7,0,PRICE
1,12,4,BATTERY_CAPACITY
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
2,9,4,SCREEN_SIZE
3,11,1,SCREEN_RESOLUTION
5,22,16,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
5,26,17,TITLE
7,29,20,SIM_CARD_SLOT
1,7,0,PRICE
4,44,18,NETWORK_4G
5,38,23,BATTERY_CAPACITY
1,8,4,CPU
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
7,30,22,TITLE
1,3,3,BRAND
1,8,4,GPU
2,16,11,CPU_CORES
2,8,2,WEIGHT
12,48,12,PRODUCT_SIZE
15,77,51,TITLE
1,6,0,PRICE
8,31,21,TITLE
1,7,0,PRICE
7,51,35,BATTERY_CAPACITY
2,14,11,CPU_CORES
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
5,26,18,TITLE
3,25,22,SIM_CARD_SLOT
2,10,9,BRAND
1,7,0,PRICE
2,43,9,NETWORK_4G
2,26,8,NETWORK_3G
2,17,14,NETWORK_TYPE
1,13,4,BATTERY_CAPACITY
1,7,3,CPU
2,8,2,WEIGHT
12,51,12,PRODUCT_SIZE
3,17,11,TITLE
1,7,0,PRICE
2,14,4,BATTERY_CAPACITY
2,9,2,WEIGHT
19,115,79,TITLE
2,11,7,OS
1,7,0,PRICE
6,37,27,NETWORK_3G
2,11,6,CPU
2,19,15,CPU_CORES
2,8,2,WEIGHT
6,21,4,PRODUCT_SIZE
4,20,13,TITLE
1,7,0,PRICE
1,7,3,CPU
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
3,10,1,SCREEN_RESOLUTION
1,6,0,PRICE
4,17,13,TITLE
1,6,0,PRICE
5,38,23,BATTERY_CAPACITY
12,51,12,PRODUCT_SIZE
8,45,28,TITLE
1,6,0,PRICE
4,31,22,BATTERY_CAPACITY
2,10,6,GPU
4,29,21,CPU
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
4,22,16,TITLE
1,7,0,PRICE
6,48,30,BATTERY_CAPACITY
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
7,38,24,TITLE
9,55,42,SIM_CARD_SLOT
1,7,0,PRICE
1,7,3,BATTERY_CAPACITY
1,10,6,GPU
1,7,3,CPU
2,16,11,CPU_CORES
5,29,21,CAMERA_BACK
2,8,2,WEIGHT
12,49,12,PRODUCT_SIZE
7,40,21,TITLE
1,7,0,PRICE
2,13,7,GPU
3,19,14,CPU
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
6,25,19,TITLE
1,7,0,PRICE
2,10,5,GPU
1,7,3,CPU
6,43,25,CPU_CORES
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
2,8,4,SCREEN_SIZE
8,49,28,TITLE
7,28,21,TITLE
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
7,40,23,TITLE
4,19,16,SIM_CARD_SLOT
1,7,0,PRICE
4,50,19,NETWORK_4G
5,41,26,NETWORK_TYPE
3,23,18,CPU
12,50,12,PRODUCT_SIZE
6,29,23,TITLE
1,7,0,PRICE
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
11,55,41,TITLE
2,23,21,DEVICE_TYPE
1,7,0,PRICE
1,12,4,BATTERY_CAPACITY
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
6,33,24,TITLE
1,7,0,PRICE
6,48,30,BATTERY_CAPACITY
1,5,1,CPU
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
7,37,21,TITLE
1,6,0,PRICE
1,6,0,PRICE
2,8,2,WEIGHT
6,35,23,TITLE
1,6,0,PRICE
2,8,2,WEIGHT
12,51,12,PRODUCT_SIZE
9,43,31,TITLE
1,14,13,DEVICE_TYPE
1,7,0,PRICE
1,12,4,BATTERY_CAPACITY
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
1,21,19,SCREEN_TYPE
9,38,26,TITLE
1,7,0,PRICE
9,41,29,TITLE
1,17,16,DEVICE_TYPE
1,7,0,PRICE
2,8,2,WEIGHT
12,52,12,PRODUCT_SIZE
6,33,20,TITLE
1,6,0,PRICE
4,20,13,TITLE
1,6,0,PRICE
7,32,19,TITLE
1,7,0,PRICE
2,13,7,GPU
1,7,3,CPU
2,16,11,CPU_CORES
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
5,30,24,TITLE
1,7,0,PRICE
3,31,19,BATTERY_CAPACITY
2,14,13,GPU
2,8,2,WEIGHT
2,32,24,SCREEN_TYPE
11,47,33,TITLE
1,7,0,PRICE
2,14,4,BATTERY_CAPACITY
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
11,51,37,TITLE
3,23,20,DEVICE_TYPE
1,7,0,PRICE
1,12,4,BATTERY_CAPACITY
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
9,37,25,TITLE
1,7,0,PRICE
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
5,27,16,TITLE
1,6,0,PRICE
1,7,3,BATTERY_CAPACITY
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
1,8,1,SCREEN_RESOLUTION
5,23,19,TITLE
2,16,14,DEVICE_TYPE
1,6,0,PRICE
1,12,4,BATTERY_CAPACITY
3,17,15,GPU
4,24,17,CPU
2,16,11,CPU_CORES
2,9,2,WEIGHT
12,49,12,PRODUCT_SIZE
5,28,18,TITLE
1,7,0,PRICE
4,57,18,NETWORK_4G
4,31,22,BATTERY_CAPACITY
1,8,4,GPU
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
1,6,0,PRICE
10,45,33,TITLE
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
5,27,21,TITLE
1,7,0,PRICE
12,50,12,PRODUCT_SIZE
1,7,0,PRICE
2,9,2,WEIGHT
6,28,21,TITLE
2,14,12,DEVICE_TYPE
2,14,4,BATTERY_CAPACITY
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
5,22,17,TITLE
1,6,0,PRICE
2,14,4,BATTERY_CAPACITY
12,51,12,PRODUCT_SIZE
5,23,17,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
9,41,30,TITLE
1,7,0,PRICE
1,12,4,BATTERY_CAPACITY
2,12,7,GPU
3,18,11,CPU
2,16,11,CPU_CORES
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
1,6,0,PRICE
5,28,17,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
5,27,18,TITLE
1,7,0,PRICE
4,19,13,TITLE
2,13,3,BATTERY_CAPACITY
7,39,28,CAMERA_BACK
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
5,30,18,TITLE
1,7,0,PRICE
5,39,25,BATTERY_CAPACITY
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
1,6,0,PRICE
7,29,20,TITLE
7,52,35,BATTERY_CAPACITY
1,7,3,CPU_CORES
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
4,19,13,TITLE
4,33,19,NETWORK_3G
1,14,6,NETWORK_2G
1,13,4,WIFI
5,39,25,BATTERY_CAPACITY
12,51,12,PRODUCT_SIZE
1,6,0,PRICE
4,21,14,TITLE
1,7,0,PRICE
2,17,11,CPU_CORES
15,83,56,TITLE
4,22,18,SIM_CARD_SLOT
2,11,7,OS
1,6,0,PRICE
3,22,15,BATTERY_CAPACITY
1,7,3,CPU
3,17,11,CPU_CORES
2,8,2,WEIGHT
6,20,4,PRODUCT_SIZE
9,37,25,TITLE
1,7,0,PRICE
3,13,9,TITLE
1,6,0,PRICE
2,15,5,WIFI
2,14,4,BATTERY_CAPACITY
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
9,48,36,TITLE
1,7,0,PRICE
2,38,9,NETWORK_4G
5,40,14,NETWORK_3G
2,14,4,BATTERY_CAPACITY
2,16,11,CPU
2,14,11,CPU_CORES
2,8,2,WEIGHT
12,51,12,PRODUCT_SIZE
4,19,15,TITLE
5,38,23,BATTERY_CAPACITY
12,51,12,PRODUCT_SIZE
1,7,0,PRICE
4,22,19,TITLE
2,11,10,DEVICE_TYPE
1,7,0,PRICE
3,19,11,CPU
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
9,43,28,TITLE
15,73,53,SIM_CARD_SLOT
1,6,0,PRICE
6,99,23,NETWORK_2G
1,7,3,BATTERY_CAPACITY
3,27,18,CPU_CORES
2,8,2,WEIGHT
12,51,12,PRODUCT_SIZE
1,6,0,PRICE
11,64,38,TITLE
1,5,0,PRICE
9,42,28,TITLE
1,7,0,PRICE
5,28,17,TITLE
7,32,23,SIM_CARD_SLOT
1,6,0,PRICE
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
1,2,2,SCREEN_TYPE
5,23,17,TITLE
1,7,0,PRICE
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
1,7,0,PRICE
6,31,20,TITLE
1,6,0,PRICE
1,7,3,BATTERY_CAPACITY
2,8,2,WEIGHT
12,52,12,PRODUCT_SIZE
1,8,1,SCREEN_RESOLUTION
5,25,19,TITLE
1,7,0,PRICE
5,38,25,BATTERY_CAPACITY
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
7,28,20,TITLE
1,7,0,PRICE
2,10,5,GPU
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
8,39,30,TITLE
1,6,0,PRICE
1,12,4,BATTERY_CAPACITY
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
7,30,19,TITLE
1,7,0,PRICE
5,38,23,BATTERY_CAPACITY
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
23,126,85,TITLE
1,7,0,PRICE
1,6,0,PRICE
1,6,0,PRICE
4,19,13,TITLE
1,7,0,PRICE
6,56,21,NETWORK_4G
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
1,7,0,PRICE
5,25,17,TITLE
1,7,0,PRICE
1,8,4,CPU
1,7,0,PRICE
2,9,2,WEIGHT
9,35,23,TITLE
2,14,4,BATTERY_CAPACITY
2,9,2,WEIGHT
7,36,27,TITLE
4,42,19,NETWORK_4G
2,15,6,NETWORK_2G
2,16,7,WIFI
2,14,4,BATTERY_CAPACITY
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
1,6,0,PRICE
1,7,0,PRICE
6,29,23,TITLE
1,7,0,PRICE
2,14,4,BATTERY_CAPACITY
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
9,50,33,TITLE
1,7,0,PRICE
6,48,30,BATTERY_CAPACITY
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
10,53,42,TITLE
1,8,0,PRICE
5,32,17,TITLE
6,24,17,SIM_CARD_SLOT
1,7,0,PRICE
5,42,19,NETWORK_4G
1,9,5,GPU
7,37,21,TITLE
9,54,41,SIM_CARD_SLOT
1,6,0,PRICE
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
6,30,22,TITLE
1,6,0,PRICE
4,32,20,WIFI
2,17,11,CPU_CORES
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
10,62,47,TITLE
1,5,0,PRICE
24,137,91,TITLE
1,7,0,PRICE
1,7,3,BATTERY_CAPACITY
2,13,10,CPU
2,8,2,WEIGHT
12,51,12,PRODUCT_SIZE
10,62,47,TITLE
1,5,0,PRICE
6,32,25,TITLE
4,36,30,DEVICE_TYPE
3,22,14,OS
1,7,0,PRICE
6,50,34,BATTERY_CAPACITY
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
6,32,24,TITLE
5,38,23,BATTERY_CAPACITY
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
1,7,0,PRICE
16,90,57,TITLE
1,6,0,PRICE
3,22,15,BATTERY_CAPACITY
1,6,2,CPU
2,16,13,CPU_CORES
2,7,2,WEIGHT
6,20,4,PRODUCT_SIZE
5,54,20,NETWORK_4G
4,48,18,NETWORK_3G
2,20,6,NETWORK_2G
6,50,34,BATTERY_CAPACITY
1,4,3,RAM_TYPE
3,27,18,CPU_CORES
12,51,12,PRODUCT_SIZE
4,20,14,TITLE
16,78,57,SIM_CARD_SLOT
2,13,4,BATTERY_CAPACITY
2,10,6,GPU
1,7,3,CPU
2,8,2,WEIGHT
12,49,12,PRODUCT_SIZE
2,9,4,SCREEN_SIZE
4,21,15,TITLE
1,6,6,BRAND
1,6,0,PRICE
4,31,22,BATTERY_CAPACITY
1,4,3,RAM_TYPE
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
1,6,0,PRICE
4,18,13,TITLE
1,4,4,BRAND
1,6,0,PRICE
1,5,4,RAM_TYPE
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
1,7,0,PRICE
5,21,15,TITLE
1,7,0,PRICE
5,38,23,BATTERY_CAPACITY
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
5,25,19,TITLE
1,7,0,PRICE
2,14,4,BATTERY_CAPACITY
2,9,2,WEIGHT
1,6,5,RAM_TYPE
6,30,19,TITLE
2,15,4,BATTERY_CAPACITY
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
2,7,4,SCREEN_SIZE
3,11,1,SCREEN_RESOLUTION
1,6,0,PRICE
4,20,13,TITLE
4,49,18,NETWORK_4G
1,24,19,NETWORK_TYPE
4,30,22,BATTERY_CAPACITY
12,51,12,PRODUCT_SIZE
1,7,0,PRICE
5,28,22,TITLE
1,9,9,BLUETOOTH_VERSION
2,7,6,DEVICE_TYPE
1,5,3,OS_BITS
1,6,6,BRAND
1,7,0,PRICE
4,22,15,GPU
1,13,6,CPU
1,6,3,CPU_CORES
4,17,9,STORAGE_SSD
2,9,2,WEIGHT
12,49,12,PRODUCT_SIZE
1,6,6,COLOR
1,1,0,ETHERNET_SPEED
5,24,17,TITLE
1,7,7,BLUETOOTH_VERSION
2,6,5,DEVICE_TYPE
1,5,3,OS_BITS
1,6,0,PRICE
2,17,6,WIFI
2,16,10,GPU
2,12,8,CPU
1,3,2,EXTERNAL_MEMORY
1,3,1,STORAGE_SSD
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
1,5,5,COLOR
4,21,17,TITLE
2,13,9,BLUETOOTH_VERSION
1,8,8,BRAND
1,6,0,PRICE
2,6,4,RAM_CAPACITY
1,11,6,GPU
2,10,7,CPU
3,15,8,STORAGE_SSD
12,50,12,PRODUCT_SIZE
1,5,1,ETHERNET_SPEED
9,48,33,TITLE
2,13,7,OS
1,5,0,PRICE
1,11,3,WIFI
2,6,4,RAM_CAPACITY
1,8,4,GPU
2,14,10,CPU
2,6,4,STORAGE_SSD
12,51,12,PRODUCT_SIZE
9,45,29,TITLE
1,5,5,BRAND
1,7,0,PRICE
1,2,1,RAM_CAPACITY
2,9,2,WEIGHT
12,45,12,PRODUCT_SIZE
9,47,35,TITLE
1,12,9,BLUETOOTH_VERSION
1,6,0,PRICE
1,2,1,RAM_CAPACITY
2,13,9,CPU
2,16,11,CPU_CORES
12,49,12,PRODUCT_SIZE
5,21,15,TITLE
1,6,0,PRICE
2,6,4,RAM_CAPACITY
2,7,4,STORAGE_SSD
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
2,9,1,ETHERNET_SPEED
6,20,14,TITLE
1,3,3,BRAND
1,6,0,PRICE
1,5,2,RAM_CAPACITY
1,6,2,STORAGE_SSD
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
1,4,1,ETHERNET_SPEED
9,45,33,TITLE
1,6,0,PRICE
1,2,1,RAM_CAPACITY
1,2,1,STORAGE_SSD
2,9,2,WEIGHT
13,61,33,TITLE
1,7,0,PRICE
3,14,11,GPU
4,24,17,CPU
2,17,11,CPU_CORES
12,50,12,PRODUCT_SIZE
1,6,6,COLOR
1,3,1,STORAGE_SSD
11,49,35,TITLE
1,7,0,PRICE
1,3,1,STORAGE_SSD
2,9,2,WEIGHT
12,45,12,PRODUCT_SIZE
11,62,44,TITLE
1,8,8,BRAND
1,6,0,PRICE
1,5,2,EXTERNAL_MEMORY
2,8,2,WEIGHT
12,51,12,PRODUCT_SIZE
9,48,35,TITLE
1,6,6,BRAND
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
9,44,33,TITLE
1,6,6,BRAND
1,6,0,PRICE
2,12,8,CPU
2,9,2,WEIGHT
12,48,12,PRODUCT_SIZE
11,56,36,TITLE
1,7,0,PRICE
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
5,20,16,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
6,23,15,TITLE
1,6,0,PRICE
2,9,8,CPU_CORES
4,18,13,TITLE
1,7,7,BRAND
1,6,0,PRICE
1,10,6,GPU
2,13,10,CPU
12,49,12,PRODUCT_SIZE
8,48,32,TITLE
1,6,0,PRICE
2,13,8,GPU
1,6,2,CPU
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
10,46,33,TITLE
3,22,14,OS
1,7,0,PRICE
3,17,7,WIFI
4,23,16,CPU
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
10,52,40,TITLE
1,7,7,BRAND
1,6,0,PRICE
2,14,4,WIFI
12,49,12,PRODUCT_SIZE
3,10,6,TITLE
1,7,7,OS
1,6,0,PRICE
1,11,6,GPU
12,51,12,PRODUCT_SIZE
6,27,20,TITLE
1,8,8,BRAND
1,6,0,PRICE
1,6,2,CPU
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
5,24,15,TITLE
1,7,0,PRICE
3,29,20,CPU
6,28,18,TITLE
1,5,5,BRAND
1,5,0,PRICE
12,51,12,PRODUCT_SIZE
7,30,23,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
12,49,12,PRODUCT_SIZE
4,19,14,TITLE
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
7,35,24,TITLE
2,12,7,OS
1,4,1,STORAGE_SSD
12,51,12,PRODUCT_SIZE
2,21,18,COLOR
5,20,15,TITLE
2,6,4,RAM_CAPACITY
3,17,11,CPU
2,7,4,STORAGE_SSD
12,50,12,PRODUCT_SIZE
10,52,39,TITLE
3,19,12,BLUETOOTH_VERSION
1,6,0,PRICE
1,2,2,EXTERNAL_MEMORY
12,51,12,PRODUCT_SIZE
6,31,26,TITLE
4,15,11,TITLE
1,7,0,PRICE
3,19,13,CPU
2,11,10,CPU_CORES
2,8,4,STORAGE_SSD
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
1,7,0,PRICE
1,13,6,CPU
2,8,2,WEIGHT
7,38,31,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
8,59,52,TITLE
1,6,0,PRICE
5,23,16,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
12,49,12,PRODUCT_SIZE
7,33,26,TITLE
1,7,0,PRICE
2,9,2,WIFI
2,8,2,WEIGHT
4,17,12,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
12,49,12,PRODUCT_SIZE
7,33,21,TITLE
1,7,0,PRICE
6,31,24,TITLE
1,6,0,PRICE
5,26,21,TITLE
1,8,8,BRAND
1,7,0,PRICE
12,50,12,PRODUCT_SIZE
8,40,29,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
2,9,8,COLOR
5,31,26,TITLE
1,7,7,BRAND
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
6,29,23,TITLE
1,7,0,PRICE
3,22,17,GPU
5,32,22,CPU
2,8,2,WEIGHT
12,51,12,PRODUCT_SIZE
10,53,39,TITLE
1,6,0,PRICE
2,8,2,WEIGHT
12,50,12,PRODUCT_SIZE
9,48,38,TITLE
3,23,14,OS
1,6,0,PRICE
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
11,57,38,TITLE
12,51,12,PRODUCT_SIZE
2,12,2,ETHERNET_SPEED
8,44,32,TITLE
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
5,21,16,TITLE
1,6,0,PRICE
3,13,8,RAM_CAPACITY
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
1,6,0,PRICE
4,14,8,TITLE
1,4,2,BRAND
1,6,0,PRICE
12,49,12,PRODUCT_SIZE
5,24,19,TITLE
1,7,7,BRAND
1,6,0,PRICE
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
7,36,26,TITLE
1,6,0,PRICE
4,21,14,GPU
2,11,6,CPU
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
8,36,28,TITLE
1,6,0,PRICE
7,35,25,TITLE
1,6,0,PRICE
2,8,2,WEIGHT
12,49,12,PRODUCT_SIZE
5,26,18,TITLE
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
8,42,33,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
1,14,3,ETHERNET_SPEED
8,37,29,TITLE
1,7,0,PRICE
7,32,25,TITLE
6,28,15,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
6,27,16,TITLE
1,6,0,PRICE
12,50,12,PRODUCT_SIZE
8,43,30,TITLE
4,14,10,TITLE
1,6,0,PRICE
12,50,12,PRODUCT_SIZE
5,22,10,TITLE
1,12,9,BLUETOOTH_VERSION
1,6,0,PRICE
