Decision Tree & 13.22% & 86.29% & 86.78% & 86.33% & 696.00ms \\
Decision Stump & 50.32% & 25.42% & 49.68% & 33.40% & 86.90ms \\
Decision List & 13.22% & 86.31% & 86.78% & 86.34% & 2708.20ms \\
Decision Table & 20.57% & 83.59% & 79.43% & 79.51% & 4280.30ms \\
Naive Bayes & 35.23% & 67.31% & 64.77% & 64.84% & 561.00ms \\
Random Forrest & 11.30% & 88.20% & 88.70% & 88.31% & 8173.00ms \\
Support Vector Machine & 39.03% & 44.75% & 60.97% & 50.31% & 13523.30ms \\
Multilayer Perceptron & 21.06% & 78.05% & 78.94% & 77.42% & 462220.00ms \\
