CONF	PREC	REC	FM	TIME
{ConfidenceFactor=0.4, MinNumObj=2, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1297.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1300.00ms
{ConfidenceFactor=0.3, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1300.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1301.00ms
{ConfidenceFactor=0.4, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1301.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1305.00ms
{ConfidenceFactor=0.3, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1306.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1307.00ms
{ConfidenceFactor=0.3, MinNumObj=2, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1310.00ms
{ConfidenceFactor=0.3, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1311.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1312.00ms
{ConfidenceFactor=0.4, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1317.00ms
{ConfidenceFactor=0.3, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1322.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1324.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1324.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1332.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1338.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1338.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1338.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1346.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1352.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1358.00ms
{ConfidenceFactor=0.3, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1366.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1387.00ms
{ConfidenceFactor=0.3, MinNumObj=2, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1389.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1400.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1404.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1411.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1412.00ms
{ConfidenceFactor=0.3, MinNumObj=2, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1434.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1561.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1593.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1599.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1614.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.18%	1.56%	1.81%	1703.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1706.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	2.18%	1.56%	1.81%	1718.00ms
{ConfidenceFactor=0.3, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	1315.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	1323.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	1329.00ms
{ConfidenceFactor=0.4, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	1332.00ms
{ConfidenceFactor=0.4, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	1333.00ms
{ConfidenceFactor=0.4, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	1349.00ms
{ConfidenceFactor=0.3, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	1354.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	1355.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	1357.00ms
{ConfidenceFactor=0.4, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	1363.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	1364.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	1364.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	1367.00ms
{ConfidenceFactor=0.2, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	1428.00ms
{ConfidenceFactor=0.3, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	1462.00ms
{ConfidenceFactor=0.3, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	1560.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2025.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2025.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2039.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2065.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2065.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2091.00ms
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2129.00ms
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2139.00ms
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2139.00ms
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2139.00ms
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2150.00ms
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2154.00ms
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2158.00ms
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2161.00ms
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2162.00ms
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2166.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2169.00ms
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2169.00ms
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2169.00ms
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2171.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2179.00ms
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2185.00ms
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2187.00ms
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2198.00ms
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2201.00ms
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2204.00ms
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2210.00ms
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2211.00ms
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2211.00ms
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2213.00ms
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2216.00ms
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2219.00ms
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2222.00ms
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2231.00ms
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2237.00ms
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2240.00ms
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2244.00ms
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2246.00ms
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2252.00ms
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2259.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2263.00ms
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2263.00ms
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2264.00ms
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2268.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2273.00ms
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2282.00ms
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2292.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2296.00ms
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2307.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2341.00ms
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2341.00ms
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2352.00ms
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2359.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2368.00ms
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2379.00ms
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2386.00ms
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2398.00ms
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2402.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2404.00ms
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2410.00ms
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2414.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2452.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2465.00ms
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2498.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2546.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2547.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2550.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2594.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2650.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2691.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2720.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2770.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2816.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	2860.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2887.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2907.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	2979.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	3127.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	2.13%	1.48%	1.75%	3444.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	2.13%	1.48%	1.75%	3593.00ms
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	0.00%	0.58%	0.01%	562.00ms
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	0.00%	0.58%	0.01%	566.00ms
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	0.00%	0.58%	0.01%	580.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	0.00%	0.58%	0.01%	581.00ms
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	0.00%	0.58%	0.01%	582.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	0.00%	0.58%	0.01%	583.00ms
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	0.00%	0.58%	0.01%	584.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	0.00%	0.58%	0.01%	585.00ms
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	0.00%	0.58%	0.01%	585.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	0.00%	0.58%	0.01%	586.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	0.00%	0.58%	0.01%	587.00ms
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	0.00%	0.58%	0.01%	587.00ms
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	0.00%	0.58%	0.01%	588.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	0.00%	0.58%	0.01%	589.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	0.00%	0.58%	0.01%	592.00ms
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	0.00%	0.58%	0.01%	593.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	0.00%	0.58%	0.01%	594.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	0.00%	0.58%	0.01%	600.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	0.00%	0.58%	0.01%	600.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	0.00%	0.58%	0.01%	600.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	0.00%	0.58%	0.01%	601.00ms
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	0.00%	0.58%	0.01%	601.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	0.00%	0.58%	0.01%	605.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	0.00%	0.58%	0.01%	606.00ms
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	0.00%	0.58%	0.01%	609.00ms
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	0.00%	0.58%	0.01%	610.00ms
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	0.00%	0.58%	0.01%	611.00ms
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	0.00%	0.58%	0.01%	612.00ms
