{BatchSize=80, MaxDepth=0, NumFeatures=3, NumBaggingIterations=110, BreakTiesRandomly=true}	3.80%	1.89%	2.03%	3872.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=3, NumBaggingIterations=120, BreakTiesRandomly=false}	4.67%	2.71%	3.09%	4089.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=3, NumBaggingIterations=120, BreakTiesRandomly=true}	2.44%	1.81%	1.87%	4125.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=4, NumBaggingIterations=80, BreakTiesRandomly=false}	2.67%	2.05%	2.12%	2708.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=4, NumBaggingIterations=80, BreakTiesRandomly=true}	5.38%	2.22%	2.43%	2716.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=4, NumBaggingIterations=90, BreakTiesRandomly=false}	5.25%	2.30%	2.61%	3044.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=4, NumBaggingIterations=90, BreakTiesRandomly=true}	5.77%	2.22%	2.48%	3024.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=4, NumBaggingIterations=100, BreakTiesRandomly=false}	5.25%	2.14%	2.33%	3469.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=4, NumBaggingIterations=100, BreakTiesRandomly=true}	4.47%	2.14%	2.28%	3418.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=4, NumBaggingIterations=110, BreakTiesRandomly=false}	4.70%	2.14%	2.33%	4075.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=4, NumBaggingIterations=110, BreakTiesRandomly=true}	2.65%	2.05%	2.12%	4014.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=4, NumBaggingIterations=120, BreakTiesRandomly=false}	2.53%	1.97%	2.02%	4609.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=4, NumBaggingIterations=120, BreakTiesRandomly=true}	2.53%	1.97%	2.02%	4545.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=5, NumBaggingIterations=80, BreakTiesRandomly=false}	2.29%	1.97%	1.94%	3154.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=5, NumBaggingIterations=80, BreakTiesRandomly=true}	5.74%	2.30%	2.52%	3203.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=5, NumBaggingIterations=90, BreakTiesRandomly=true}	2.74%	2.96%	2.52%	3438.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=5, NumBaggingIterations=90, BreakTiesRandomly=false}	2.28%	1.97%	1.94%	3505.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=5, NumBaggingIterations=100, BreakTiesRandomly=false}	3.04%	2.22%	2.35%	3594.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=5, NumBaggingIterations=100, BreakTiesRandomly=true}	3.16%	3.12%	2.73%	3552.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=5, NumBaggingIterations=110, BreakTiesRandomly=true}	3.60%	3.37%	3.07%	3864.00ms
