{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	2.13%	1.48%	1.75%	17342.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	20.91%	14.46%	16.76%	7470.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	20.91%	14.46%	16.76%	7460.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	2.13%	1.48%	1.75%	17204.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	2.13%	1.48%	1.75%	17284.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	20.60%	13.48%	16.29%	7047.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	20.60%	13.48%	16.29%	6949.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	2.13%	1.48%	1.75%	17425.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	2.13%	1.48%	1.75%	17397.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	20.91%	14.46%	16.76%	7277.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	20.91%	14.46%	16.76%	7425.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	2.13%	1.48%	1.75%	17177.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	2.13%	1.48%	1.75%	17339.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	20.60%	13.48%	16.29%	6685.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	20.60%	13.48%	16.29%	6806.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	2.13%	1.48%	1.75%	17359.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	2.13%	1.48%	1.75%	17068.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	20.91%	14.46%	16.76%	7367.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	20.91%	14.46%	16.76%	7309.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	2.13%	1.48%	1.75%	16980.00ms
