TITLE|BLUETOOTH_VERSION|WIFI|EXTERNAL_MEMORY|ROM|RAM|PRICE|NETWORK_2G|NETWORK_3G|NETWORK_4G|WIRELESS_CONNECTIVITY|BATTERY_CAPACITY|CAMERA_BACK|CAMERA_FRONT|SIM_CARD_TYPE|PRODUCT_SIZE|WEIGHT|SCREEN_TYPE|SCREEN_SIZE|SCREEN_RESOLUTION|GPU|CPU|OS|CPU_CORES
huawei honor 8 dual sim 32gb frd-al00 gold|v4.2, a2dp, edr, le|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|microsd, up to 256 gb (uses sim 2 slot)|32 gb| 4 gb ram|379 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 1700(aws) / 1900 / 2100|lte band 2(1900), 4(1700/2100), 5(850), 12(700), 17(700)|gsm / hspa / lte|non-removable li-po 3000 mah battery|dual 12 mp, f/2.2, laser autofocus, dual-led (dual tone) flash|8 mp, f/2.4, 1.4 pixel size|dual sim (nano-sim/ micro-sim, dual stand-by)|145.5 x 71 x 7.5 mm (5.73 x 2.80 x 0.30 in)|153 g (5.40 oz)|ltps capacitive touchscreen, 16m colors|5.2 inches (~72.5% screen-to-body ratio)|1080 x 1920 pixels (~423 ppi pixel density)|mali-t880 mp4|hisilicon kirin 950|android os, v6.0 (marshmallow)|octa-core (4x2.3 ghz cortex-a72 & 4x1.8 ghz cortex a53)
huawei p10 plus dual sim 128gb vky-l29 black|4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot|microsd, up to 256 gb (uses sim 2 slot)|128 gb| 6 gb ram|660 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 800 / 850 / 900 / 1700(aws) / 1800 / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / hspa / lte|non-removable li-ion 3750 mah battery|dual 20 mp + 12 mp, f/1.8, ois, leica optics, phase detection and laser autofocus, dual-led (dual tone) flash|8 mp, f/1.9|dual sim (nano-sim, dual stand-by)|153.5 x 74.2 x 7 mm (6.04 x 2.92 x 0.28 in)|165 g (5.82 oz)|ips-neo lcd capacitive touchscreen, 16m colors|5.5 inches (~71.6% screen-to-body ratio)|1440 x 2560 pixels (~540 ppi pixel density)|mali-g71 mp8|hisilicon kirin 960|android 7.0 (nougat)|octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)
huawei p10 plus dual sim 128gb vky-l29 silver|4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot|microsd, up to 256 gb (uses sim 2 slot)|128 gb| 6 gb ram|640 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 800 / 850 / 900 / 1700(aws) / 1800 / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / hspa / lte|non-removable li-ion 3750 mah battery|dual 20 mp + 12 mp, f/1.8, ois, leica optics, phase detection and laser autofocus, dual-led (dual tone) flash|8 mp, f/1.9|dual sim (nano-sim, dual stand-by)|153.5 x 74.2 x 7 mm (6.04 x 2.92 x 0.28 in)|165 g (5.82 oz)|ips-neo lcd capacitive touchscreen, 16m colors|5.5 inches (~71.6% screen-to-body ratio)|1440 x 2560 pixels (~540 ppi pixel density)|mali-g71 mp8|hisilicon kirin 960|android 7.0 (nougat)|octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)
huawei p9 dual sim lte 32gb eva-l19 rose gold|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot|microsd, up to 128 gb (uses sim 2 slot)|32 gb| 3 gb ram|382 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 3(1800), 4(1700/2100), 7(2600), 20(800), 38(2600), 39(1900), 40(2300), b41|gsm / hspa / lte|non-removable li-ion 3000 mah battery|dual 12 mp, f/2.2, 27 mm, leica optics, phase detection autofocus, dual-led (dual tone) flash|8 mp, f/2.4, 1080p|dual sim (nano-sim, dual stand-by)|145 x 70.9 x 7 mm (5.71 x 2.79 x 0.28 in)|144 g (5.08 oz)|ips-neo lcd capacitive touchscreen, 16m colors|5.2 inches (~72.9% screen-to-body ratio)|1080 x 1920 pixels (~423 ppi pixel density)|mali-t880 mp4|hisilicon kirin 955|android os, v6.0 (marshmallow)|quad-core 2.5 ghz cortex-a72 & quad-core 1.8 ghz cortex-a53
huawei mate 9 porsche design dual sim lon-l29 black|4.2, a2dp, edr, le|wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot|no|256 gb| 6 gb ram|1218 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / cdma / hspa / evdo / lte|non-removable li-po 4000 mah battery|dual 20 mp +12 mp, f/2.2, 27mm, ois, 2x zoom, leica optics, phase detection & laser autofocus, dual-led (dual tone) flash|8 mp, f/1.9, 1080p|dual sim (nano-sim, dual stand-by)|152 x 75 x 7.5 mm (5.98 x 2.95 x 0.30 in)|169 g (5.96 oz)|amoled capacitive touchscreen, 16m colors|5.5 inches (~73.2% screen-to-body ratio)|1440 x 2560 pixels (~534 ppi pixel density)|mali-g71 mp8|hisilicon kirin 960|android 7.0 (nougat)|octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)
huawei mate 9 dual sim 64gb mha-l29 gray|v4.2, a2dp, edr, le|wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot|microsd, up to 256 gb (uses sim 2 slot)|64 gb| 4 gb ram|551 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / cdma / hspa / evdo / lte|non-removable li-po 4000 mah battery|dual 20 mp +12 mp, f/2.2, ois, 2x zoom, leica optics, phase detection & laser autofocus, dual-led (dual tone) flash|8 mp, f/1.9, 1080p|dual sim (nano-sim, dual stand-by)|156.9 x 78.9 x 7.9 mm (6.18 x 3.11 x 0.31 in)|190 g (6.70 oz)|ips lcd capacitive touchscreen, 16m colors|5.9 inches (~77.5% screen-to-body ratio)|1080 x 1920 pixels (~373 ppi pixel density)|mali-g71 mp8|hisilicon kirin 960|android os, v7.0 (nougat)|octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)
huawei p10 plus dual sim 128gb vky-l29 blue|4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot|microsd, up to 256 gb (uses sim 2 slot)|128 gb| 6 gb ram|660 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 800 / 850 / 900 / 1700(aws) / 1800 / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / hspa / lte|non-removable li-ion 3750 mah battery|dual 20 mp + 12 mp, f/1.8, ois, leica optics, phase detection and laser autofocus, dual-led (dual tone) flash|8 mp, f/1.9|dual sim (nano-sim, dual stand-by)|153.5 x 74.2 x 7 mm (6.04 x 2.92 x 0.28 in)|165 g (5.82 oz)|ips-neo lcd capacitive touchscreen, 16m colors|5.5 inches (~71.6% screen-to-body ratio)|1440 x 2560 pixels (~540 ppi pixel density)|mali-g71 mp8|hisilicon kirin 960|android 7.0 (nougat)|octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)
huawei honor 8 dual sim 64gb frd-al10 gold|v4.2, a2dp, edr, le|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|microsd, up to 256 gb (uses sim 2 slot)|64 gb| 4 gb ram|422 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 1700(aws) / 1900 / 2100|lte band 2(1900), 4(1700/2100), 5(850), 12(700), 17(700)|gsm / hspa / lte|non-removable li-po 3000 mah battery|dual 12 mp, f/2.2, laser autofocus, dual-led (dual tone) flash|8 mp, f/2.4, 1.4 pixel size|dual sim (nano-sim/ micro-sim, dual stand-by)|145.5 x 71 x 7.5 mm (5.73 x 2.80 x 0.30 in)|153 g (5.40 oz)|ltps capacitive touchscreen, 16m colors|5.2 inches (~72.5% screen-to-body ratio)|1080 x 1920 pixels (~423 ppi pixel density)|mali-t880 mp4|hisilicon kirin 950|android os, v6.0 (marshmallow)|octa-core (4x2.3 ghz cortex-a72 & 4x1.8 ghz cortex a53)
huawei honor 8 dual sim 32gb frd-l09 white|v4.2, a2dp, edr, le|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|microsd, up to 256 gb (uses sim 2 slot)|32 gb| 4 gb ram|409 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 900 / 1900 / 2100|lte band 1(2100), 3(1800), 7(2600), 8(900), 20(800)|gsm / hspa / lte|non-removable li-po 3000 mah battery|dual 12 mp, f/2.2, laser autofocus, dual-led (dual tone) flash|8 mp, f/2.4, 1.4 pixel size|dual sim (nano-sim/ micro-sim, dual stand-by)|145.5 x 71 x 7.5 mm (5.73 x 2.80 x 0.30 in)|153 g (5.40 oz)|ltps capacitive touchscreen, 16m colors|5.2 inches (~72.5% screen-to-body ratio)|1080 x 1920 pixels (~423 ppi pixel density)|mali-t880 mp4|hisilicon kirin 950|android os, v6.0 (marshmallow)|octa-core (4x2.3 ghz cortex-a72 & 4x1.8 ghz cortex a53)
huawei mate 9 dual sim 64gb mha-l29 silver|v4.2, a2dp, edr, le|wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot|microsd, up to 256 gb (uses sim 2 slot)|64 gb| 4 gb ram|551 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / cdma / hspa / evdo / lte|non-removable li-po 4000 mah battery|dual 20 mp +12 mp, f/2.2, ois, 2x zoom, leica optics, phase detection & laser autofocus, dual-led (dual tone) flash|8 mp, f/1.9, 1080p|dual sim (nano-sim, dual stand-by)|156.9 x 78.9 x 7.9 mm (6.18 x 3.11 x 0.31 in)|190 g (6.70 oz)|ips lcd capacitive touchscreen, 16m colors|5.9 inches (~77.5% screen-to-body ratio)|1080 x 1920 pixels (~373 ppi pixel density)|mali-g71 mp8|hisilicon kirin 960|android os, v7.0 (nougat)|octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)
