TITLE|BLUETOOTH_VERSION|WIFI|EXTERNAL_MEMORY|ROM|RAM|PRICE|NETWORK_2G|NETWORK_3G|NETWORK_4G|WIRELESS_CONNECTIVITY|BATTERY_CAPACITY|CAMERA_BACK|CAMERA_FRONT|SIM_CARD_TYPE|PRODUCT_SIZE|WEIGHT|SCREEN_TYPE|SCREEN_SIZE|SCREEN_RESOLUTION|GPU|CPU|OS|CPU_CORES
nokia 3310 (2017) dual sim dark blue|3.0, a2dp|no|microsd, up to 32 gb (dedicated slot)||16 mb|94 €|gsm 900 / 1800 sim 1 & sim 2|||gsm|removable li-ion 1200 mah battery|2 mp, led flash|no|dual sim (mini-sim, dual stand-by)|115.6 x 51 x 12.8 mm (4.55 x 2.01 x 0.50 in)|109 g|tft|2.4 inches (~30.3% screen-to-body ratio)|240 x 320 pixels (~167 ppi pixel density)||||
nokia xl dual sim blue|yes, v3.0 with a2dp, hs|wi-fi 802.11 b/g/n, wi-fi hotspot|microsd, up to 32 gb|4 gb| 768 mb ram|133 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 900 / 2100 sim 1|||li-ion 2000 mah battery (bn-02)|5 mp, 2592 х 1944 pixels, autofocus, led flash|yes, 2 mp|dual sim (micro-sim, dual stand-by)|141.4 x 77.7 x 10.9 mm|190 g|ips lcd capacitive touchscreen, 16m colors|480 x 800 pixels, 5.0 inches (~187 ppi pixel density)||adreno 203|qualcomm msm8225 snapdragon s4 play|android os, v4.1.2 (jelly bean)|dual-core 1 ghz cortex-a5
nokia xl dual sim black|yes, v3.0 with a2dp, hs|wi-fi 802.11 b/g/n, wi-fi hotspot|microsd, up to 32 gb|4 gb| 768 mb ram|133 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 900 / 2100 sim 1|||li-ion 2000 mah battery (bn-02)|5 mp, 2592 х 1944 pixels, autofocus, led flash|yes, 2 mp|dual sim (micro-sim, dual stand-by)|141.4 x 77.7 x 10.9 mm|190 g|ips lcd capacitive touchscreen, 16m colors|480 x 800 pixels, 5.0 inches (~187 ppi pixel density)||adreno 203|qualcomm msm8225 snapdragon s4 play|android os, v4.1.2 (jelly bean)|dual-core 1 ghz cortex-a5
nokia xl dual sim orange|yes, v3.0 with a2dp, hs|wi-fi 802.11 b/g/n, wi-fi hotspot|microsd, up to 32 gb|4 gb| 768 mb ram|133 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 900 / 2100 sim 1|||li-ion 2000 mah battery (bn-02)|5 mp, 2592 х 1944 pixels, autofocus, led flash|yes, 2 mp|dual sim (micro-sim, dual stand-by)|141.4 x 77.7 x 10.9 mm|190 g|ips lcd capacitive touchscreen, 16m colors|480 x 800 pixels, 5.0 inches (~187 ppi pixel density)||adreno 203|qualcomm msm8225 snapdragon s4 play|android os, v4.1.2 (jelly bean)|dual-core 1 ghz cortex-a5
nokia 3310 (2017) dual sim gray|3.0, a2dp|no|microsd, up to 32 gb (dedicated slot)||||gsm 900 / 1800 sim 1 & sim 2|||gsm|removable li-ion 1200 mah battery|2 mp, led flash|no|dual sim (mini-sim, dual stand-by)|115.6 x 51 x 12.8 mm (4.55 x 2.01 x 0.50 in)|109 g|tft|2.4 inches (~30.3% screen-to-body ratio)|240 x 320 pixels (~167 ppi pixel density)||||
nokia 3 dual sim 16gb black|4.0, a2dp, le|wi-fi 802.11 b/g/n, dual-band, wifi direct, hotspot|microsd, up to 256 gb (dedicated slot)|16 gb| 2 gb ram|163 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)|gsm / hspa / lte|non-removable li-ion 2630 mah battery|8 mp, f/2.0, autofocus, led flash|8 mp, f/2.0, autofocus, 720p|dual sim (nano-sim, dual stand-by)|143.4 x 71.4 x 8.5 mm (5.65 x 2.81 x 0.33 in)|140 g (4.94 oz)|ips lcd capacitive touchscreen, 16m colors|5.0 inches (~67.3% screen-to-body ratio)|720 x 1280 pixels (~294 ppi pixel density)|mali-t720mp1|mediatek mt6737|android 7.0 (nougat)|quad-core 1.4 ghz cortex-a53
nokia xl dual sim yellow|yes, v3.0 with a2dp, hs|wi-fi 802.11 b/g/n, wi-fi hotspot|microsd, up to 32 gb|4 gb| 768 mb ram|133 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 900 / 2100 sim 1|||li-ion 2000 mah battery (bn-02)|5 mp, 2592 х 1944 pixels, autofocus, led flash|yes, 2 mp|dual sim (micro-sim, dual stand-by)|141.4 x 77.7 x 10.9 mm|190 g|ips lcd capacitive touchscreen, 16m colors|480 x 800 pixels, 5.0 inches (~187 ppi pixel density)||adreno 203|qualcomm msm8225 snapdragon s4 play|android os, v4.1.2 (jelly bean)|dual-core 1 ghz cortex-a5
htc desire vt t328t black|yes, v4.0 with a2dp|wi-fi 802.11 b/g/n, wi-fi hotspot, dlna|microsd, up to 32 gb|4 gb storage| 512 mb ram||gsm 900 / 1800 / 1900|hsdpa 1900 / 2100 / td-scdma|||li-ion 1650 mah battery|5 mp, 2592 х 1944 pixels, autofocus, led flash|no|mini-sim|119.5 x 62.2 x 9.6 mm|118 g|capacitive touchscreen, 16m colors|480 x 800 pixels, 4.0 inches (~233 ppi pixel density)||adreno 200|qualcomm msm7227a snapdragon|android os, v4.0 (ice cream sandwich)|1 ghz cortex-a5
htc desire vt t328t red|yes, v4.0 with a2dp|wi-fi 802.11 b/g/n, wi-fi hotspot, dlna|microsd, up to 32 gb|4 gb storage| 512 mb ram|177 €|gsm 900 / 1800 / 1900|hsdpa 1900 / 2100 / td-scdma|||li-ion 1650 mah battery|5 mp, 2592 х 1944 pixels, autofocus, led flash|no|mini-sim|119.5 x 62.2 x 9.6 mm|118 g|capacitive touchscreen, 16m colors|480 x 800 pixels, 4.0 inches (~233 ppi pixel density)||adreno 200|qualcomm msm7227a snapdragon|android os, v4.0 (ice cream sandwich)|1 ghz cortex-a5
htc desire 630 dual sim d630n dark gray|v4.1, a2dp|wi-fi 802.11 b/g/n, hotspot|microsd, up to 256 gb (dedicated slot)|16 gb| 2 gb ram|170 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 3(1800), 5(850), 8(900), 40(2300)|gsm / cdma / hspa / lte|removable li-ion 2200 mah battery|13 mp, f/2.4, autofocus, led flash|5 mp, f/2.8|dual sim (nano-sim, dual stand-by)|146.9 x 70.9 x 8.3 mm (5.78 x 2.79 x 0.33 in)|140 g (4.94 oz)|super lcd capacitive touchscreen, 16m colors|5.0 inches (~66.2% screen-to-body ratio)|720 x 1280 pixels (~294 ppi pixel density)|adreno 305|qualcomm snapdragon 400|android os, v6.0 (marshmallow)|quad-core 1.6 ghz cortex-a7
apple iphone 7 128gb gold|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|no|128 gb| 2 gb ram|753 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / cdma / hspa / evdo / lte|non-removable li-ion 1960 mah battery (7.45 wh)|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|nano-sim|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|138 g (4.87 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.7 inches (~65.6% screen-to-body ratio)|750 x 1334 pixels (~326 ppi pixel density)|(six-core graphics)|apple a10 fusion|ios 10.0.1|quad-core
apple iphone se 128gb rose gold|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, hotspot|no|128 gb| 2 gb ram|496 €|gsm 850 / 900 / 1800 / 1900|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700)|gsm / cdma / hspa / evdo / lte|non-removable li-po 1642 mah battery|12 mp, f/2.2, 29mm, phase detection autofocus, dual-led (dual tone) flash|1.2 mp, f/2.4, 31mm, 720p@30fps, face detection, hdr, facetime over wi-fi or cellular|nano-sim|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|113 g (3.99 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.0 inches (~60.8% screen-to-body ratio)|640 x 1136 pixels (~326 ppi pixel density)|powervr gt7600 (six-core graphics)|apple a9|ios 9.3|dual-core 1.84 ghz twister
apple iphone 7 256gb rose gold|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|no|256 gb| 2 gb ram|818 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / cdma / hspa / evdo / lte|non-removable li-ion 1960 mah battery (7.45 wh)|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|nano-sim|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|138 g (4.87 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.7 inches (~65.6% screen-to-body ratio)|750 x 1334 pixels (~326 ppi pixel density)|(six-core graphics)|apple a10 fusion|ios 10.0.1|quad-core
apple iphone se 32gb rose gold|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, hotspot|no|32 gb| 2 gb ram|382 €|gsm 850 / 900 / 1800 / 1900|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700)|gsm / cdma / hspa / evdo / lte|non-removable li-po 1642 mah battery|12 mp, f/2.2, 29mm, phase detection autofocus, dual-led (dual tone) flash|1.2 mp, f/2.4, 31mm, 720p@30fps, face detection, hdr, facetime over wi-fi or cellular|nano-sim|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|113 g (3.99 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.0 inches (~60.8% screen-to-body ratio)|640 x 1136 pixels (~326 ppi pixel density)|powervr gt7600 (six-core graphics)|apple a9|ios 9.3|dual-core 1.84 ghz twister
apple iphone se 128gb gray|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, hotspot|no|128 gb| 2 gb ram|496 €|gsm 850 / 900 / 1800 / 1900|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700)|gsm / cdma / hspa / evdo / lte|non-removable li-po 1642 mah battery|12 mp, f/2.2, 29mm, phase detection autofocus, dual-led (dual tone) flash|1.2 mp, f/2.4, 31mm, 720p@30fps, face detection, hdr, facetime over wi-fi or cellular|nano-sim|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|113 g (3.99 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.0 inches (~60.8% screen-to-body ratio)|640 x 1136 pixels (~326 ppi pixel density)|powervr gt7600 (six-core graphics)|apple a9|ios 9.3|dual-core 1.84 ghz twister
apple iphone 6s 32gb silver|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|no|32 gb| 2 gb ram|610 €|gsm 850 / 900 / 1800 / 1900||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / hspa / lte|non-removable li-po 1715 mah battery (6.9 wh)|12 mp, 4608 x 2592 pixels, phase detection autofocus, dual-led (dual tone) flash|5 mp, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|nano-sim|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|143 g (5.04 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.7 inches (~65.6% screen-to-body ratio)|750 x 1334 pixels (~326 ppi pixel density)||apple a9|ios 9, upgradable to ios 9.0.1|dual-core 1.8 ghz
apple iphone 7 128gb rose gold|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|no|128 gb| 2 gb ram|753 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / cdma / hspa / evdo / lte|non-removable li-ion 1960 mah battery (7.45 wh)|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|nano-sim|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|138 g (4.87 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.7 inches (~65.6% screen-to-body ratio)|750 x 1334 pixels (~326 ppi pixel density)|(six-core graphics)|apple a10 fusion|ios 10.0.1|quad-core
apple iphone 7 256gb black|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|no|256 gb| 2 gb ram||gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / cdma / hspa / evdo / lte|non-removable li-ion 1960 mah battery (7.45 wh)|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|nano-sim|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|138 g (4.87 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.7 inches (~65.6% screen-to-body ratio)|750 x 1334 pixels (~326 ppi pixel density)|(six-core graphics)|apple a10 fusion|ios 10.0.1|quad-core
apple iphone 7 32gb black|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|no|32 gb| 2 gb ram|658 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / cdma / hspa / evdo / lte|non-removable li-ion 1960 mah battery (7.45 wh)|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|nano-sim|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|138 g (4.87 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.7 inches (~65.6% screen-to-body ratio)|750 x 1334 pixels (~326 ppi pixel density)|(six-core graphics)|apple a10 fusion|ios 10.0.1|quad-core
apple iphone 7 128gb red|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|no|128 gb| 2 gb ram|764 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / cdma / hspa / evdo / lte|non-removable li-ion 1960 mah battery (7.45 wh)|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|nano-sim|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|138 g (4.87 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.7 inches (~65.6% screen-to-body ratio)|750 x 1334 pixels (~326 ppi pixel density)|(six-core graphics)|apple a10 fusion|ios 10.0.1|quad-core
apple iphone se 128gb gold|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, hotspot|no|128 gb| 2 gb ram|496 €|gsm 850 / 900 / 1800 / 1900|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700)|gsm / cdma / hspa / evdo / lte|non-removable li-po 1642 mah battery|12 mp, f/2.2, 29mm, phase detection autofocus, dual-led (dual tone) flash|1.2 mp, f/2.4, 31mm, 720p@30fps, face detection, hdr, facetime over wi-fi or cellular|nano-sim|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|113 g (3.99 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.0 inches (~60.8% screen-to-body ratio)|640 x 1136 pixels (~326 ppi pixel density)|powervr gt7600 (six-core graphics)|apple a9|ios 9.3|dual-core 1.84 ghz twister
apple iphone se 32gb gold|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, hotspot|no|32 gb| 2 gb ram|382 €|gsm 850 / 900 / 1800 / 1900|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700)|gsm / cdma / hspa / evdo / lte|non-removable li-po 1642 mah battery|12 mp, f/2.2, 29mm, phase detection autofocus, dual-led (dual tone) flash|1.2 mp, f/2.4, 31mm, 720p@30fps, face detection, hdr, facetime over wi-fi or cellular|nano-sim|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|113 g (3.99 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.0 inches (~60.8% screen-to-body ratio)|640 x 1136 pixels (~326 ppi pixel density)|powervr gt7600 (six-core graphics)|apple a9|ios 9.3|dual-core 1.84 ghz twister
apple iphone 6s 32gb gold|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|no|32 gb| 2 gb ram|610 €|gsm 850 / 900 / 1800 / 1900||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / hspa / lte|non-removable li-po 1715 mah battery (6.9 wh)|12 mp, 4608 x 2592 pixels, phase detection autofocus, dual-led (dual tone) flash|5 mp, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|nano-sim|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|143 g (5.04 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.7 inches (~65.6% screen-to-body ratio)|750 x 1334 pixels (~326 ppi pixel density)||apple a9|ios 9, upgradable to ios 9.0.1|dual-core 1.8 ghz
apple iphone 5s 16gb white|yes, v4.0 with a2dp|wi-fi 802.11 a/b/g/n, dual-band, wi-fi hotspot|no|64 gb storage| 1 gb ram ddr3|312 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800)||non-removable li-po 1560 mah battery (5.92 wh)|8 mp, 3264 x 2448 pixels, autofocus, dual-led (dual tone) flash|yes, 1.2 mp, 720p@30fps, face detection, facetime over wi-fi or cellular|nano-sim|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|112 g (3.95 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|640 x 1136 pixels, 4.0 inches (~326 ppi pixel density)||powervr g6430 (quad-core graphics)|apple a7|ios 7, upgradable to ios 7.1.1|dual-core 1.3 ghz cyclone (arm v8-based)
apple iphone 5s 16gb gray|yes, v4.0 with a2dp|wi-fi 802.11 a/b/g/n, dual-band, wi-fi hotspot|no|64 gb storage| 1 gb ram ddr3|301 €|gsm 850 / 900 / 1800 / 1900 all models|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800)||non-removable li-po 1560 mah battery (5.92 wh)|8 mp, 3264 x 2448 pixels, autofocus, dual-led (dual tone) flash|yes, 1.2 mp, 720p@30fps, face detection, facetime over wi-fi or cellular|nano-sim|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|112 g (3.95 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|640 x 1136 pixels, 4.0 inches (~326 ppi pixel density)||powervr g6430 (quad-core graphics)|apple a7|ios 7, upgradable to ios 7.1.1|dual-core 1.3 ghz cyclone (arm v8-based)
apple iphone 7 128gb black|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|no|128 gb| 2 gb ram|753 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / cdma / hspa / evdo / lte|non-removable li-ion 1960 mah battery (7.45 wh)|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|nano-sim|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|138 g (4.87 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.7 inches (~65.6% screen-to-body ratio)|750 x 1334 pixels (~326 ppi pixel density)|(six-core graphics)|apple a10 fusion|ios 10.0.1|quad-core
apple iphone 7 128gb silver|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|no|128 gb| 2 gb ram|768 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / cdma / hspa / evdo / lte|non-removable li-ion 1960 mah battery (7.45 wh)|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|nano-sim|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|138 g (4.87 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.7 inches (~65.6% screen-to-body ratio)|750 x 1334 pixels (~326 ppi pixel density)|(six-core graphics)|apple a10 fusion|ios 10.0.1|quad-core
apple iphone se 32gb silver|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, hotspot|no|32 gb| 2 gb ram||gsm 850 / 900 / 1800 / 1900|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700)|gsm / cdma / hspa / evdo / lte|non-removable li-po 1642 mah battery|12 mp, f/2.2, 29mm, phase detection autofocus, dual-led (dual tone) flash|1.2 mp, f/2.4, 31mm, 720p@30fps, face detection, hdr, facetime over wi-fi or cellular|nano-sim|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|113 g (3.99 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.0 inches (~60.8% screen-to-body ratio)|640 x 1136 pixels (~326 ppi pixel density)|powervr gt7600 (six-core graphics)|apple a9|ios 9.3|dual-core 1.84 ghz twister
apple ipod shuffle 4th generation 2gb silver||||2 gb storage||88 €|||||non-removable li-ion battery||||29 x 31.6 x 8.7 mm|12 g|||||||
apple ipod touch 6th generation 32gb blue|yes, v4.1 with a2dp, edr|wi-fi 802.11 a/b/g/n/ac, dual-band||32 gb storage| 1 gb ram|288 €|||||non-removable li-po battery (16.3 wh)|8 mp, 3264 x 2448 pixels, autofocus, led flash, 1/3.2'' sensor size, 1.4 µm pixel size, geo-tagging, touch focus, face detection, panorama, hdr photo|yes, 1.2 mp, 720p@30fps, face detection, facetime over wi-fi||123 x 58.6 x 6.1 mm|88 g|led-backlit ips lcd, capacitive touchscreen, 16m colors|1136 x 640 pixels, 4.0 inches (~326 ppi pixel density)|||apple a8|ios 8.4, upgradable to ios 9|dual-core 1.1 ghz
apple iphone se 128gb silver|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, hotspot|no|128 gb| 2 gb ram||gsm 850 / 900 / 1800 / 1900|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700)|gsm / cdma / hspa / evdo / lte|non-removable li-po 1642 mah battery|12 mp, f/2.2, 29mm, phase detection autofocus, dual-led (dual tone) flash|1.2 mp, f/2.4, 31mm, 720p@30fps, face detection, hdr, facetime over wi-fi or cellular|nano-sim|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|113 g (3.99 oz)|led-backlit ips lcd, capacitive touchscreen, 16m colors|4.0 inches (~60.8% screen-to-body ratio)|640 x 1136 pixels (~326 ppi pixel density)|powervr gt7600 (six-core graphics)|apple a9|ios 9.3|dual-core 1.84 ghz twister
