{SearchMethod=	Best first.	Start set: no attributes	Search direction: backward	Stale search after 5 node expansions	Total number of subsets evaluated: 0	Merit of best subset found:    0    , UseIBk=true}	23.10%	82.81%	76.90%	78.02%	1652.50ms
{SearchMethod=	Best first.	Start set: no attributes	Search direction: forward	Stale search after 5 node expansions	Total number of subsets evaluated: 0	Merit of best subset found:    0    , UseIBk=true}	23.94%	81.96%	76.06%	76.81%	1211.00ms
{SearchMethod=	Best first.	Start set: no attributes	Search direction: forward	Stale search after 5 node expansions	Total number of subsets evaluated: 0	Merit of best subset found:    0    , UseIBk=false}	25.46%	80.35%	74.54%	74.08%	1210.40ms
{SearchMethod=	Best first.	Start set: no attributes	Search direction: backward	Stale search after 5 node expansions	Total number of subsets evaluated: 0	Merit of best subset found:    0    , UseIBk=true}	23.10%	82.81%	76.90%	78.02%	1652.50ms
{SearchMethod=	Greedy Stepwise (backwards).	Start set: all attributes	Merit of best subset found:    0    , UseIBk=false}	24.50%	80.77%	75.50%	75.50%	698.20ms			
{SearchMethod=	Greedy Stepwise (backwards).	Start set: all attributes	Merit of best subset found:    0    , UseIBk=true}	23.25%	84.09%	76.75%	78.75%	699.10ms			
{SearchMethod=	Best first.	Start set: no attributes	Search direction: bi-directional	Stale search after 5 node expansions	Total number of subsets evaluated: 0	Merit of best subset found:    0    , UseIBk=false}	25.30%	80.27%	74.70%	74.31%	1715.30ms
{SearchMethod=	Best first.	Start set: no attributes	Search direction: bi-directional	Stale search after 5 node expansions	Total number of subsets evaluated: 0	Merit of best subset found:    0    , UseIBk=true}	23.77%	81.90%	76.23%	76.87%	1691.20ms
