GB	root.title	root.price	General.Type	General.RAM	General.GPU	General.Brand	General.Model	General.Processor	General.CPU	General.Core	General.Color	General.RAMType	General.ROM	DimensionandWeight.Productweight	DimensionandWeight.Productsize(LxWxH)	ProductDetails.Interface	ProductDetails.HDMIVersion	ProductDetails.Bluetooth	ProductDetails.RJ45PortSpeed	FirmwareInformation.WiFiChip	FirmwareInformation.SystemBit	General.MaximumExternalHardDrivesCapacity	General.System	ProductDetails.WIFI
http://www.gearbest.com/tv-box-mini-pc/pp_462430.html	alfawise s92 digital tv box octa core amlogic s912 android 6.0	$55.99	tv box 	2g 	arm mali-t820mp3 	alfawise 	s92 		amlogic s912 	2.0ghz,octa core 	black 	ddr3 	16g 	0.179 kg 	11.00 x 11.00 x 1.70 cm / 4.33 x 4.33 x 0.67 inches 	dc power port,ethernet,hdmi,micro sd card slot,spdif,usb2.0 	2	bluetooth4.0 			64bit 	500gb 	android 6.0 	802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_401529.html	acemax g10x smart box tv amlogic s905x quad core	$45.41	tv box 	1g ram 	mali-450 	acemax 	g10x 	s905x 	arm cortex-a53 	quad core 	black 	ddr3 	8g rom 	0.1600 kg 	11.00 x 11.00 x 2.00 cm / 4.33 x 4.33 x 0.79 inches 	av,dc power port,hdmi,rj45,spdif,tf card,usb2.0 						32gb 	android 6.0 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_463455.html	mecool kii pro tv box quad core amlogic s905	$68.99	tv box 	2g 	mali-450 	mecool 	kii pro 	amlogic s905 	amlogic s905 	2.0ghz,quad core 	black 	ddr3 	16g 	0.1920 kg 	13.20 x 12.20 x 3.30 cm / 5.2 x 4.8 x 1.3 inches 	av,cvbs/l/r,dc power port,dvb-s2,dvb-t2,micro sd card slot,rj45,spdif,usb2.0 	2	bluetooth4.0 			64bit 		android 5.1.1 	802.11 b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_614299.html	minix z83 - 4 windows 10 tv box + minix k2 mini keyboard	$220.15	tv box 	4g 	intel hd graphic 	minix 	z83 - 4 		intel atom x5-z8350 	quad core 		ddr3l 	32g 	0.9520 kg 	26.00 x 13.00 x 5.00 cm / 10.24 x 5.12 x 1.97 inches 	3.5mm audio,dc power port,ethernet,hdmi,tf card,usb2.0,usb3.0 	1.4				64bit 	16gb	windows 10 	
http://www.gearbest.com/tv-box-mini-pc/pp_629410.html	mecool ki pro tv box	$83.99	tv box 	2g ram 	mali-450 	mecool 	ki pro 	amlogic s905d 	cortex a53 	quad core 		ddr4 	16g rom 	0.1630 kg 	13.00 x 12.00 x 3.20 cm / 5.12 x 4.72 x 1.26 inches 	dc 5v,dc power port,hdtv in,lan,optical,tf card,usb2.0 		bluetooth 4.1 	1000m 		64bit 	32gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_612275.html	minix neo u9 - h tv box	$163.8	tv box 	2g ram 	arm mali-t820mp3 	minix 	neo u9 - h 	amlogic s912-h 	arm cortex-a53 	octa core 	black 		16g rom 	0.2780 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,dc power port,hdmi,kensington lock,lan,microphone jack,otg,spdif,tf card,usb2.0 		bluetooth 4.1 		ap6335 		64gb 		802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_624806.html	sunvell r69 tv box	$21.99	tv box 	1g 	mali400mp2 	sunvell 	r69 	allwinner h2 	arm cortex-a7 	quad core 		ddr3 	8g 	0.2000 kg 	9.00 x 9.50 x 1.80 cm / 3.54 x 3.74 x 0.71 inches 		1.4	unsupport 	100m 	xr819 	32bit 	32gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_248235.html	r8 tv streaming box android 5.1 rk3368 octa-core	$71.84	tv box 	2g ram 	powervr g6110 		r8 		rk3368 	octa core 	black 	ddr3 	8g rom 	0.1350 kg 	11.70 x 11.70 x 18.50 cm / 4.61 x 4.61 x 7.28 inches 	hdmi,rj45,tf card,usb2.0 		bluetooth4.0 		ap6330 	64bit 	32gb 	android 5.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_238050.html	pipo x9 box android tv 8.9 inch tablet mini pc	$141.67	tv box 	2g 		pipo 	x9 		intel baytrail t z3736f 	quad core 	black 		64g 	0.6390 kg 	21.70 x 15.20 x 6.10 cm / 8.54 x 5.98 x 2.4 inches 	3.5mm audio,dc power port,hdmi,micro usb,rj45,tf card,usb2.0 		bluetooth4.0 				64gb 	android 4.4,windows 10 	ieee 802.11 b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_638080.html	beelink mini mxiii ii tv box amlogic s905x quad core	$39.99	tv box 	1g ram 	mali-450 	beelink 	mini mxiii ii 	s905x 	amlogic s905x 	2.0ghz 	black 	ddr3 	8g rom 	0.1780 kg 	9.60 x 9.60 x 1.60 cm / 3.78 x 3.78 x 0.63 inches 	dc power port,hdmi,micro sd card slot,rj45,spdif,usb2.0 	2	bluetooth4.0 			64bit 		android 6.0 	802.11 a/b/g/n 
