GB	root.title	root.price	General.Type	General.RAM	General.GPU	General.Brand	General.Model	General.Processor	General.CPU	General.Core	General.Color	General.RAMType	General.ROM	DimensionandWeight.Productweight	DimensionandWeight.Productsize(LxWxH)	ProductDetails.Interface	ProductDetails.HDMIVersion	ProductDetails.Bluetooth	ProductDetails.RJ45PortSpeed	FirmwareInformation.WiFiChip	FirmwareInformation.SystemBit	General.MaximumExternalHardDrivesCapacity	General.System	ProductDetails.WIFI
http://www.gearbest.com/tv-box-mini-pc/pp_590406.html	chuwi hibox mini pc android 5.1 + window 10 dual os 64bit	$119.99	mini pc 	4g ram 	intel hd graphic 	chuwi 	hibox 	intel atom x5-z8350 		quad core 	black 	ddr3 	64g rom 	0.2000 kg 	12.00 x 12.00 x 2.50 cm / 4.72 x 4.72 x 0.98 inches 	3.5mm audio,dc power port,ethernet,hdmi,sd card slot,usb2.0,usb3.0 	1.4	bluetooth4.0 	1000m / 100m 	no 	64bit 	128g 	android 5.1,windows 10 	802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_366028.html	sunvell t95m 4k hd media streaming box 64bit	$39.99	tv box 	2g 	mali-450 	sunvell 	t95m 		amlogic s905x 	2.0ghz,quad core 	black 	ddr3 	8g 	0.1340 kg 	11.30 x 11.30 x 2.40 cm / 4.45 x 4.45 x 0.94 inches 	hdmi,micro sd card slot,rj45,usb2.0 	2	support 			64bit 	500gb 	android 6.0 	ieee 802.11 b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_619405.html	mecool m8s pro tv box	$59.99	tv box 	2g ram,3g ram 	arm mali-t820mp3 	mecool 	m8s pro 	amlogic s912 	arm cortex-a53 	1.5ghz,octa core 		ddr4 	16g rom,32g rom 	0.1100 kg 	10.20 x 10.20 x 2.10 cm / 4.02 x 4.02 x 0.83 inches 	av,dc 5v,hdmi,lan,tf card,usb2.0 	2	bluetooth 4.1 		qca9377 	64bit 	32gb 		
http://www.gearbest.com/tv-box-mini-pc/pp_443335.html	beelink mini mxiii ii tv box amlogic s905x quad core	$51.99	tv box 	2g ram 	mali-450 	beelink 	mini mxiii ii 	s905x 	amlogic s905x 	2.0ghz 	black 	ddr3 	16g rom 	0.1780 kg 	9.60 x 9.60 x 1.60 cm / 3.78 x 3.78 x 0.63 inches 	dc power port,hdmi,micro sd card slot,rj45,spdif,usb2.0 	2	bluetooth4.0 			64bit 		android 6.0 	802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_627113.html	a95x r2 tv box	$35.99	tv box 	1g 	mali-450mp2 	a95x 	a95x r2 	rk3328 	cortex a53 	1.5ghz,quad core 		ddr3 	8g 	0.1200 kg 	9.50 x 9.50 x 1.50 cm / 3.74 x 3.74 x 0.59 inches 	usb2.0,usb3.0 	2	unsupport 	10 / 100m 	rtl8189 	64bit 		android 7.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_608472.html	dolamee d6 tv turner box	$51.83	tv box 	2g ram 	mali-450 	dolamee 	d6 	s905x 	cortex a53 	2.0ghz,quad core 		ddr3 	8g rom 	0.1300 kg 	10.30 x 10.30 x 2.00 cm / 4.06 x 4.06 x 0.79 inches 	av,dc 5v,hdmi,lan,spdif,tf card,usb2.0 	2				64bit 		android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_493134.html	k8 mini pc usb 3.0 foldable keyboard	$185.4	mini pc 	4g 	intel hd graphic 5500 		k8 		intel z8300 	2.0ghz,quad core 	black 	ddr3 	64g 	0.5000 kg 	38.50 x 12.00 x 1.50 cm / 15.16 x 4.72 x 0.59 inches 	3.5mm audio,dc power port,hdmi,reset port,tf card,usb2.0,usb3.0,vga 	1.4	bluetooth4.0 	no 	mo 	64bit 	128gb 		
http://www.gearbest.com/tv-box-mini-pc/pp_612095.html	mecool km8 p android tv smart tv box	$60.06	tv box 	2g 	arm mali-t820mp3 	mecool 	km8 p 	amlogic s912 	cortex a53 	octa core 		ddr3 	8g 	0.0900 kg 	9.70 x 9.70 x 1.70 cm / 3.82 x 3.82 x 0.67 inches 	av,dc power port,hdmi,rj45,tf card,usb2.0 	2		100m 		64bit 	128gb 	android 7.1 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_490852.html	km8 pro android 6.0 tv internet box	$62.76	tv box 	2g 	arm mali-t820mp3 		km8 pro 		amlogic s912 	2.0ghz,octa core 	black 	ddr3 	8g 	0.108 kg 	9.80 x 9.80 x 2.10 cm / 3.86 x 3.86 x 0.83 inches 	av,dc 5v,ethernet,hdmi,tf card,usb2.0 	1	bluetooth4.0 			32bit 	500gb 	android 6.0 	802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_621881.html	scishion v99 - hero tv box	$66.99	tv box 	4g 	powervr g6110 	scishion 	v99 - hero 	arm cortex a53 	rk3368 	1.5ghz,octa core 		ddr3 	32g 	0.1350 kg 	13.90 x 11.00 x 3.00 cm / 5.47 x 4.33 x 1.18 inches 	dc power port,hdmi,rj45,spdif,tf card,usb2.0 	2	bluetooth4.0 	100m 	ap6255 	64bit 	32gb 	android 5.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_596705.html	yokatv kb2 pro wireless android tv box 3gb	$81.99	tv box 	3gb 	arm mali-t820mp3 		kb2 pro 	amlogic s912 	cortex a53 	octa core 		ddr4 	32g 	0.2060 kg 	13.00 x 10.90 x 2.40 cm / 5.12 x 4.29 x 0.94 inches 	3.5mm audio,hdmi,rj45,spdif,tf card,usb2.0 		bluetooth4.0 	10m/100m/1000m 		64bit 		android 6.0 	802.11 b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_436934.html	mecool bb2 tv box amlogic s912 octa core	$74.95	tv box 	2g 	arm mali-t820mp3 	mecool 	bb2 	amlogic s912 	amlogic s912 	2.0ghz 	gun color 	lpddr3 	16g 	0.2300 kg 	10.90 x 10.90 x 2.10 cm / 4.29 x 4.29 x 0.83 inches 	av,cvbs/l/r,dc power port,hdmi,optical,rj45,spdif,tf card,usb2.0 	2	bluetooth4.0 			64bit 	32gb 	android 6.0 	802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_616702.html	alfawise a95x r1 tv box	$22.99	tv box 	1g ram 	mali-400 mp 	alfawise 	a95x r1 		rk3229 	1.5ghz,quad core 		ddr3 	8g rom 	0.1200 kg 	9.30 x 9.30 x 1.50 cm / 3.66 x 3.66 x 0.59 inches 	av,dc 5v,hdmi,lan,spdif,tf card,usb2.0 	2	unsupport 		rtl8189 	32bit 	32gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_275102.html	minix neo u1 android quad core tv box	$125.84	tv box 	2g 	mali-450 	minix 	neo u1 		amlogic s905 	quad core 	black 	ddr3 	16g 	0.278 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,dc power port,hdmi,lan,otg,spdif,tf card,usb2.0 	2	bluetooth 4.1 + edr 			64bit 	500gb 	android 5.1.1 	802.11 ac 
http://www.gearbest.com/tv-box-mini-pc/pp_597283.html	mecool km8 p android mini tv box	$35.99	tv box 	1g 	arm mali-t820mp3 	mecool 	km8 p 	amlogic s912 	cortex a53 	octa core 		ddr3 	8g 	0.0900 kg 	9.70 x 9.70 x 1.70 cm / 3.82 x 3.82 x 0.67 inches 	av,dc power port,hdmi,rj45,tf card,usb2.0 	2		100m 		64bit 	128gb 	android 7.1 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_657437.html	ma8 - 4k rk3229 smart tv box	$27.99		1g ram 	mali-400 mp 		ma8 - 4k 	rk3229 	arm cortex-a7 	2.0ghz,quad core 		ddr3 	8g rom 	0.1070 kg 	11.20 x 11.20 x 2.30 cm / 4.41 x 4.41 x 0.91 inches 	dc power port,hdmi,rj45,spdif,tf card,usb2.0 	2		100m 	ap6051 	32bit 	32gb 	android 5.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_623820.html	a95x a2 amlogic s912 tv box	$84.72	tv box 	3gb 	mali-820mp3 	a95x 	a95x a2 	amlogic s912 	cortex a53 	2.0ghz,octa core 		ddr3 	32g 	0.2680 kg 	15.00 x 9.60 x 2.30 cm / 5.91 x 3.78 x 0.91 inches 	av,dc power port,hdmi,rj45,usb2.0 	2	bluetooth4.0 	1000m 	9377	64bit 	128gb 	android 6.0 	802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_401684.html	scishion v88 tv box rockchip 3229 quad core	$23.99	tv box 	1g 	mali-400 		v88 		rk3229 	1.5ghz,quad core 	black 	ddr3 	8g 	0.1430 kg 	11.60 x 11.60 x 2.50 cm / 4.57 x 4.57 x 0.98 inches 	av,dc power port,hdmi,rj45,sd card slot,spdif,usb2.0 	2	unsupport 	no 	unknown 	32bit 	16gb	android 5.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_628424.html	mx9 pro tv box	$49.49	tv box 	2g 	mali-450 			rk3328 	cortex a53 	quad core 		ddr3 	16g 	0.2000 kg 	14.00 x 9.00 x 2.00 cm / 5.51 x 3.54 x 0.79 inches 	av,dc power port,hdmi,rj45,usb2.0,usb3.0 	2	bluetooth4.0 	100m 	8723	64bit 	64gb 	android 7.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_614300.html	minix z83 - 4 windows 10 tv box + minix k2 mini keyboard	$220.15	tv box 	4g 	intel hd graphic 	minix 	z83 - 4 		intel atom x5-z8350 	quad core 		ddr3l 	32g 	0.9520 kg 	26.00 x 13.00 x 5.00 cm / 10.24 x 5.12 x 1.97 inches 	3.5mm audio,dc power port,ethernet,hdmi,tf card,usb2.0,usb3.0 	1.4				64bit 	16gb	windows 10 	
http://www.gearbest.com/tv-box-mini-pc/pp_590407.html	chuwi hibox mini pc android 5.1 + window 10 dual os 64bit	$119.99	mini pc 	4g ram 	intel hd graphic 	chuwi 	hibox 	intel atom x5-z8350 		quad core 	black 	ddr3 	64g rom 	0.2000 kg 	12.00 x 12.00 x 2.50 cm / 4.72 x 4.72 x 0.98 inches 	3.5mm audio,dc power port,ethernet,hdmi,sd card slot,usb2.0,usb3.0 	1.4	bluetooth4.0 	1000m / 100m 	no 	64bit 	128g 	android 5.1,windows 10 	802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_645362.html	tx2 - r2 tv box rk3229	$29.69	tv box 	2g 	mali400mp2 		tx2 - r2 	rk3229 	arm cortex-a7,rk3229 	1.5ghz 		ddr3 	16g 	0.1230 kg 	10.50 x 10.50 x 1.00 cm / 4.13 x 4.13 x 0.39 inches 	av,dc 5v,hdmi,lan,spdif,tf card,usb2.0 	2	bluetooth2.0 			32bit 	128g 	android 6.0 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_274251.html	minix neo u1 smart tv android box	$137.58	tv box 	2g 	mali-450 	minix 	neo u1 		amlogic s905 	quad core 	black 	ddr3 	16g 	0.278 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,dc power port,hdmi,lan,otg,spdif,tf card,usb2.0 	2	bluetooth 4.1 + edr 			64bit 	500gb 	android 5.1.1 	802.11 ac 
http://www.gearbest.com/tv-box-mini-pc/pp_614298.html	minix z83 - 4 windows 10 tv box + minix k2 mini keyboard	$220.15	tv box 	4g 	intel hd graphic 	minix 	z83 - 4 		intel atom x5-z8350 	quad core 		ddr3l 	32g 	0.9520 kg 	26.00 x 13.00 x 5.00 cm / 10.24 x 5.12 x 1.97 inches 	3.5mm audio,dc power port,ethernet,hdmi,tf card,usb2.0,usb3.0 	1.4				64bit 	16gb	windows 10 	
http://www.gearbest.com/tv-box-mini-pc/pp_484217.html	scishion v88 plus box smart tv android system	$28.99	tv box 	2g 	mali-400 	scishion 	v88 plus 		rk3229 	1.5ghz,quad core 	black 	ddr3 	8g 	0.1430 kg 	11.60 x 11.60 x 2.50 cm / 4.57 x 4.57 x 0.98 inches 	av,dc power port,hdmi,rj45,sd card slot,spdif,usb2.0 	2			6051p 	32bit 	500gb 	android 5.1,android 6.0 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_627119.html	a95x a1 tv box	$27.99	tv box 	1g 	mali-450 mp 	a95x 	a95x a1 	s905x 	cortex a53 	2.0ghz,quad core 		ddr3 	8g 	0.1200 kg 	9.30 x 9.30 x 1.50 cm / 3.66 x 3.66 x 0.59 inches 	spdif,tf card,usb2.0 	2		100m 		64bit 		android 6.0 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_367841.html	r - box 4k hd android tv smart box 32bit	$44.23	tv box 	2g ram 	mali-400 		r - box 		rk3229 	cortex a7,quad core 	black,silver 	lpddr3 	8g rom 	0.1300 kg 	11.60 x 11.60 x 2.10 cm / 4.57 x 4.57 x 0.83 inches 	dc power port,hdmi,optical,rj45,tf card,usb2.0 		bluetooth4.0 			32bit 	32gb 	android 5.1.1 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_614945.html	minix z83 - 4 windows 10 tv box + minix k1 mini keyboard	$211.21	tv box 	4g 	intel hd graphic 	minix 	z83 - 4 		intel atom x5-z8350 	quad core 	black 	ddr3l 	32g 	0.8470 kg 	12.70 x 12.70 x 2.40 cm / 5 x 5 x 0.94 inches 	3.5mm audio,dc power port,ethernet,hdmi,mini dp,tf card,usb2.0,usb3.0 	1.4				64bit 		windows 10 	802.11 ac 
http://www.gearbest.com/tv-box-mini-pc/pp_276274.html	mxv+ s905 box tv android 5.1	$47.04	tv box 	1g ram 			mxv+ s905 		amlogic s905 	quad core 	black 	ddr3 	8g rom 	0.2540 kg 	12.00 x 12.00 x 3.60 cm / 4.72 x 4.72 x 1.42 inches 	dc 5v,hdmi,lan,spdif,tf card,usb2.0 					64bit 		android 5.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_493136.html	k8 mini pc usb 3.0 foldable keyboard	$156.61	gaming,mini pc 	4g 	intel hd graphic 5500 		k8 		intel z8300 	2.0ghz,quad core 	black 	ddr3 	64g 	0.5000 kg 	38.50 x 12.00 x 1.50 cm / 15.16 x 4.72 x 0.59 inches 	3.5mm audio,dc power port,hdmi,reset port,tf card,usb2.0,usb3.0,vga 	1.4	bluetooth4.0 	no 	mo 	64bit 	128gb 		
http://www.gearbest.com/tv-box-mini-pc/pp_612218.html	minix neo u9 - h tv box + minix a3 air mouse	$152.99	tv box 	2g ram 	arm mali-t820mp3 	minix 	neo u9 - h 	amlogic s912-h 	cortex a53 	octa core 		ddr3 	16g rom 	0.2780 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,av,dc 5v,dc power port,hdmi,otg,rj45,spdif,tf card,usb2.0 	2	bluetooth 4.1 + edr 			64bit 	64gb 	android 6.0.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_273234.html	minix neo u1 tv box android 5.1.1	$104.99	tv box 	2g 	mali-450 	minix 	neo u1 		amlogic s905 	quad core 	black 	ddr3 	16g 	0.2780 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,dc power port,hdmi,lan,otg,spdif,tf card,usb2.0 	2	bluetooth 4.1 + edr 			64bit 	128gb 	android 5.1.1 	802.11 ac 
http://www.gearbest.com/tv-box-mini-pc/pp_366029.html	sunvell t95m 4k hd smart android box tv 64bit	$39.99	tv box 	2g ram 	mali-450 	sunvell 	t95m 		amlogic s905x 	2.0ghz,quad core 	black 	ddr3 	8g rom 	0.1340 kg 	11.30 x 11.30 x 2.40 cm / 4.45 x 4.45 x 0.94 inches 	hdmi,micro sd card slot,rj45,usb2.0 	2	support 			64bit 	500gb 	android 6.0 	ieee 802.11 b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_608002.html	voyo vmac mini pc apollo laken4200 cpu windows 10.1	$284.84	mini pc 	8g ram 	arm mali-t820mp3 	voyo 	vmac 	apollo lake n4200 	apollo laken4200 	quad core 		ddr3l 	32g rom 	0.4000 kg 	12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches 	3.5mm audio,dc power port,mini hdmi female,rj45,tf card,usb3.0 	2	unsupport 	1	no 	64bit 		windows 10.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_273238.html	minix neo u1 box android tv	$104.99	tv box 	2g 	mali-450 	minix 	neo u1 		amlogic s905 	quad core 	black 	ddr3 	16g 	0.278 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,dc power port,hdmi,lan,otg,spdif,tf card,usb2.0 	2	bluetooth 4.1 + edr 			64bit 	128gb 	android 5.1.1 	802.11 ac 
http://www.gearbest.com/tv-box-mini-pc/pp_592794.html	tx8 mini smart mini android box 2gb ddr3 + 16gb	$73.92	tv box 	2g ram 	mali-t820mp3 		tx8 mini 	amlogic s912 	cortex a53 	octa core 		ddr3 	16g rom 	0.1710 kg 	10.30 x 10.30 x 2.30 cm / 4.06 x 4.06 x 0.91 inches 	dc 5v,hdmi,rj45,spdif,tf card,usb2.0 		bluetooth4.0 	10/100m/1000m 	qualcomm 9377 	64bit 	32gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_633835.html	mecool m8s pro tv box	$69.99	tv box 	2g ram,3g ram 	arm mali-t820mp3 	mecool 	m8s pro 	amlogic s912 	arm cortex-a53 	1.5ghz,octa core 		ddr4 	16g rom,32g rom 	0.1100 kg 	10.20 x 10.20 x 2.10 cm / 4.02 x 4.02 x 0.83 inches 	av,dc 5v,hdmi,lan,tf card,usb2.0 	2	bluetooth 4.1 		qca9377 	64bit 	32gb 		
http://www.gearbest.com/tv-box-mini-pc/pp_414774.html	sunvell t95 max tv android box quad core amlogic s905	$65.96		2g ram 	mali-450 	sunvell 	t95 max 	amlogic s905 	amlogic s905 	2.0ghz,quad core 	black 	ddr3 	32g rom 	0.4000 kg 	16.00 x 11.00 x 2.50 cm / 6.3 x 4.33 x 0.98 inches 	av,dc power port,hdmi,micro sd card slot,rj45,spdif,usb2.0 		bluetooth4.0 			64bit 		android 5.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_630434.html	sunvell t95d tv box	$23.99	tv box 	1g ram 	mali-400 	sunvell 	t95d 		rk3229 	quad core 	black 	ddr3 	8g rom 	0.1500 kg 	10.20 x 10.20 x 2.30 cm / 4.02 x 4.02 x 0.91 inches 	tf card,usb2.0 			100m 		64bit 	32gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_650617.html	mxq pro smart tv box	$36.35	tv box 	1g ram 	mali-450 	mxq 	pro 	s905x 	arm cortex-a53 	2.0ghz,quad core 		ddr3 	8g rom 	0.2000 kg 	11.30 x 11.30 x 2.40 cm / 4.45 x 4.45 x 0.94 inches 		1.4	unsupport 	100m 	rt8189 	64bit 	32gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_569430.html	rupa a5x media box tv android 6.0	$54.5	mini pc 	2g ram 	mali-450 mp 	rupa 	a5x 		amlogic s905x 	quad core 	black 	ddr3 	16g rom 	0.1800 kg 	11.20 x 11.20 x 2.20 cm / 4.41 x 4.41 x 0.87 inches 	av,dc power port,hdmi,optical,rj45,tf card,usb2.0 	2	bluetooth4.0 	100m 	8723bs 	64bit 	64gb 		
http://www.gearbest.com/tv-box-mini-pc/pp_449446.html	sunvell t95rpro mini android box amlogic s912 octa core	$71.02	tv box 	2g 	arm mali-t820mp3 	sunvell 	t95rpro 		amlogic s912 	2.0ghz,octa core 	black 	ddr3 	16g 	0.400 kg 	13.00 x 13.00 x 3.00 cm / 5.12 x 5.12 x 1.18 inches 	av,dc power port,hdmi,optical,rj45,sd card slot,usb2.0 	2	bluetooth4.0 			64bit 		android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_424948.html	r9 plus tv android box rockchip 3229 quad core	$37.43	tv box 	1g 	mali-400 		r9 plus 		rk3229 	quad core 	black 	ddr3 	8g 	0.2300 kg 	11.60 x 11.60 x 2.10 cm / 4.57 x 4.57 x 0.83 inches 	av,dc 5v,hdmi,rj45,sd card slot,spdif,usb2.0 	2				64bit 	32gb 	android 5.1 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_503487.html	alfawise h96 pro+ tv box	$67.99	tv box 	3gb 	arm mali-t820mp3 		h96 pro+ 		amlogic s912 	2.0ghz,octa core 	black 	ddr3 	32g 	0.2500 kg 	10.70 x 10.70 x 2.00 cm / 4.21 x 4.21 x 0.79 inches 	av,dc power port,ethernet,hdmi,spdif,tf card,usb2.0 	2	support 			64bit 	2tb 	android 7.1 	802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_493138.html	bm8 pro android 6.0 box tv	$78.77	tv box 	2g 	arm mali-t820mp3 		bm8 pro 		amlogic s912 	2.0ghz,octa core 	black 	ddr3 	32g 	0.108 kg 	9.80 x 9.80 x 2.60 cm / 3.86 x 3.86 x 1.02 inches 	av,dc 5v,ethernet,hdtv in,tf card,usb2.0 	2	bluetooth4.0 			64bit 	512gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_650616.html	mxq pro smart tv box	$36.35	tv box 	1g ram 	mali-450 	mxq 	pro 	s905x 	arm cortex-a53 	2.0ghz,quad core 		ddr3 	8g rom 	0.2000 kg 	11.30 x 11.30 x 2.40 cm / 4.45 x 4.45 x 0.94 inches 		1.4	unsupport 	100m 	rt8189 	64bit 	32gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_639835.html	voyo v1 vmac mini pc	$156.76	mini pc 	4g ram 	intel hd graphic 	voyo 	v1 vmac 	apollo lake n3450 	apollo lake n3450 	quad core 		ddr3l 	32g rom 	0.4000 kg 	12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches 	3.5mm audio,dc power port,mini hdmi female,rj45,tf card,usb3.0 	1.4	unsupport 	1000m 	out-cell 	64bit 		windows 10 	
http://www.gearbest.com/tv-box-mini-pc/pp_463456.html	mecool kii pro tv box quad core amlogic s905 android 5.1.1	$68.99	tv box 	2g ram 	mali-450 	mecool 	kii pro 	amlogic s905 	amlogic s905 	2.0ghz,quad core 	black 	ddr3 	16g rom 	0.1920 kg 	13.20 x 12.20 x 3.30 cm / 5.2 x 4.8 x 1.3 inches 	av,cvbs/l/r,dc power port,dvb-s2,dvb-t2,micro sd card slot,rj45,spdif,usb2.0 	2	bluetooth4.0 			64bit 		android 5.1.1 	802.11 b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_614304.html	minix neo u1 live tv box + minix neo a3 air mouse	$144.56	tv box 	2g 	mali-450 	minix 	neo u1 		cortex a53 	quad core 	black 	ddr3 	16g 	0.7600 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	kensington lock,otg,tf card,usb2.0 					64bit 	64gb 	android 5.1.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_572109.html	voyo v1 mini pc intel celeron n3450	$229.42	mini pc 	4g 	intel hd graphic 	voyo 	v1 		intel celeron n3450 	quad core 	blue,golden,rose gold 	ddr3l 	32g emmc + 128g ssd 	0.4000 kg 	12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches 	3.5mm audio,dc power port,mini hdmi female,rj45,tf card,usb3.0 	1.4	unsupport 	1000m 	out-cell 	64bit 	2tb 	windows 10.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_390235.html	mini m8s ii 4k smart tv box android amlogic s905x quad core processor	$34.99	tv box 	2g ram 	mali-450 		mini m8s ii 	s905x 	amlogic s905x 	2.0ghz,quad core 	black 	ddr3 	8g rom 	0.1520 kg 	11.00 x 11.00 x 1.70 cm / 4.33 x 4.33 x 0.67 inches 	dc power port,hdmi,micro sd card slot,rj45,spdif,usb2.0 	2	bluetooth4.0 			64bit 	32gb 	android 6.0 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_612221.html	minix neo u9 - h octa core tv box + minix a2 lite air mouse	$162.41	tv box 	2g 	arm mali-t820mp3 	minix 	neo u9 - h 	s905x 	cortex a53 	octa core 		ddr3 	16g 	0.2780 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,ant-in,dc 5v,dc power port,hdmi,otg,rj45,spdif,tf card,usb2.0 	2	bluetooth 4.1 + edr 	1000m 		64bit 	64gb 	android 6.0.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_401685.html	scishion v88 tv box player rockchip 3229 quad core	$23.99	tv box 	1g ram 	mali-400 		v88 		rk3229 	1.5ghz,quad core 	black 	ddr3 	8g rom 	0.1430 kg 	11.60 x 11.60 x 2.50 cm / 4.57 x 4.57 x 0.98 inches 	av,dc power port,hdmi,rj45,sd card slot,spdif,usb2.0 	2	unsupport 	no 	unknown 	32bit 	16gb	android 5.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_595438.html	m9s mix smart tv android box	$72.79	tv box 	2g 	arm mali-t820mp3 		mix 		amlogic s912 	octa core 	black 	ddr3 	16g 	0.3500 kg 	10.00 x 10.00 x 3.50 cm / 3.94 x 3.94 x 1.38 inches 	av,dc power port,hdmi,rj45,usb2.0 	1.4	bluetooth4.0 	max. 100m 		64bit 	32gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_275098.html	minix neo u1 smart tv android box	$146.95	tv box 	2g 	mali-450 	minix 	neo u1 		amlogic s905 	quad core 	black 	ddr3 	16g 	0.278 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,dc power port,hdmi,lan,otg,spdif,tf card,usb2.0 	2	bluetooth 4.1 + edr 			64bit 	500gb 	android 5.1.1 	802.11 ac 
http://www.gearbest.com/tv-box-mini-pc/pp_654925.html	lake i home cloud tv box	$83.99	tv box 	2g ram 	arm mali-t820mp3 			realtek rtd1295 	arm cortex-a53 	quad core 		ddr4 	16g rom 	0.2100 kg 	13.20 x 12.40 x 2.70 cm / 5.2 x 4.88 x 1.06 inches 							128gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_636793.html	tx2 - r2 tv box rk3229	$29.69	tv box 	2g 	mali400mp2 		tx2 - r2 	rk3229 	arm cortex-a7,rk3229 	1.5ghz 		ddr3 	16g 	0.1230 kg 	10.50 x 10.50 x 1.00 cm / 4.13 x 4.13 x 0.39 inches 	av,dc 5v,hdmi,lan,spdif,tf card,usb2.0 	2	bluetooth2.0 			32bit 	128gb 	android 6.0 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_612219.html	minix neo u9 - h tv box + minix a3 air mouse	$152.99	tv box 	2g ram 	arm mali-t820mp3 	minix 	neo u9 - h 	amlogic s912-h 	cortex a53 	octa core 		ddr3 	16g rom 	0.2780 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,av,dc 5v,dc power port,hdmi,otg,rj45,spdif,tf card,usb2.0 	2	bluetooth 4.1 + edr 			64bit 	64gb 	android 6.0.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_591548.html	mecool bb2 pro android 6.0 tv box 3gb ddr4 + 16gb	$73.99	tv box 	3gb 	arm mali-t820mp3 	mecool 	bb2 pro 	amlogic s912 	amlogic s912 	octa core 		ddr4 	16g 	0.2060 kg 	10.90 x 10.90 x 2.10 cm / 4.29 x 4.29 x 0.83 inches 	av,dc 5v,hdmi,rj45,spdif,tf card,usb2.0 	2	bluetooth4.0 	10/100m/1000m rgmii 		64bit 	32gb 	android 6.0 	802.11 b/g/n/ac 
