Configuration	ErrorRate	Precision	Recall	F-Measure
{ConfidenceFactor=0.3, MinNumObjPerLeaf=8, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	14.82%	84.34%	85.18%	84.58%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=8, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	14.82%	84.34%	85.18%	84.58%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=8, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	14.82%	84.34%	85.18%	84.58%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=8, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	14.82%	84.34%	85.18%	84.58%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=8, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	14.82%	84.34%	85.18%	84.58%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=8, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	14.82%	84.34%	85.18%	84.58%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=8, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	14.82%	84.34%	85.18%	84.58%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=8, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	14.82%	84.34%	85.18%	84.58%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=8, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	14.82%	84.34%	85.18%	84.58%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=8, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	14.82%	84.34%	85.18%	84.58%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=8, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	14.82%	84.34%	85.18%	84.58%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.66%	84.23%	85.34%	84.53%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=8, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	14.89%	84.25%	85.11%	84.50%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=8, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	14.89%	84.25%	85.11%	84.50%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=8, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	14.89%	84.25%	85.11%	84.50%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=8, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	14.89%	84.25%	85.11%	84.50%
