{ComplexityConstant=1.2, Kernel=Puk kernel, BuildCalibrationModel=true}	19.72%	79.08%	80.28%	77.96%	216089.30ms
{ComplexityConstant=1.2, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	31.29%	51.21%	37.70%	245454.60ms
{ComplexityConstant=1.2, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	30.49%	66.44%	69.51%	65.25%	316378.80ms
{ComplexityConstant=1.3, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	38.46%	51.98%	61.54%	53.73%	20997.70ms
{ComplexityConstant=1.3, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	24.95%	72.66%	75.05%	71.46%	62516.70ms
{ComplexityConstant=1.3, Kernel=Puk kernel, BuildCalibrationModel=false}	28.73%	62.55%	71.27%	64.47%	147951.30ms
{ComplexityConstant=1.3, Kernel=Puk kernel, BuildCalibrationModel=true}	19.52%	79.31%	80.48%	78.21%	214571.30ms
{ComplexityConstant=1.3, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	31.30%	51.21%	37.71%	235691.60ms
{ComplexityConstant=1.3, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	30.41%	66.33%	69.59%	65.32%	271410.40ms
{ComplexityConstant=1.4000000000000001, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	38.36%	52.15%	61.64%	53.90%	21335.60ms
{ComplexityConstant=1.4000000000000001, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	24.83%	72.69%	75.17%	71.62%	63810.10ms
{ComplexityConstant=1.4000000000000001, Kernel=Puk kernel, BuildCalibrationModel=false}	28.16%	63.68%	71.84%	65.11%	138893.20ms
{ComplexityConstant=1.4000000000000001, Kernel=Puk kernel, BuildCalibrationModel=true}	19.42%	79.49%	80.58%	78.37%	174137.10ms
{ComplexityConstant=1.4000000000000001, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	31.30%	51.21%	37.71%	181503.00ms
{ComplexityConstant=1.4000000000000001, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	30.41%	66.51%	69.59%	65.34%	213450.80ms
