12.17% & 87.33% & 87.83% & 87.39% & 719.40ms \\
50.32% & 25.42% & 49.68% & 33.40% & 96.30ms \\
12.23% & 87.21% & 87.77% & 87.33% & 2757.20ms \\
19.75% & 84.33% & 80.25% & 80.40% & 7879.40ms \\
34.80% & 67.38% & 65.20% & 65.07% & 625.60ms \\
10.14% & 89.32% & 89.86% & 89.47% & 8380.80ms \\
38.87% & 50.94% & 61.13% & 53.34% & 14954.70ms \\
19.94% & 78.72% & 80.06% & 78.62% & 469958.00ms \\
