Configuration	ErrorRate	Precision	Recall	F-Measure
{HiddenLayers=o, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	22.34%	74.74%	77.66%	75.02%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	22.34%	74.09%	77.66%	74.81%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	22.77%	75.35%	77.23%	75.34%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	22.92%	74.70%	77.08%	75.04%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	22.97%	72.80%	77.03%	73.75%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	23.01%	73.62%	76.99%	73.98%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	23.05%	74.83%	76.95%	75.15%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	23.18%	75.53%	76.82%	75.14%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	23.18%	73.44%	76.82%	73.93%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	23.29%	72.58%	76.71%	73.46%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	23.92%	70.46%	76.08%	72.15%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	28.96%	62.37%	71.04%	64.84%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	29.42%	59.88%	70.58%	63.76%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	29.44%	61.84%	70.56%	64.20%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	29.61%	61.74%	70.39%	63.75%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	29.83%	59.58%	70.17%	63.37%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	30.00%	61.55%	70.00%	63.21%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	30.09%	60.57%	69.91%	63.17%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	30.39%	59.92%	69.61%	62.55%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	30.41%	59.19%	69.59%	62.83%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	30.50%	61.77%	69.50%	62.39%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	30.52%	60.42%	69.48%	63.22%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	30.63%	60.20%	69.37%	63.01%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	30.87%	60.23%	69.13%	62.57%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	31.06%	57.30%	68.94%	61.74%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	31.17%	57.94%	68.83%	61.75%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=false}	31.21%	60.56%	68.79%	62.48%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	31.21%	57.23%	68.79%	61.33%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	31.36%	58.14%	68.64%	61.68%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=false}	31.41%	61.84%	68.59%	62.47%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	31.51%	56.24%	68.49%	60.65%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	31.56%	57.30%	68.44%	60.88%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	31.58%	55.45%	68.42%	60.31%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	31.60%	55.52%	68.40%	60.40%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	31.64%	59.80%	68.36%	61.79%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	31.65%	58.13%	68.35%	60.57%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	31.77%	56.70%	68.23%	60.98%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=false}	31.86%	59.83%	68.14%	61.84%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	31.97%	56.47%	68.03%	60.41%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	32.08%	57.49%	67.92%	60.13%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	32.10%	55.85%	67.90%	60.24%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=false}	32.16%	61.27%	67.84%	61.64%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	32.21%	59.16%	67.79%	60.86%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=false}	32.25%	58.61%	67.75%	61.13%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=true}	32.27%	56.03%	67.73%	59.97%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	32.27%	54.97%	67.73%	59.88%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=true}	32.32%	56.45%	67.68%	60.21%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	32.32%	55.23%	67.68%	60.12%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=true}	32.36%	56.22%	67.64%	59.70%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=false}	32.45%	60.07%	67.55%	61.48%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=false}	32.55%	58.60%	67.45%	60.75%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	32.66%	54.43%	67.34%	59.41%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=false}	32.68%	60.35%	67.32%	60.47%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	32.71%	54.97%	67.29%	59.87%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	32.83%	57.92%	67.17%	59.92%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	32.90%	57.84%	67.10%	60.83%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=true}	32.90%	54.13%	67.10%	59.15%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=true}	32.96%	54.77%	67.04%	59.64%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	32.99%	54.03%	67.01%	59.10%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=false}	33.01%	58.39%	66.99%	60.14%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=true}	33.07%	53.90%	66.93%	58.95%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=true}	33.10%	56.32%	66.90%	59.30%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	33.14%	58.18%	66.86%	60.86%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=true}	33.20%	53.77%	66.80%	58.81%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=true}	33.20%	53.50%	66.80%	58.65%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=true}	33.23%	53.61%	66.77%	58.67%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	33.27%	53.70%	66.73%	58.76%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	33.27%	53.54%	66.73%	58.69%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	33.31%	53.89%	66.69%	58.96%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	33.33%	53.51%	66.67%	58.65%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	33.36%	56.48%	66.64%	60.20%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	33.42%	54.14%	66.58%	59.13%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=true}	33.44%	53.65%	66.56%	58.62%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=true}	33.44%	53.35%	66.56%	58.51%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	33.46%	53.53%	66.54%	58.66%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	33.48%	53.31%	66.52%	58.44%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	33.49%	53.24%	66.51%	58.41%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	33.57%	53.01%	66.43%	58.26%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	33.61%	53.27%	66.39%	58.43%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=true}	33.62%	53.30%	66.38%	58.46%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=true}	33.62%	52.98%	66.38%	58.22%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=false}	33.66%	57.18%	66.34%	60.22%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=true}	33.66%	53.23%	66.34%	58.39%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	33.68%	53.08%	66.32%	58.20%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	33.70%	53.80%	66.30%	58.81%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=false}	33.75%	56.35%	66.25%	59.87%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	33.75%	53.01%	66.25%	58.17%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	33.75%	52.70%	66.25%	57.98%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	33.81%	52.76%	66.19%	57.88%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	33.81%	52.75%	66.19%	57.95%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=true}	33.83%	53.70%	66.17%	58.68%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=true}	33.85%	53.77%	66.15%	58.73%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	33.85%	53.04%	66.15%	58.03%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=true}	33.87%	52.67%	66.13%	57.95%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=true}	33.90%	53.57%	66.10%	58.57%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=true}	33.92%	52.83%	66.08%	57.90%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=true}	33.94%	52.89%	66.06%	57.85%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	34.00%	52.90%	66.00%	57.83%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=true}	34.00%	52.32%	66.00%	57.67%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=true}	34.01%	52.72%	65.99%	57.72%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	34.03%	52.68%	65.97%	57.69%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	34.07%	53.25%	65.93%	58.27%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	34.09%	52.68%	65.91%	57.72%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	34.14%	52.52%	65.86%	57.55%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	34.18%	51.92%	65.82%	57.30%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=false}	34.26%	55.75%	65.74%	58.97%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=true}	34.29%	52.39%	65.71%	57.40%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	34.31%	52.62%	65.69%	57.47%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=false}	34.33%	57.04%	65.67%	58.70%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	34.33%	52.55%	65.67%	57.43%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=false}	34.35%	55.30%	65.65%	58.91%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=false}	34.41%	56.76%	65.59%	58.88%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	34.41%	52.81%	65.59%	57.83%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	34.52%	51.71%	65.48%	56.94%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=false}	34.57%	56.91%	65.43%	58.41%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=true}	34.65%	52.87%	65.35%	56.85%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=true}	34.65%	52.20%	65.35%	57.02%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=true}	34.67%	52.43%	65.33%	57.01%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=true}	34.68%	51.78%	65.32%	56.79%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	34.78%	52.01%	65.22%	56.83%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=true}	34.83%	51.82%	65.17%	56.52%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=true}	34.94%	50.84%	65.06%	56.20%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	35.00%	51.43%	65.00%	56.24%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=true}	35.06%	51.90%	64.94%	56.32%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=true}	35.11%	51.78%	64.89%	56.27%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=true}	35.13%	51.17%	64.87%	56.26%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=true}	35.19%	52.34%	64.81%	56.08%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=false}	35.20%	55.62%	64.80%	56.70%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=false}	35.28%	53.10%	64.72%	57.32%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=false}	35.33%	55.30%	64.67%	57.30%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	35.33%	50.78%	64.67%	55.73%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	35.35%	51.83%	64.65%	56.48%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=true}	35.43%	50.66%	64.57%	55.85%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=true}	35.45%	51.06%	64.55%	55.53%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=true}	35.45%	50.03%	64.55%	55.62%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	35.48%	52.28%	64.52%	55.62%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	35.48%	50.90%	64.52%	55.46%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	35.48%	50.60%	64.52%	55.48%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=true}	35.48%	50.48%	64.52%	55.71%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	35.58%	50.10%	64.42%	55.50%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=false}	35.63%	54.52%	64.37%	57.92%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=true}	35.67%	50.65%	64.33%	55.02%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=false}	35.71%	57.80%	64.29%	58.80%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=false}	35.72%	57.71%	64.28%	58.40%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	35.76%	51.61%	64.24%	56.22%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=true}	35.76%	49.70%	64.24%	55.09%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=false}	35.80%	51.08%	64.20%	55.90%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=true}	35.89%	48.54%	64.11%	54.56%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=false}	35.91%	54.08%	64.09%	57.54%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=true}	35.95%	49.82%	64.05%	54.90%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=false}	36.00%	59.82%	64.00%	57.12%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=false}	36.00%	57.24%	64.00%	56.99%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	36.00%	49.73%	64.00%	54.48%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=true}	36.02%	48.54%	63.98%	54.51%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=true}	36.06%	49.40%	63.94%	54.19%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=false}	36.08%	52.68%	63.92%	56.58%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	36.08%	50.71%	63.92%	55.58%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	36.10%	56.98%	63.90%	57.80%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	36.10%	47.90%	63.90%	54.19%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=true}	36.12%	48.06%	63.88%	54.29%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=false}	36.30%	55.72%	63.70%	57.90%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=false}	36.30%	51.20%	63.70%	55.77%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=true}	36.30%	47.51%	63.70%	53.87%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=false}	36.39%	53.30%	63.61%	55.80%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=true}	36.41%	46.41%	63.59%	53.10%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=false}	36.49%	54.81%	63.51%	56.90%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	36.51%	49.99%	63.49%	55.03%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	36.58%	46.37%	63.42%	53.09%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	36.60%	46.61%	63.40%	53.25%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	36.60%	45.80%	63.40%	52.72%
