Configuration	ErrorRate	Precision	Recall	F-Measure
{HiddenLayers=t, LearningRate=0.5, Momentum=0.5, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.10%	81.56%	81.90%	81.11%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.5, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.10%	81.00%	81.90%	80.99%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.14%	81.24%	81.86%	81.13%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.23%	81.37%	81.77%	81.04%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.1, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.23%	80.99%	81.77%	80.95%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.23%	80.47%	81.77%	80.53%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.25%	81.27%	81.75%	80.95%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.25%	80.66%	81.75%	80.70%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.27%	80.96%	81.73%	80.93%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.27%	80.83%	81.73%	80.77%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.44%	80.63%	81.56%	80.55%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.46%	80.88%	81.54%	80.77%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.49%	80.46%	81.51%	80.43%
