Configuration	ErrorRate	Precision	Recall	F-Measure
{ComplexityConstant=0.7, Kernel=Puk kernel, BuildCalibrationModel=false}	30.58%	60.14%	69.42%	62.27%
{ComplexityConstant=0.8999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	30.61%	65.95%	69.39%	64.94%
{ComplexityConstant=0.7999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	30.68%	65.55%	69.32%	64.73%
{ComplexityConstant=0.7, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	30.79%	65.54%	69.21%	64.52%
{ComplexityConstant=1.4000000000000001, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	38.36%	52.15%	61.64%	53.90%
{ComplexityConstant=1.3, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	38.46%	51.98%	61.54%	53.73%
{ComplexityConstant=1.2, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	38.60%	51.90%	61.40%	53.54%
{ComplexityConstant=1.0999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	38.91%	51.43%	61.09%	53.14%
{ComplexityConstant=0.9999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	39.06%	51.17%	60.94%	52.95%
{ComplexityConstant=0.8999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	39.30%	50.34%	60.70%	52.57%
{ComplexityConstant=0.7999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	39.51%	49.86%	60.49%	52.22%
{ComplexityConstant=0.7, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	40.06%	48.78%	59.94%	51.37%
{ComplexityConstant=1.3, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	31.30%	51.21%	37.71%
{ComplexityConstant=1.4000000000000001, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	31.30%	51.21%	37.71%
{ComplexityConstant=1.2, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	31.29%	51.21%	37.70%
{ComplexityConstant=1.0999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	31.28%	51.21%	37.69%
{ComplexityConstant=0.9999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	31.27%	51.21%	37.68%
{ComplexityConstant=0.8999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	31.25%	51.21%	37.66%
{ComplexityConstant=0.7999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	31.24%	51.21%	37.65%
{ComplexityConstant=0.7, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	31.23%	51.21%	37.65%
