Configuration	ErrorRate	Precision	Recall	F-Measure
{ConfidenceFactor=0.1, MinNumObj=9, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	14.87%	83.44%	85.13%	83.99%
{ConfidenceFactor=0.1, MinNumObj=9, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	14.89%	83.40%	85.11%	83.96%
{ConfidenceFactor=0.1, MinNumObj=9, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	14.89%	83.40%	85.11%	83.96%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	15.22%	83.21%	84.78%	83.70%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	15.22%	83.17%	84.78%	83.68%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	15.22%	83.17%	84.78%	83.68%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
