{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	58.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	50.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	35.78%	22.91%	23.73%	48.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	29.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	35.00ms
{ConfidenceFactor=0.2, NumFolds=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	35.78%	22.91%	23.73%	9.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	24.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	32.85%	22.82%	23.64%	34.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	33.31%	23.97%	25.22%	45.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	24.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	26.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	33.31%	23.97%	25.22%	39.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	35.78%	22.91%	23.73%	55.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	35.78%	22.91%	23.73%	39.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	12.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	35.78%	22.91%	23.73%	41.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	33.31%	23.97%	25.22%	20.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	32.85%	22.82%	23.64%	80.00ms
