CONF	PREC	REC	FM	TIME
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	29.27%	24.71%	24.50%	27.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	25.20%	22.58%	22.08%	15.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	28.83%	21.26%	20.65%	20.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	30.40%	25.21%	23.94%	11.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	35.48%	33.99%	33.09%	40.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	37.45%	25.70%	28.65%	14.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	34.86%	23.48%	22.40%	24.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	37.62%	28.82%	28.27%	26.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	28.83%	21.26%	20.65%	13.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	34.86%	23.48%	22.40%	28.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	37.08%	25.53%	27.46%	13.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	33.53%	25.62%	25.81%	29.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	33.53%	25.62%	25.81%	49.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	35.48%	33.99%	33.09%	12.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	29.27%	24.71%	24.50%	15.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	28.91%	28.41%	27.52%	25.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	32.43%	28.49%	28.13%	27.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	32.96%	26.68%	26.88%	27.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	43.03%	35.96%	36.04%	10.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	35.78%	26.60%	27.41%	22.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	32.43%	28.49%	28.13%	23.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	40.94%	25.94%	26.73%	55.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	36.70%	25.37%	27.23%	12.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	32.43%	28.49%	28.13%	21.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	25.20%	22.58%	22.08%	7.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	35.78%	26.60%	27.41%	25.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	37.62%	28.82%	28.27%	57.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	43.03%	35.96%	36.04%	10.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	43.03%	35.96%	36.04%	10.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=9, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	34.89%	31.94%	31.98%	27.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	28.91%	28.41%	27.52%	27.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	25.20%	22.58%	22.08%	15.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	37.62%	28.82%	28.27%	24.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	35.06%	23.48%	22.47%	23.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	36.28%	26.85%	27.67%	16.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	34.86%	23.48%	22.40%	25.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	32.96%	26.68%	26.88%	56.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=9, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	31.63%	23.40%	22.88%	14.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	28.83%	21.26%	20.65%	14.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	37.62%	28.82%	28.27%	29.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	33.12%	23.97%	27.27%	17.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=9, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	24.72%	21.26%	19.70%	15.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	32.96%	26.68%	26.88%	26.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	28.83%	21.26%	20.65%	18.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	29.27%	24.71%	24.50%	15.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=10, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	28.83%	21.26%	20.65%	13.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	32.78%	23.89%	27.02%	15.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	35.06%	23.48%	22.47%	24.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	32.43%	28.49%	28.13%	24.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	37.08%	25.53%	27.46%	15.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	36.53%	28.57%	26.28%	20.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	32.96%	26.68%	26.88%	25.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	32.96%	26.68%	26.88%	49.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=4, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	45.06%	37.52%	39.21%	14.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	36.53%	28.57%	26.28%	18.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	23.24%	27.67%	23.89%	24.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	30.25%	26.52%	26.91%	13.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	32.96%	26.68%	26.88%	27.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	32.42%	26.19%	26.17%	21.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	28.91%	28.41%	27.52%	48.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	32.96%	26.68%	26.88%	46.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=4, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	37.66%	27.01%	26.53%	19.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=4, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	29.58%	20.44%	20.65%	21.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	36.73%	24.96%	25.08%	16.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	28.91%	28.41%	27.52%	28.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	44.05%	37.60%	38.29%	10.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=4, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	43.59%	37.60%	38.18%	10.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	31.97%	25.53%	25.84%	18.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	32.42%	26.19%	26.17%	25.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=4, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	43.20%	37.36%	37.94%	9.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	23.13%	27.18%	23.60%	22.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	43.64%	37.36%	38.01%	10.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	37.45%	25.70%	28.65%	13.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	32.42%	26.19%	26.17%	23.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	37.80%	25.78%	28.88%	51.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	31.39%	23.97%	23.73%	24.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	38.32%	25.78%	28.09%	11.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	23.24%	27.67%	23.89%	24.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=4, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	45.06%	37.52%	39.21%	16.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	29.91%	26.35%	26.65%	13.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	37.02%	26.52%	27.85%	10.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	31.97%	25.53%	25.84%	18.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	22.46%	23.89%	21.48%	21.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	22.46%	23.89%	21.48%	22.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	31.39%	23.97%	23.73%	26.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	32.96%	26.68%	26.88%	32.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	28.91%	28.41%	27.52%	44.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	37.40%	26.68%	28.08%	10.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	32.69%	25.78%	26.64%	15.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	38.32%	25.78%	28.09%	11.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=4, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	30.30%	27.50%	26.76%	9.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	31.97%	25.53%	25.84%	20.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	43.64%	37.36%	38.01%	9.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	32.69%	25.78%	26.64%	15.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	36.53%	28.57%	26.28%	20.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	22.46%	23.89%	21.48%	21.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	32.42%	26.19%	26.17%	22.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	22.46%	23.89%	21.48%	21.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	35.78%	26.60%	27.41%	61.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	23.24%	27.67%	23.89%	44.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	36.53%	28.57%	26.28%	19.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=4, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	37.66%	27.01%	26.53%	21.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	31.97%	25.53%	25.84%	18.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	30.25%	26.52%	26.91%	13.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	32.42%	26.19%	26.17%	22.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	32.42%	26.19%	26.17%	22.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	29.91%	26.35%	26.65%	12.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	32.42%	26.19%	26.17%	24.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	23.13%	27.18%	23.60%	22.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	36.70%	25.37%	27.23%	32.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	22.46%	23.89%	21.48%	23.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	32.69%	25.78%	26.64%	16.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	31.39%	23.97%	23.73%	25.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	35.78%	26.60%	27.41%	35.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=4, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	29.95%	27.26%	26.55%	9.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=4, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	29.63%	20.69%	20.72%	21.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	22.46%	23.89%	21.48%	23.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	31.39%	23.97%	23.73%	24.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	32.42%	26.19%	26.17%	24.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	44.05%	37.60%	38.29%	10.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	23.13%	27.18%	23.60%	22.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=4, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	37.66%	27.01%	26.53%	40.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	31.39%	23.97%	23.73%	27.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	32.69%	25.78%	26.64%	15.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=3, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	36.73%	24.96%	25.08%	15.00ms
