@RELATION phones

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE numberOfSpecialCharacters NUMERIC
@ATTRIBUTE isNumericValue {true, false}
@ATTRIBUTE isIntegralNumericValue {true, false}
@ATTRIBUTE isDecimalNumericValue {true, false}
@ATTRIBUTE isPrefixedNumber {true, false}
@ATTRIBUTE isPostfixedNumber {true, false}
@ATTRIBUTE class {BLUETOOTH_VERSION,CPU,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,EXTERNAL_MEMORY,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,SIM_CARD_TYPE,BRAND,SCREEN_SIZE,ROM,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,TITLE,WIFI,RAM}

@data
1,5,2,2,0,1,false,false,false,false,true,CAMERA_FRONT
2,13,4,4,2,3,false,false,false,false,false,CAMERA_BACK
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
5,25,19,2,4,0,false,false,false,false,false,TITLE
3,13,11,0,2,0,false,false,false,false,false,SIM_CARD_TYPE
1,7,0,5,0,2,false,false,false,true,false,PRICE
1,38,28,2,0,8,false,false,false,false,false,WIRELESS_CONNECTIVITY
2,22,11,5,1,5,false,false,false,false,false,NETWORK_4G
2,17,9,4,1,3,false,false,false,false,false,NETWORK_3G
2,15,7,4,1,3,false,false,false,false,false,NETWORK_2G
1,38,30,0,0,8,false,false,false,false,false,NETWORK_TYPE
3,34,22,5,2,5,false,false,false,false,true,WIFI
5,44,23,10,5,6,false,false,false,false,false,BATTERY_CAPACITY
1,13,12,0,0,1,false,false,false,false,false,BATTERY_TYPE
3,23,18,3,2,0,false,false,false,true,false,CPU
2,17,11,3,1,2,false,false,false,false,true,CPU_CORES
8,51,25,10,8,8,false,false,false,false,false,CAMERA_BACK
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,49,12,18,12,7,false,false,false,false,false,PRODUCT_SIZE
1,6,3,3,0,0,false,false,false,false,true,SCREEN_PPI
4,20,15,2,3,0,false,false,false,false,false,TITLE
2,10,8,1,1,0,false,false,false,false,true,DEVICE_TYPE
1,7,0,5,0,2,false,false,false,true,false,PRICE
1,30,22,2,0,6,false,false,false,false,false,WIRELESS_CONNECTIVITY
11,74,35,25,10,4,false,false,false,false,false,NETWORK_4G
5,32,18,9,4,1,false,false,false,false,false,NETWORK_3G
1,17,14,0,0,3,false,false,false,false,false,NETWORK_TYPE
1,7,3,4,0,0,false,false,false,false,true,BATTERY_CAPACITY
2,7,5,1,1,0,false,false,false,false,true,RAM
2,9,5,3,1,0,false,false,false,true,false,GPU
1,7,3,4,0,0,false,false,false,true,false,CPU
2,16,11,2,1,2,false,false,false,false,true,CPU_CORES
4,21,8,4,5,4,false,false,false,false,false,CAMERA_FRONT
6,34,12,8,8,6,false,false,false,false,false,CAMERA_BACK
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
2,8,4,2,1,1,false,false,false,false,true,SCREEN_SIZE
5,37,29,2,4,2,false,false,false,false,true,SCREEN_TYPE
4,22,17,2,3,0,false,false,false,false,false,TITLE
2,11,7,2,1,1,false,false,false,true,false,OS
1,8,8,0,0,0,false,false,false,false,false,BRAND
1,7,0,5,0,2,false,false,false,true,false,PRICE
2,32,21,4,1,6,false,false,false,false,false,WIRELESS_CONNECTIVITY
2,33,9,18,1,5,false,false,false,false,false,NETWORK_4G
2,21,8,10,1,2,false,false,false,false,false,NETWORK_3G
4,19,11,5,3,0,false,false,false,false,false,BATTERY_CAPACITY
3,27,24,0,2,1,false,false,false,false,false,BATTERY_TYPE
1,9,5,3,0,1,false,false,false,true,false,GPU
2,13,6,6,1,0,false,false,false,false,false,CPU
2,16,11,2,1,2,false,false,false,false,false,CPU_CORES
7,34,23,3,6,2,false,false,false,false,false,EXTERNAL_MEMORY
1,4,2,2,0,0,false,false,false,false,true,ROM
1,6,2,3,0,1,false,false,false,false,true,CAMERA_BACK
2,8,2,4,1,1,false,false,false,false,true,WEIGHT
12,49,12,18,12,7,false,false,false,false,false,PRODUCT_SIZE
2,21,16,1,1,3,false,false,false,false,false,SCREEN_TYPE
4,22,16,3,3,0,false,false,false,false,false,TITLE
1,4,4,0,0,0,false,false,false,false,false,BRAND
1,6,0,4,0,2,false,false,false,true,false,PRICE
2,38,25,4,1,8,false,false,false,false,false,WIRELESS_CONNECTIVITY
2,16,10,4,1,1,false,false,false,false,true,BATTERY_CAPACITY
2,16,11,2,1,2,false,false,false,false,true,CPU_CORES
8,43,25,5,9,4,false,false,false,false,false,CAMERA_BACK
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
4,38,32,1,3,2,false,false,false,false,false,SCREEN_TYPE
5,26,21,1,4,0,false,false,false,false,false,TITLE
1,7,7,0,0,0,false,false,false,false,false,DEVICE_TYPE
5,28,23,0,4,1,false,false,false,false,false,SIM_CARD_TYPE
1,6,6,0,0,0,false,false,false,false,false,BRAND
1,7,0,5,0,2,false,false,false,true,false,PRICE
1,34,25,2,0,7,false,false,false,false,false,WIRELESS_CONNECTIVITY
9,59,28,20,8,3,false,false,false,false,false,NETWORK_4G
4,33,18,10,3,2,false,false,false,false,false,NETWORK_2G
