28.52% & 64.33% & 71.48% & 66.86% & 355.30ms \\
51.23% & 24.67% & 48.77% & 32.63% & 72.20ms \\
28.71% & 65.05% & 71.29% & 67.07% & 1069.00ms \\
30.74% & 62.27% & 69.26% & 64.22% & 600.90ms \\
44.37% & 44.85% & 55.63% & 48.43% & 218.20ms \\
29.31% & 65.18% & 70.69% & 67.00% & 5392.00ms \\
49.48% & 27.96% & 50.52% & 35.58% & 12881.50ms \\
32.29% & 57.09% & 67.71% & 61.08% & 436016.00ms \\
