Decision Tree & 14.81% & 84.02% & 85.19% & 84.31% & 672.40ms \\
Decision Stump & 50.32% & 25.42% & 49.68% & 33.40% & 88.20ms \\
Decision List & 15.00% & 84.16% & 85.00% & 84.42% & 3367.50ms \\
Decision Table & 20.69% & 80.54% & 79.31% & 78.70% & 2490.50ms \\
Naive Bayes & 36.85% & 64.19% & 63.15% & 62.50% & 476.90ms \\
Random Forrest & 12.34% & 87.06% & 87.66% & 87.20% & 8707.20ms \\
Support Vector Machine & 39.21% & 44.23% & 60.79% & 49.81% & 14050.10ms \\
Multilayer Perceptron & 21.47% & 76.88% & 78.53% & 76.38% & 416287.00ms \\
