{ComplexityConstant=1.2, Kernel=Puk kernel, BuildCalibrationModel=true}	32.70%	29.23%	28.78%	6133.00ms
{ComplexityConstant=1.3, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	32.05%	30.13%	27.90%	3581.00ms
{ComplexityConstant=1.3, Kernel=Puk kernel, BuildCalibrationModel=false}	26.45%	34.07%	28.55%	2156.00ms
{ComplexityConstant=1.2, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	31.58%	28.74%	26.19%	6335.00ms
{ComplexityConstant=1.4000000000000001, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	15.58%	28.74%	20.00%	1460.00ms
{ComplexityConstant=1.3, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	6.06%	22.00%	9.50%	3474.00ms
{ComplexityConstant=1.3, Kernel=Puk kernel, BuildCalibrationModel=true}	32.70%	29.15%	28.75%	6151.00ms
{ComplexityConstant=1.4000000000000001, Kernel=Puk kernel, BuildCalibrationModel=false}	26.45%	34.07%	28.55%	2298.00ms
{ComplexityConstant=1.4000000000000001, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	32.15%	30.38%	28.06%	3573.00ms
{ComplexityConstant=1.3, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	30.11%	28.90%	26.46%	6180.00ms
{ComplexityConstant=1.4000000000000001, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	6.09%	22.00%	9.53%	2954.00ms
{ComplexityConstant=1.4000000000000001, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	30.32%	29.23%	26.67%	4668.00ms
{ComplexityConstant=1.4000000000000001, Kernel=Puk kernel, BuildCalibrationModel=true}	33.86%	30.46%	29.96%	5042.00ms
