CONF	PREC	REC	FM	TIME
{UseKernelEstimatorValues=true, UseSupervisedDiscretization=true}	50.27%	27.01%	23.86%	373.00ms
{UseKernelEstimatorValues=false, UseSupervisedDiscretization=true}	50.27%	27.01%	23.86%	368.00ms
{UseKernelEstimatorValues=true, UseSupervisedDiscretization=false}	26.36%	23.48%	21.37%	457.00ms
{UseKernelEstimatorValues=false, UseSupervisedDiscretization=false}	25.50%	22.25%	20.70%	429.00ms
