@RELATION phones

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE numberOfSpecialCharacters NUMERIC
@ATTRIBUTE isNumericValue {true, false}
@ATTRIBUTE isIntegralNumericValue {true, false}
@ATTRIBUTE isDecimalNumericValue {true, false}
@ATTRIBUTE isPrefixedNumber {true, false}
@ATTRIBUTE isPostfixedNumber {true, false}
@ATTRIBUTE class {Hardware.CPU,Hardware.GPU,BasicInformation.ServiceProvider,Camera.Frontcamera,Battery.BatteryCapacity(mAh),root.price,Network.Networktype,BasicInformation.Type,Network.WirelessConnectivity,Network.WIFI,Network.3G,Hardware.ExternalMemory,Camera.Back-camera,Display.Screenresolution,root.title,Display.Screentype,Display.PixelsPerInch(PPI),Hardware.Cores,DimensionsandWeight.Productsize,BasicInformation.SIMCardType,OtherFeatures.BluetoothVersion,Hardware.ROM,DimensionsandWeight.Productweight,BasicInformation.SIMCardSlot,Display.Screensize,BasicInformation.OS,BasicInformation.Brand,Battery.BatteryType,Network.2G,Network.4G,Hardware.RAM}

@data
1,9,8,0,0,1,false,false,false,false,false,Network.Networktype
1,7,3,4,0,0,false,false,false,false,true,Battery.BatteryCapacity(mAh)
2,11,6,3,1,1,false,false,false,false,false,Hardware.GPU
1,8,4,4,0,0,false,false,false,false,false,Hardware.CPU
5,19,12,3,4,0,false,false,false,false,false,Hardware.ExternalMemory
1,5,2,2,0,1,false,false,false,false,true,Camera.Frontcamera
2,13,4,4,2,3,false,false,false,false,false,Camera.Back-camera
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
5,25,19,2,4,0,false,false,false,false,false,root.title
3,13,11,0,2,0,false,false,false,false,false,BasicInformation.SIMCardType
1,7,0,5,0,2,false,false,false,true,false,root.price
1,38,28,2,0,8,false,false,false,false,false,Network.WirelessConnectivity
2,22,11,5,1,5,false,false,false,false,false,Network.4G
2,17,9,4,1,3,false,false,false,false,false,Network.3G
2,15,7,4,1,3,false,false,false,false,false,Network.2G
1,38,30,0,0,8,false,false,false,false,false,Network.Networktype
3,34,22,5,2,5,false,false,false,false,true,Network.WIFI
5,44,23,10,5,6,false,false,false,false,false,Battery.BatteryCapacity(mAh)
1,13,12,0,0,1,false,false,false,false,false,Battery.BatteryType
3,23,18,3,2,0,false,false,false,true,false,Hardware.CPU
2,17,11,3,1,2,false,false,false,false,true,Hardware.Cores
8,51,25,10,8,8,false,false,false,false,false,Camera.Back-camera
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,49,12,18,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
1,6,3,3,0,0,false,false,false,false,true,Display.PixelsPerInch(PPI)
4,20,15,2,3,0,false,false,false,false,false,root.title
2,10,8,1,1,0,false,false,false,false,true,BasicInformation.Type
1,7,0,5,0,2,false,false,false,true,false,root.price
1,30,22,2,0,6,false,false,false,false,false,Network.WirelessConnectivity
11,74,35,25,10,4,false,false,false,false,false,Network.4G
5,32,18,9,4,1,false,false,false,false,false,Network.3G
1,17,14,0,0,3,false,false,false,false,false,Network.Networktype
1,7,3,4,0,0,false,false,false,false,true,Battery.BatteryCapacity(mAh)
2,7,5,1,1,0,false,false,false,false,true,Hardware.RAM
2,9,5,3,1,0,false,false,false,true,false,Hardware.GPU
1,7,3,4,0,0,false,false,false,true,false,Hardware.CPU
2,16,11,2,1,2,false,false,false,false,true,Hardware.Cores
4,21,8,4,5,4,false,false,false,false,false,Camera.Frontcamera
6,34,12,8,8,6,false,false,false,false,false,Camera.Back-camera
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
