root.title|Processor.ClockSpeed|KeySpecification.Processormanufacturer|Processor.ProcessorModel|Processor.ProcessorNumber|Storage.Harddrivecapacity|Memory.RAMMemory|root.price|Operatingsystem.OperatingSystem|Warranty.ManufacturerWarranty|KeySpecification.Screensize|Display.ScreenResolution|Display.Screensize|Battery.BatteryRunTime|KeySpecification.Colour|Connectivity.WIFI/3GConnectivity(Y/N)
samsung galaxy tab s2 3gb 32gb 3g/4g 8 inch android 6.0 tablet|1.8ghz||8 core||32gb|3gb|£31.97|android 6.0||8inch|2048 x 1536|8inch||black|wi-fi, 3g/4g
new apple ipad 32gb wifi 9.7 inch ios tablet - gold||apple|a9||32gb||£335|apple ios 10|1 year warranty|9.7|2048 x 1536|9.7|10hours|gold|wi-fi
linx 8 intel atom z3735f 1.33ghz 2gb 32gb 8 inch windows 8.1 professional tough tablet|1.33ghz|intel|intel atom|z3735f||2gb|£56.97|windows 8.1 pro||8inch|800 x 1280|8inch|7hours|black|wi-fi
apple ipad pro 32gb 12.9 inch ios 9 tablet - gold||apple|a9x||32gb||£695|apple ios 9|1 year warranty|12.9in|2732 x 2048|12.9in|10hour(s)|gold|wi-fi
huawei mediapad m2 64gb wifi 10 inch tablet|2 ghz||kirin 930||||£320|android 5.1|||1920 x 1200|10 inch|||
samsung galaxy tab a 2gb 16gb 10.1 inch android 6.0 tablet - white|1.6ghz||8 core||16gb|2gb|£50.97|android 6.0||10.1inch|1920 x 1080|10.1inch||white|wi-fi
panasonic toughpad fz-g1 core i5-6300u 2.4 ghz 4gb 128gb ssd 4g 10.1 inch windows 10 professional tablet|2.4ghz|intel|intel core i5|6300u|128gb|4gb|£156.97|windows 10 pro|3 years warranty|10.1inch|1920 x 1200|10.1inch|14hours|black/silver|wi-fi, 3g/4g
new apple ipad pro wi-fi + 512gb 10.5 inch tablet - rose gold||apple|a10x fusion||512gb||£855|ios 10|1 year warranty|10.5in|2224 x 1668|10.5in|10hours|rose gold|wi-fi
new apple ipad 128gb wifi + cellular 3g/4g 9.7 inch ios tablet - gold||apple|a9||128gb||£545|apple ios 10|1 year warranty|9.7|2048 x 1536|9.7|10hours|gold|wi-fi
acer iconia a3-a40 arm cortex a53 2gb 32gb 10.1 inch android 6.0 tablet|1.5ghz||mt8163|||2gb|£21.97|android 6.0 (marshmallow)||10.1inch|1920 x 1200|10.1inch|8hours|black|wi-fi
apple ipad pro 128gb wifi + cellular 3g/4g 9.7 inch ios 9 tablet - silver||apple|a9x||128gb||£730|apple ios 9|1 year warranty|9.7in|2048 x 1536|9.7in|10hours|silver|wi-fi, 3g/4g
