Resource URI	root.title	Graphics.GraphicType	Graphics.GraphicsManufacturer	Graphics.Graphicscard	Graphics.GraphicsMemory	KeySpecification.Processormanufacturer	Processor.ClockSpeed	Processor.ProcessorModel	Processor.ProcessorNumber	Storage.Harddrivecapacity	Memory.Memorytype	Memory.RAMMemory	root.price	Media.OpticalDrive	Operatingsystem.OperatingSystem	Warranty.ManufacturerWarranty	KeySpecification.Screensize	KeySpecification.Storage	DisplayandKeyboard.ScreenResolution	Battery.BatteryRunTime
http://www.debenhamsplus.com/laptops/p/1160813/acer-travelmate-x349-m-core-i3-6100u-4gb-128gb-ssd-14-inch-windows-7-professional-laptop	acer travelmate x349-m core i3-6100u 4gb 128gb ssd 14 inch windows 7 professional laptop	integrated				intel	2.3ghz	intel core i3	6100u		ddr4 sdram	4gb	£114.97	no optical drive	windows 7 pro	1 year warranty	14in	128gb	1366 x 768	10hours
http://www.debenhamsplus.com/laptops/p/1160905/hp-probook-650-g2-core-i5-6200u-2.3ghz-4gb-500gb-dvd-rw-15.6-inch-windows-10-professional-laptop	hp probook 650 g2 core i5-6200u 4gb 500gb dvd-rw 15.6 inch windows 10 professional laptop	integrated				intel	2.3ghz	intel core i5	6200u	500gb	ddr4 sdram	4gb	£820	dvd-rw	windows 10 pro	1 year warranty	15.6in	500gb	1366 x 768	9.75hours
http://www.debenhamsplus.com/laptops/p/1183279/hp-pavilion-15-bc006na-core-i5-6300hq-8gb-1tb-128gb-ssd-geforce-gtx-960m-15.6-inch-windows-10-gami	hp pavilion 15-bc006na core i5-6300hq 8gb 1tb + 128gb ssd geforce gtx 960m 15.6 inch windows 10 gami												£115.97							
http://www.debenhamsplus.com/laptops/p/1202513/fujitsu-lifebook-t937-core-i7-7600u-16gb-512gb-ssd-13.3-inch-windows-10-professional-laptop	fujitsu lifebook t937 core i7-7600u 16gb 512gb ssd 13.3 inch windows 10 professional laptop	integrated				intel	3.9ghz	intel core i7	7600u		ddr4 sdram	16gb	£220.97	no optical drive	windows 10 pro	2 year warranty	13.3in	512gb	1920 x 1080	10hour(s)
http://www.debenhamsplus.com/laptops/p/1190995/toshiba-portg-z30-c-16z-core-i5-6300u-8gb-256gb-ssd-13.3-inch-windows-10-professional-laptop	toshiba portégé z30-c-16z core i5-6300u 8gb 256gb ssd 13.3 inch windows 10 professional laptop	integrated				intel	2.4ghz	intel core i5	6300u		ddr3l sdram	8gb	£229.97	no optical drive	windows 10 pro	1 year warranty	13.3in	256gb	1920 x 1080	14hours
http://www.debenhamsplus.com/laptops/p/1171149/lenovo-thinkpad-yoga-260-core-i7-6500u-8gb-256gb-ssd-12.5-inch-windows-10-pro-convertible-laptop	lenovo thinkpad yoga 260 core i7-6500u 8gb 256gb ssd 12.5 inch windows 10 pro convertible laptop	integrated				intel	2.5ghz	intel core i7	6500u		ddr4 sdram	8gb	£375.97	no optical drive	windows 10	1 year warranty	12.5in	256gb	1920 x 1080	10hours
http://www.debenhamsplus.com/laptops/p/1163440/asus-zenbook-core-i5-7200-8gb-512gb-ssd-12.5-inch-windows-10-laptop	asus zenbook ux390ua core i5-7200 8gb 512gb ssd 12.5 inch windows 10 laptop	integrated				intel	2.5ghz	intel core i5	7200u		lpddr3 sdram	8gb	£249.97	no optical drive	windows 10	1 year warranty	12.5in	512gb	1920 x 1080	9hours
http://www.debenhamsplus.com/laptops/p/1110350/hp-elitebook-840-g3-core-i5-6200u-2.3ghz-4gb-500gb-14-inch-windows-7-professional-laptop	hp elitebook 840 g3 core i5-6200u 4gb 500gb 14 inch windows 7 professional laptop	integrated				intel	2.3ghz	intel core i5	6200u	500gb	ddr4 sdram	4gb	£154.97	no optical drive	windows 7 pro	3 year warranty	14in	500gb	1920 x 1080	10.5hours
http://www.debenhamsplus.com/laptops/p/1167230/msi-dominator-pro-gt62vr-7re-core-i7-7700hq-16gb-1tb-256gb-ssd-geforce-gtx-1070-15.6-inch-windows	msi dominator pro gt62vr 7re core i7-7700hq 16gb 1tb + 256gb ssd geforce gtx 1070 15.6 inch windows	dedicated	nvidia	geforce gtx 1070	8gb	intel	2.8ghz	intel core i7	i7-7700hq	1tb	ddr4 sdram	16gb	£238.97		windows 10	2 years warranty	15.6in	256gb	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1174792/hp-elitebook-840-g3-core-i5-6200u-8gb-256gb-ssd-14-inch-windows-10-professional-laptop	hp elitebook 840 g3 core i5-6200u 8gb 256gb ssd 14 inch windows 10 professional laptop	integrated				intel	2.3ghz	intel core i5	6200u		ddr4 sdram	8gb	£283.97	no optical drive	windows 10 pro	3 year warranty	14in	256gb	1920 x 1080	13.5hours
http://www.debenhamsplus.com/laptops/p/1185172/toshiba-satellite-pro-r50-c-17c-core-i5-6200u-2.3ghz-4gb-128gb-ssd-dvd-sm-15.6-inch-windows-10-laptop	toshiba satellite pro r50-c-17c core i5-6200u 2.3ghz 4gb 128gb ssd dvd-sm 15.6 inch windows 10 laptop	integrated				intel	2.3ghz	intel core i5	6200u		ddr3l sdram	4gb	£110.97	dvd-rw	windows 10	1 year warranty	15.6in	128gb	1366 x 768	8hours
http://www.debenhamsplus.com/laptops/p/1165019/asus-zenbook-g2-core-i7-7500u-16gb-512gb-ssd-12.5-inch-windows-10-laptop	asus zenbook 3 core i7-7500u 16gb 512gb ssd 12.5 inch windows 10 laptop	integrated				intel	2.7ghz	intel core i7	7500u		lpddr3 sdram	16gb	£424.97	no optical drive	windows 10	1 year warranty	12.5in	512gb	1920 x 1080	9hours
http://www.debenhamsplus.com/laptops/p/1210169/hp-elitebook-820-g3-core-i5-6200u-4gb-500gb-12.5-inch-windows-10-pro-laptop	hp elitebook 820 g3 core i5-6200u 4gb 500gb 12.5 inch windows 10 pro laptop	integrated				intel	2.3ghz	intel core i5	6200u	500gb	ddr4 sdram	4gb	£189.97	no optical drive	windows 10	3 year warranty	12.5in	500gb	1920 x 1080	12.5hours
http://www.debenhamsplus.com/laptops/p/1170416/hp-omen-15-ax207na-core-i5-7300hq-8gb-1tb-256gb-ssd-geforce-gtx-1050-15.6-inch-windows-10-gaming-l	hp omen 15-ax207na core i5-7300hq 8gb 1tb + 256gb ssd geforce gtx 1050 15.6 inch windows 10 gaming l	dedicated	nvidia	geforce gtx 1050	2gb	intel	2.6ghz	intel core i5	7300hq	1tb	ddr4 sdram	8gb	£50.97	none	windows 10	1 year warranty	15.6in	256gb	1920 x 1080	11hours
http://www.debenhamsplus.com/laptops/p/1186265/dell-latitude-5414-rugged-core-i5-6300u-4gb-500gb-14.0-inch-windows-10-professional-laptop	dell latitude 5414 rugged core i5-6300u 4gb 500gb 14.0 inch windows 10 professional laptop	integrated				intel	2.4ghz	intel core i5	6300u	500gb	ddr4 sdram	4gb	£330.97	no optical drive	windows 10 pro	1 year warranty	14in	500gb	1366 x 768	
http://www.debenhamsplus.com/laptops/p/1185177/fujitsu-lifebook-p727-core-i7-7600u-8gb-512gb-ssd-12.5-inch-windows-10-professional-laptop	fujitsu lifebook p727 core i7-7600u 8gb 512gb ssd 12.5 inch windows 10 professional laptop	integrated				intel	2.8ghz	intel core i7	7600u		ddr4 sdram	8gb	£285.97	no optical drive	windows 10 pro	2 year warranty	12.5in	512gb	1920 x 1080	10hours
http://www.debenhamsplus.com/laptops/p/1168617/medion-p6681-core-i5-7200u-8gb-1tb-geforce-gtx-1050-15.6-inch-windows-10-gaming-laptop	medion p6681 core i5-7200u 8gb 1tb geforce gtx 1050 15.6 inch windows 10 gaming laptop		nvidia	geforce gtx 1050	4gb	intel	2.5ghz	intel core i5	7200u	1tb		8gb	£740	dvd-rw	windows 10		15.6in	1tb		
http://www.debenhamsplus.com/laptops/p/1139482/dell-precision-m5510-core-i7-6820hq-8gb-24gb-500gb-sata-15.6-inch-uhd-touch-nvidia-quadro-m1000m-win-7-pro-64-win-10-licencemedia-1yr-pro-nbd	dell precision m5510 core i7-6820hq 8gb 500gb 15.6 inch windows 7 professional laptop	integrated	nvidia			intel	2.7ghz	intel core i7	6820hq	500gb	ddr4 sdram	8gb	£306.97	no optical drive	microsoft windows 7 professional 64-bit edition	1 year warranty	15.6in	500gb	3840 x 2160	
http://www.debenhamsplus.com/laptops/p/1132342/msi-stealth-pro-gs63-6rf-011uk-core-i7-6700hq-16gb-2tb-256gb-ssd-gtx-1060-6gb-15.6-inch-windows-10-gaming-laptop	msi stealth pro gs63 6rf-011uk core i7-6700hq 16gb 2tb + 256gb ssd geforce gtx 1060 15.6 inch window	dedicated	nvidia	geforce gtx 1060	6gb	intel	2.6ghz	intel core i7	6700hq	2tb		16gb	£374.97		windows 10	2 year warranty	15.6in	2tb		
http://www.debenhamsplus.com/laptops/p/1170069/asus-transformer-3-pro-core-i7-6500u-8gb-512gb-ssd-win-10-tconvertible-laptop	asus transformer 3 pro core i7 6500u 8gb 512gb ssd win 10 tconvertible laptop	integrated				intel	2.5ghz	intel core i7	6500u		lpddr3 sdram	8gb	£226.97	no optical drive	windows 10	1 year warranty	12.6in	512gb	2880 x 1920	
http://www.debenhamsplus.com/laptops/p/1196782/acer-swift-sf314-51-31ne-core-i3-7100u-8gb-128gb-ssd-14-inch-windows-10-laptop-in-gold	acer swift sf314-51-31ne core i3-7100u 8gb 128gb ssd 14 inch windows 10 laptop in gold	integrated				intel	2.4ghz	intel core i3	7100u		ddr4 sdram	8gb	£86.97	no optical drive	windows 10	1 year warranty	14in	128gb	1920 x 1080	10hours
http://www.debenhamsplus.com/laptops/p/1152425/asus-pro-advanced-b8430ua-fa0410e-core-i5-6200u-2.3ghz-8gb-256gb-ssd-14-inch-windows-10-professional-laptop	asus pro advanced b8430ua fa0410e core i5-6200u 8gb 256gb ssd 14 inch windows 10 professional laptop	integrated				intel	2.3ghz	intel core i5	6200u		ddr4 sdram	8gb	£174.97	no optical drive	windows 10 pro	3 year warranty	14in	256gb	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1205909/new-apple-macbook-core-m3-1.2ghz-256gb-ssd-12-inch-laptop-rose-gold	new apple macbook core m3 1.2ghz 256gb ssd 12 inch laptop - rose gold	integrated				intel	1.2ghz	core m3			lpddr3 sdram	8gb	£1155	no optical drive	os x 10.12 sierra	1 year warranty	12in	256gb	2304 x 1440	12hours
http://www.debenhamsplus.com/laptops/p/1205913/new-apple-macbook-pro-core-i7-2.8ghz-256gb-ssd-15-inch-laptop-with-touch-bar-space-grey	new apple macbook pro core i7 2.8ghz 256gb ssd 15 inch laptop with touch bar - space grey	integrated				intel	2.8ghz	intel core i7			lpddr3 sdram	16gb	£2105	no optical drive	os x 10.12 sierra	1 year warranty	15.6in	256gb	2880 x 1800	10hours
http://www.debenhamsplus.com/laptops/p/1127118/hp-zbook-15-g3-mobile-workstation-core-i7-6700hq-2.6-ghz-win-7-pro-64-bit-8-gb-ram-500-gb-hdd-no-odd-15.6-1920-x-1080-full-hd-hd-graphics-530-802.11ac-bluet	hp zbook 15 g3 core i7-6700hq 8gb 500gb 15.6 inch windows 7 professional laptop	integrated				intel	2.6ghz	intel core i7	6700hq	500gb	ddr4 sdram	8gb	£459.97	no optical drive	windows 7 pro	3 year warranty	15.6in	500gb	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1173556/lenovo-ideapad-700-core-i7-6700hq-8gb-1tb-128gb-ssd-geforce-gtx-960m-4gb-dvdrw-15.6-inch-fhd-windows-10-gaming-laptop	lenovo ideapad 700 core i7-6700hq 8gb 1tb + 128gb ssd geforce gtx 960m 4gb dvdrw 15.6 inch fhd windows 10 gaming laptop	dedicated	nvidia	geforce gtx 960m	4gb	intel	2.6ghz	intel core i7	i7-6700hq	1tb	ddr4 sdram	8gb	£270.97	dvd-rw	windows 10 home	1 year warranty	15.6in	1tb	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1181479/acer-swift-3-sf314-51-core-i5-7200u-8gb-256gb-ssd-14-inch-windows-10-laptop	acer swift 3 sf314-51 core i5-7200u 8gb 256gb ssd 14 inch windows 10 laptop	integrated				intel	2.5ghz	intel core i5	7200u		ddr4 sdram	8gb	£108.97	no optical drive	windows 10	1 year warranty	14in	256gb	1920 x 1080	10hours
http://www.debenhamsplus.com/laptops/p/1110260/new-apple-macbook-intel-core-m3-1.1ghz-56gb-1-inch-os-x-10.10-yosemite-laptop-gold	apple macbook intel core m3 1.1ghz 8gb 256gb 12 inch os x 10.12 sierra laptop - gold 2016	integrated				intel	1.1ghz	core m3			lpddr3 sdram	8gb	£1055	no optical drive	os x 10.12 sierra	1 year warranty	12in	256gb	2304 x 1440	11hours
http://www.debenhamsplus.com/laptops/p/1134694/microsoft-surface-book-core-i7-6600u-2.6ghz-16gb-1tb-ssd-nvidia-geforce-940m-13.5-inch-windows-10-professional-convertible-laptop	microsoft surface book core i7-6600u 16gb 1tb ssd geforce 940m 13.5 inch windows 10 professional con	integrated			1gb	intel	2.6ghz	intel core i7	6600u	1tb	lpddr3 sdram	16gb	£411.97	no optical drive	windows 10 pro	1 year warranty	13.5in	1tb	3000 x 2000	12hours
http://www.debenhamsplus.com/laptops/p/1134027/asus-g752vs-core-i7-6820hk-32gb-1tb-512gb-ssd-geforce-gtx-1070-dvd-rw-17.3-inch-windows-10-gamin	asus g752vs core i7-6820hk 32gb 1tb + 512gb ssd geforce gtx 1070 dvd-rw 17.3 inch windows 10 gamin	dedicated	nvidia	geforce gtx 1070	8gb	intel	2.7ghz	intel core i7	6820hk	1tb	ddr4 sdram	32gb	£614.97	dvd-rw	windows 10	2 year warranty	17.3in	512gb	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1188431/dell-latitude-5480-core-i5-7200-4gb-500gb-14-inch-windows-10-professional-laptop	dell latitude 5480 core i5-7200 4gb 500gb 14 inch windows 10 professional laptop	integrated				intel	2.5ghz	intel core i5	7200	500gb	ddr4 sdram	4gb	£150.97	no optical drive	windows 10 pro	1 year warranty	14in	500gb	1366 x 768	
http://www.debenhamsplus.com/laptops/p/1209914/hp-zbook-15u-g3-core-i7-6500u-16gb-512gb-ssd-15.6-inch-windows-7-pro-workstation-laptop	hp zbook 15u g3 core i7-6500u 16gb 512gb ssd 15.6 inch windows 7 pro workstation laptop	integrated			2gb	intel	2.5ghz	intel core i7	6500u		ddr4 sdram	16gb	£195.99	no optical drive	windows 7	3 year warranty	15.6in	512gb	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1186674/acer-chromebook-c731t-intel-celeron-n3060-4gb-32gb-11.6-inch-touchscreen-chrome-os-laptop	acer chromebook c731t intel celeron n3060 4gb 32gb 11.6 inch touchscreen chrome os laptop	integrated				intel	1.6ghz	intel celeron	n3060	32gb		4gb	£74.97	no optical drive	chrome os	1 year warranty	11.6in	32gb		
http://www.debenhamsplus.com/laptops/p/1117374/dell-latitude-7370-intel-core-m7-6y75-8gb-56gb-ssd-13.3-inch-windows-10-professional-touchscreen-laptop	dell latitude 7370 core m7-6y75 8gb 256gb ssd 13.3 inch windows 10 professional touchscreen laptop	integrated				intel	1.2ghz	core m7	6y75		lpddr3 sdram	8gb	£314.97	no optical drive	windows 7 pro	3 year warranty	13.3in	256gb	3200 x 1800	
http://www.debenhamsplus.com/laptops/p/1205107/lenovo-ideapad-305-15-intel-core-i3-5005u-2ghz-4gb-1tb-15.6-inch-windows-10-laptop-blue	lenovo ideapad 305-15 intel core i3-5005u 2ghz 4gb 1tb 15.6 inch windows 10 laptop - blue	integrated				intel	2ghz	intel core i3	5005u	1tb	ddr3l sdram	4gb	£49.97	dvd-rw	windows 10	1 year warranty	15.6in	1tb	1366 x 768	
http://www.debenhamsplus.com/laptops/p/1199074/fujitsu-lifebook-a555-core-i3-5005u-4gb-500gb-dvd-rw-15.6-inch-windows-10-laptop	fujitsu lifebook a555 core i3-5005u 4gb 500gb dvd-rw 15.6 inch windows 10 laptop	integrated				intel	2ghz	intel core i3	5005u	500gb	ddr3l sdram	4gb	£84.97	dvd-rw	windows 10	3 year warranty	15.6in	500gb	1366 x 768	11hour(s)
http://www.debenhamsplus.com/laptops/p/1066042/dell-precision-m7710-17.3-intel-xeon-e3-1535m-16gb-56gb-ssd-windows-7-professional-64-bit-	dell precision m7710 intel xeon e3-1535m 16gb 1tb+256gb ssd 17.3 inch windows 7 professional worksta	dedicated	nvidia		4gb	intel	2.9ghz	xeon	1535mv5	1tb	ddr4 sdram	16gb	£607.97	no optical drive	windows 7 pro	3 year warranty	17.3in	256gb	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1160639/hp-elitebook-840-g3-core-i5-6200u-2.3ghz-4gb-500gb-14-inch-windows-10-professional-laptop	hp elitebook 840 g3 core i5-6200u 4gb 500gb 14 inch windows 10 professional laptop	integrated				intel	2.3ghz	intel core i5	6200u	500gb	ddr4 sdram	4gb	£1201	no optical drive	windows 10 pro	3 year warranty	14in	500gb	1920 x 1080	13.5hours
http://www.debenhamsplus.com/laptops/p/1212145/asus-zenbook-core-i7-7500u-16gb-512gb-ssd-14-inch-windows-10-laptop	asus zenbook core i7-7500u 16gb 512gb ssd 14 inch windows 10 laptop	integrated				intel	2.7ghz	intel core i7	7500u			16gb	£245.97	no optical drive	windows 10	1 year warranty	14in	512gb		
http://www.debenhamsplus.com/laptops/p/1165058/stormforce-fusion-core-i5-6300hq-8gb-1tb-geforce-gtx960-dvd-rw-15.6-inch-windows-10-gaming-laptop	stormforce fusion core i5-6300hq 8gb 1tb geforce gtx 960 dvd-rw 15.6 inch windows 10 gaming laptop	dedicated	nvidia	geforce gtx 960	2gb	intel	2.3	intel core i5	6300hq	1		8gb	£204.98	dvd-rw	windows 10	1 year warranty	15.6in	1		
http://www.debenhamsplus.com/laptops/p/1188008/lenovo-thinkpad-e570-core-i3-6006u-4gb-500gb-dvd-rw-15.6-inch-windows-10-pro-laptop	lenovo thinkpad e570 core i3-6006u 4gb 500gb dvd-rw 15.6 inch windows 10 pro laptop	integrated				intel	2ghz	intel core i3	6006u	500gb	ddr4 sdram	4gb	£110.99	dvd-rw	windows 10	1 year warranty	15.6in	500gb	1366 x 768	7hours
http://www.debenhamsplus.com/laptops/p/1167316/msi-pe70-7rd-221uk-core-i7-7700hq-8gb-1tb-128gb-ssd-geforce-gtx-1050-dvd-rw-17.3-inch-windows-10-g	msi pe70 7rd-221uk core i7-7700hq 8gb 1tb + 128gb ssd geforce gtx 1050 dvd-rw 17.3 inch windows 10 g	dedicated	nvidia	geforce gtx 1050	2gb	intel	2.8ghz	intel core i7	7700hq	1tb		8gb	£204.97	dvd-rw	windows 10	1 year warranty	17.3in	1tb		
http://www.debenhamsplus.com/laptops/p/1170422/hp-17-y022na-amd-a10-9600p-8gb-2tb-dvd-rw-17.3-inch-windows-10-laptop	hp 17-y022na amd a10-9600p 8gb 2tb dvd-rw 17.3 inch windows 10 laptop	integrated	amd			amd	2.3ghz	amd a10	9600p	2tb		8gb	£101.97	dvd-rw	windows 10	1 year warranty	17.3in	2tb		
http://www.debenhamsplus.com/laptops/p/1199082/lenovo-ideapad-710-core-i5-7200u-8gb-256gb-ssd-13.3-inch-windows-10-laptop	lenovo ideapad 710 core i5-7200u 8gb 256gb ssd 13.3 inch windows 10 laptop	integrated				intel	2.5ghz	intel core i5	7200u			8gb	£141.97	no optical drive	windows 10	1 year warranty	13.3in	256gb		
http://www.debenhamsplus.com/laptops/p/1213701/acer-cloudprofessor-iot-starter-kit	acer cloudprofessor iot starter kit	integrated				intel							£19.97	no optical drive		1 year warranty				
http://www.debenhamsplus.com/laptops/p/1175671/acer-aspire-es-15-es1-572-core-i3-6006u-4gb-1tb-15.6-inch-windows-10-laptop	acer aspire es 15 es1-572 core i3-6006u 4gb 1tb 15.6 inch windows 10 laptop	integrated				intel	2ghz	intel core i3	6006u	1tb	ddr4 sdram	4gb	£59.97	no optical drive	windows 10	1 year warranty	15.6in	1tb	1366 x 768	6.5hours
http://www.debenhamsplus.com/laptops/p/1153064/new-apple-macbook-pro-core-i5-2.9ghz-8gb-256gb-ssd-13-inch-os-x-10.12-sierra-with-touch-bar-laptop-silver	new apple macbook pro core i5 8gb 256gb ssd 13 inch os x 10.12 sierra with touch bar laptop - silver	integrated				intel	2.9ghz	intel core i5			lpddr3 sdram	8gb	£1455	no optical drive	os x 10.12 sierra	1 year warranty	13in	256gb	2560 x 1600	10hours
http://www.debenhamsplus.com/laptops/p/1165912/hewlett-packard-hp-probook-450-g4-core-i5-7200u-2.5-ghz-win-10-pro-64-bit-4-gb-ram-500-gb-hdd-dvd-supermulti-15.6-1366-x-768-hd-hd-graphics-620	hp probook 450 g4 core i5-7200u 4gb 500gb dvd-rw 15.6 inch windows 10 professional laptop	integrated				intel	2.5ghz	intel core i5	7200u	500gb	ddr4 sdram	4gb	£99.97	dvd-rw	windows 10 pro	1 year warranty	15.6in	500gb	1366 x 768	12hours
http://www.debenhamsplus.com/laptops/p/1205917/new-apple-macbook-pro-core-i5-2.3ghz-8gb-128gb-13-inch-laptop-space-grey	new apple macbook pro core i5 2.3ghz 8gb 128gb 13 inch laptop - space grey	integrated				intel	2.3ghz	intel core i5			lpddr3 sdram	8gb	£1155	no optical drive	os x 10.12 sierra	1 year warranty	13.3in	128gb	2560 x 1600	10hours
http://www.debenhamsplus.com/laptops/p/1150826/zoostorm-7260-9063-intel-celeron-1037u-4gb-64gb-dvd-rw-14-inch-windows-10-touchscreen-laptop	zoostorm 7260-9063 intel celeron 1037u 4gb 64gb dvd-rw 14 inch windows 10 touchscreen laptop	integrated				intel		intel celeron	1037u	64gb		4gb	£34.98	dvd-rw	windows 10	1 year warranty	14in	64gb		
http://www.debenhamsplus.com/laptops/p/1161299/asus-zenbook-ux301ua-intel-core-i3-6100u-4gb-128gb-ssd-13.3-inch-fhd-windows-10-64bit-ultrabook	asus zenbook ux310ua core i3-6100u 4gb 128gb ssd 13.3 inch windows 10 laptop	integrated				intel	2.3ghz	intel core i3	6100u		ddr4 sdram	4gb	£97.97	no optical drive	windows 10	1 year warranty	13.3in	128gb	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1166705/acer-switch-10-v-sw5-intel-atom-x5-z8300-2gb-64gb-10.1-inch-windows-10-professional-tablet	acer switch 10 v sw5 intel atom x5-z8300 2gb 64gb 10.1 inch windows 10 professional tablet					intel	1.44ghz	atom x5	z8300		lpddr3 sdram	2gb	£395	none	windows 10 pro		10.1inch		1280 x 800	10hours
http://www.debenhamsplus.com/laptops/p/1185187/msi-gs60-6qe-core-i7-6700hq-16gb-1tb-256gb-ssd-geforce-gtx-970m-15.6-inch-windows-10-gaming-laptop	msi gs60 6qe core i7-6700hq 16gb 1tb 256gb ssd geforce gtx 970m 15.6 inch windows 10 gaming laptop	dedicated	nvidia	geforce gtx 970m	3gb	intel	2.6	intel core i7	6700hq	1		16gb	£144.97		windows 10	2 year warranty	15.6in	256gb		
http://www.debenhamsplus.com/laptops/p/1166211/toshiba-z40-c-106-core-i5-6200u-8gb-256gb-ssd-14-inch-windows-10-professional-laptop	toshiba z40-c-106 core i5-6200u 8gb 256gb ssd 14 inch windows 10 professional laptop	integrated				intel	2.3ghz	intel core i5	6200u		ddr3l sdram	8gb	£104.97	no optical drive	windows 10 pro	1 year warranty	14in	256gb	1920 x 1080	8.5hours
http://www.debenhamsplus.com/laptops/p/1160506/linx-10v64-10-inch-4gb-64gb-windows-10-tablet-with-keyboard	"linx 10v64 4gb ram 64gb hdd 10.1"" windows 10 tablet with keyboard"					intel		intel atom		64gb		4gb	£14.97		windows 10		10.1inch			
http://www.debenhamsplus.com/laptops/p/1110261/new-apple-macbook-intel-core-m3-1.1ghz-8gb-56gb-1-inch-os-x-10.10-yosemite-laptop-rose-gold-	apple macbook intel core m3 1.1ghz 8gb 256gb 12 inch os x 10.12 sierra laptop - rose gold 2015	integrated				intel	1.1ghz	core m3			lpddr3 sdram	8gb	£1155	no optical drive	os x 10.12 sierra	1 year warranty	12in	256gb	2304 x 1440	11hours
http://www.debenhamsplus.com/laptops/p/1186494/dell-vostro-3568-core-i3-6006u-4gb-500gb-dvd-rw-15.6-inch-windows-10-home-laptop	dell vostro 3568 core i3-6006u 4gb 500gb dvd-rw 15.6 inch windows 10 home laptop	integrated				intel	2ghz	intel core i3	6006u	500gb	ddr4 sdram	4gb	£74.97	dvd-rw	windows 10	1 year warranty	15.6in	500gb	1366 x 768	
http://www.debenhamsplus.com/laptops/p/1169534/acer-switch-one-sw1-011-intel-atom-x5-z8350-2gb-64gb-10.1-inch-windows-10-tablet	acer switch one sw1-011 intel atom x5-z8350 2gb 64gb 10.1 inch windows 10 tablet					intel	1.44ghz	atom x5	z8300	64gb	ddr3l sdram	2gb	£22.97	none	windows 10		10.1inch		1280 x 800	10hours
http://www.debenhamsplus.com/laptops/p/1195572/lenovo-thinkpad-13-20j1-core-i3-7100u-4gb-180gb-ssd-13.3-inch-windows-10-professional-laptop	lenovo thinkpad 13 20j1 core i3-7100u 4gb 180gb ssd 13.3 inch windows 10 professional laptop	integrated				intel	2.4ghz	intel core i3	7100u		ddr4 sdram	4gb	£189.98	no optical drive	windows 10 pro	1 year warranty	13.3in	180gb	1920 x 1080	14.56hours
http://www.debenhamsplus.com/laptops/p/1166215/toshiba-z50-c-138-core-i5-6200u-8gb-256gb-ssd-15.6-inch-windows-10-professional-laptop	toshiba z50-c-138 core i5-6200u 8gb 256gb ssd 15.6 inch windows 10 professional laptop	integrated				intel	2.3ghz	intel core i5	6200u		ddr3l sdram	8gb	£1162	no optical drive	windows 10 pro	1 year warranty	15.6in	256gb	1920 x 1080	8hours
http://www.debenhamsplus.com/laptops/p/1187171/dell-latitude-7480-core-i7-7600u-8gb-256gb-ssd-14-inch-windows-10-professional-laptop	dell latitude 7480 core i7-7600u 8gb 256gb ssd 14 inch windows 10 professional laptop	integrated				intel	2.8ghz	intel core i7	7600u		ddr4 sdram	8gb	£320.97	no optical drive	windows 10 pro	1 year warranty	14in	256gb	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1110257/new-apple-macbook-air-intel-core-i5-8gb-56gb-ssd13.3-inch-intel-iris-hd6000-laptop	apple macbook air intel core i5 8gb 256gb ssd 13.3 inch os x 10.12 sierra laptop - silver 2015	integrated				intel	1.6ghz	intel core i5			lpddr3 sdram	8gb	£955	no optical drive	os x 10.12 sierra	1 year warranty	13.3in	256gb	1440 x 900	12hours
http://www.debenhamsplus.com/laptops/p/1212823/msi-gp62mbvr-7rfx-core-i5-7300hq-8gb-1tb-256gb-ssd-nvidia-geforce-gtx-1060-3gb-15.6-inch-windows-10-gaming-laptop	msi gp62mvr 7rfx core i5-7300hq 8gb 1tb + 256gb ssd geforce gtx 1060 3gb 15.6 inch windows 10 gaming laptop	dedicated	nvidia	geforce gtx 1050	3gb	intel	2.5ghz	intel core i5	7300hq	1tb		8gb	£171.97	no optical drive	windows 10	1 year warranty	15.6in	256gb		
http://www.debenhamsplus.com/laptops/p/1168771/hp-probook-430-g4-core-i7-7500u-8gb-256gb-ssd-13.3-inch-windows-10-professional-laptop	hp probook 430 g4 core i7-7500u 8gb 256gb ssd 13.3 inch windows 10 professional laptop	integrated				intel	2.7ghz	intel core i7	7500u		ddr4 sdram	8gb	£82.97	no optical drive	windows 10 pro	1 year warranty	13.3in	256gb	1920 x 1080	16hours
http://www.debenhamsplus.com/laptops/p/1130358/hp-zbook-17-g3-mobile-workstation-core-i7-6700hq-2.6-ghz-win-7-pro-64-bit-8-gb-ram-1-tb-hdd-17.3-ips-1920-x-1080-full-hd-firepro-w6150m-hd-graphics-530-802.1	hp zbook 17 g3 core i7-6700hq 8gb 1tb 17.3 inch windows 7 professional laptop	integrated				intel	2.6ghz	intel core i7	6700hq	1tb	ddr4 sdram	8gb	£151.97	no optical drive	windows 7 pro	3 year warranty	17.3in	1tb	1920 x 1080	
