Resource URI	root.title	Graphics.GraphicType	Graphics.GraphicsManufacturer	Graphics.Graphicscard	Graphics.GraphicsMemory	KeySpecification.Processormanufacturer	Processor.ClockSpeed	Processor.ProcessorModel	Processor.ProcessorNumber	Storage.Harddrivecapacity	Memory.Memorytype	Memory.RAMMemory	root.price	Media.OpticalDrive	Operatingsystem.OperatingSystem	Warranty.ManufacturerWarranty	KeySpecification.Screensize	KeySpecification.Storage	DisplayandKeyboard.ScreenResolution	Battery.BatteryRunTime
http://www.debenhamsplus.com/laptops/p/1187571/hp-elitebook-x360-1030-g2-core-i7-7600u-16gb-256gb-ssd-13.3-inch-windows-10-professional-convertible	hp elitebook x360 1030 g2 core i7-7600u 16gb 256gb ssd 13.3 inch windows 10 professional convertible	integrated				intel	2.8ghz	intel core i7	7600u		ddr4 sdram	16gb	£472.97	no optical drive	windows 10 pro	3 year warranty	13.3in	256gb	1920 x 1080	16.5hours
http://www.debenhamsplus.com/laptops/p/1179993/hp-650-g3-core-i3-7100u-4gb-500gb-dvd-rw-15.6-inch-windows-10-professional-laptop	hp 650 g3 core i3-7100u 4gb 500gb dvd-rw 15.6 inch windows 10 professional laptop	integrated				intel	2.4ghz	intel core i3	7100u	500gb	ddr4 sdram	4gb	£64.97	dvd-rw	windows 10 pro	1 year warranty	15.6in	500gb	1366 x 768	
http://www.debenhamsplus.com/laptops/p/1205923/new-apple-macbook-pro-core-i5-3.1ghz-256gb-ssd-13-inch-laptop-with-touch-bar-silver	new apple macbook pro core i5 3.1ghz 256gb ssd 13 inch laptop with touch bar - silver	integrated				intel	3.1ghz	intel core i5			lpddr3 sdram	8gb	£1605	no optical drive	os x 10.12 sierra	1 year warranty	13.3in	256gb	2560 x 1600	10hours
http://www.debenhamsplus.com/laptops/p/1212140/acer-ex2530-core-i5-7200u-4gb-500gb-15.6-inch-windows-10-laptop	acer ex2530 core i5-7200u 4gb 500gb 15.6 inch windows 10 laptop	integrated				intel		intel core i5	7200u			4gb	£56.97	no optical drive	windows 10	1 year warranty	15.6in			
http://www.debenhamsplus.com/laptops/p/1167214/msi-titan-gt73vr-core-i7-7820hk-32gb-1tb-512gb-ssd-geforce-gtx-1070-17.3-inch-windows-10-gaming-lapt	msi titan gt73vr core i7-7820hk 32gb 1tb 512gb ssd geforce gtx 1070 17.3 inch windows 10 gaming lapt	dedicated	nvidia	geforce gtx 1070	8gb	intel	2.9	intel core i7	7820hk	1		32gb	£434.97		windows 10	2 year warranty	17.3in	512		
http://www.debenhamsplus.com/laptops/p/1170403/hp-omen-17-w201na-core-i7-7700hq-16gb-1tb-256gb-ssd-geforce-gtx-1060-17.3-inch-windows-10-gaming-l	hp omen 17-w201na core i7-7700hq 16gb 1tb + 256gb ssd geforce gtx 1060 17.3 inch windows 10 gaming l	dedicated	nvidia	geforce gtx 1060	6gb	intel	2.8ghz	intel core i7	7700hq	1tb	ddr4 sdram	16gb	£224.97	none	windows 10	1 year warranty	17.3in	256gb	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1171148/lenovo-v110-core-i3-6006u-4gb-500gb-dvd-rw-15.6-inch-windows-10-laptop	lenovo v110 core i3-6006u 4gb 500gb dvd-rw 15.6 inch windows 10 laptop	integrated				intel	2ghz	intel core i3	6006u	500gb	ddr4 sdram	4gb	£55.97	dvd-rw	windows 10	1 year warranty	15.6in	500gb	1366 x 768	5.5hours
http://www.debenhamsplus.com/laptops/p/1179997/acer-predator-g9-593-core-i7-6700u-16gb-1tb128gb-ssd-geforce-gtx-1070-dvd-rw-15.6-inch-windows-10-g	acer predator g9-593 core i7-6700u 16gb 1tb+128gb ssd geforce gtx 1070 dvd-rw 15.6 inch windows 10 g	dedicated	nvidia	geforce gtx 1070	8gb	intel	2.6	intel core i7	i7-6700hq	1	ddr4 sdram	16gb	£370.97	dvdrw (r dl) / dvd-ram	windows 10	1 year warranty	15.6in	128	1920 x 1080	3hours
http://www.debenhamsplus.com/laptops/p/1168518/toshiba-portege-z30-c-16h-core-i5-6200u-4gb-128gb-ssd-13.3-inch-windows-10-professional-laptop	toshiba portege z30-c-16h core i5-6200u 4gb 128gb ssd 13.3 inch windows 10 professional laptop	integrated				intel	2.3ghz	intel core i5	6200u		ddr3l sdram	4gb	£202.97	no optical drive	windows 10 pro	1 year warranty	13.3in	128gb	1920 x 1080	14hours
http://www.debenhamsplus.com/laptops/p/1181176/linx-10v32-intel-atom-x5-z8300-2gb-ram-32gb-hdd-10.1-windows-10-convertible-tablet-with-keyboard	"linx 10v32 intel atom x5-z8300 2gb ram 32gb hdd 10.1"" windows 10 convertible tablet with keyboard"					intel		atom x5	z8300	32gb		2gb	£28.97		windows 10		10.1inch			
