Resource URI|root.title|root.price|PackageContents.PackageContents|BatteryInformation.RemoteControllerBattery|MediaSupported.DecoderFormat|MediaSupported.Videoformat|MediaSupported.Audioformat|MediaSupported.Support5.1SurroundSoundOutput|General.Type|General.RAM|General.GPU|General.Brand|General.Model|General.Processor|General.CPU|General.Core|General.Color|General.RAMType|General.ROM|Custom.SSD|PowerRequirement.PowerInputVol|PowerRequirement.PowerAdapterOutput|PowerRequirement.PowerAdapterInput|PowerRequirement.PowerType|DimensionandWeight.Productweight|DimensionandWeight.Productsize(LxWxH)|ProductDetails.Antenna|ProductDetails.5GWiFi|ProductDetails.PowerComsumption|ProductDetails.PowerSupply|ProductDetails.Interface|ProductDetails.HDMIVersion|ProductDetails.Bluetooth|ProductDetails.RJ45PortSpeed|FirmwareInformation.WiFiChip|FirmwareInformation.SystemBit|General.MaximumExternalHardDrivesCapacity|General.System|ProductDetails.WIFI|ProductDetails.HDMIFunction
http://www.gearbest.com/tv-box-mini-pc/pp_638080.html|beelink mini mxiii ii tv box amlogic s905x quad core|$39.99|1 x beelink mini mxiii iitv box, 1 x remote control, 1 x hdmi cable, 1 x power adapter, 1 x english manual |2 x aaa battery ( not included ) |h.264/avc,h.265,realvideo8/9/10 |1080p,4k,avi,avs,dat,h.265,iso,mjpeg,mkv,mp4,mpeg,mpeg-1,mpeg-4,rm,vc-1,vp9 profile-2,wmv |aac,flac,mp3,ogg,rm,wma |no |tv box |1g ram |mali-450 |beelink |mini mxiii ii |s905x |amlogic s905x |2.0ghz |black |ddr3 |8g rom |||||external power adapter mode |0.1780 kg |9.60 x 9.60 x 1.60 cm / 3.78 x 3.78 x 0.63 inches ||||charge adapter |dc power port,hdmi,micro sd card slot,rj45,spdif,usb2.0 |2|bluetooth4.0 |||64bit ||android 6.0 |802.11 a/b/g/n |
http://www.gearbest.com/tv-box-mini-pc/pp_617662.html|z28 tv box|$37.99|1 x tv box, 1 x power charger, 1 x remote control, 1 x hdmi cable ||h.264,h.265 |asf,avi,dat,flv,iso,mkv,mov,mpeg,rm,rmvb,ts,wmv |aac,ac3,ape,ddp,dts,flac,hd,mp3,ogg,truehd,wav,wma |yes |tv box |2g ram |mali-450mp2 ||z28 |rk3328 |cortex a53 |quad core |black |ddr3 |16g rom |||||external power adapter mode |0.2500 kg |11.00 x 11.00 x 2.50 cm / 4.33 x 4.33 x 0.98 inches |no |no |3 - 7w |charge adapter ||2|unsupport |10 / 100m |8188etv |64bit |64gb |android ||
http://www.gearbest.com/tv-box-mini-pc/pp_614303.html|minix neo u1 live tv box + minix neo a3 air mouse|$144.56|1 x minix neo u1 tv box, 1 x otg cable, 1 x power adapter, 1 x micro usb cable, 1 x hdmi cable, 1 x antenna, 1 x usb receiver, 1 x minix neo a3 air mouse, 1 x remote controller, 2 x english user manual, 1 x bilingual manual in english and chinese |2 x aaa ( not included ) |h.263,h.264,h.265,hd mpeg4 |avi,dat,divx,flv,h.264,h.265,hdmov,mkv,mov,mpeg,mpeg1,mpeg2,mpg,pmp,rm,rmvb,tp,vob,wmv |ac3,flac ||tv box |2g |mali-450 |minix |neo u1 ||cortex a53 |quad core |black |ddr3 |16g ||5v |5v 3a ||external power adapter mode |0.7600 kg |12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches ||||charge adapter |kensington lock,otg,tf card,usb2.0 |||||64bit |64gb |android 5.1.1 ||
http://www.gearbest.com/tv-box-mini-pc/pp_616046.html|scishion v88 mini ii tv box|$29.99|1 x tv box, 1 x power charger adapter, 1 x hdmi cable, 1 x ir remote control, 1 x english user manual ||h.264,h.265 |avi,dat,h.264,h.265,iso,mkv,mov,mp4,mpeg,mpg,rm,vc-1,wmv |aac,flac,mp3,oga,rm,wma |no |tv box |2g ram |mali-400 |scishion |v88 mini ii |rk3229 |rk3229 |quad core ||ddr3 |8g rom |||5v 2a ||external power adapter mode |0.0980 kg |11.50 x 10.50 x 2.00 cm / 4.53 x 4.13 x 0.79 inches |yes |no |5v 2a |charge adapter |av,dc power port,hdmi,spdif,tf card,usb2.0 |1.4|bluetooth4.0 |100m |8723cs |32bit |32gb |android 6.0 ||cec 
http://www.gearbest.com/tv-box-mini-pc/pp_661157.html|csa96 android 6.0 tv box|$140.02|1 x csa96 android 6.0 tv box, 1 x hdmi cable, 1 x english user manual, 1 x remote control, 1 x power adapter ||h.263,h.264,h.265,hd mpeg4 |4k,4k x 2k,avi,avs,dat,iso,mkv,mov,mp4,mpeg-4,mpg,rm,rmvb,ts,vp9,wmv |aac,aac+,ape,dts,flac,m4a,mka,mp3,mpeg,oga,ogg,rm,wav |||4g |||csa96 ||arm cortex-a53,arm cortex-a72 |2.0ghz |||32g |||||external power adapter mode |0.1500 kg |10.70 x 10.70 x 2.00 cm / 4.21 x 4.21 x 0.79 inches |||10w |charge adapter |dc 5v,hdmi,lan,optical,tf card,type-c,usb2.0,usb3.0 |2||1000m ||64bit ||android 6.0 ||cec 
http://www.gearbest.com/tv-box-mini-pc/pp_649683.html|zidoo x7 rk3328 smart tv box|$69.0|1 x tv box, 1 x remote control, 1 x hdmi cable, 1 x power adapter, 1 x user manual ||h.263,h.264,h.265,hd mpeg4 |4k x 2k,h.264,h.265 |aac,ac3,ape,ddp,dts,flac,hd,mp3,ogg,truehd,wav,wma |yes |tv box |2g ram |mali-450mp2 |zidoo ||rk3328 |arm cortex-a53 |2.0ghz,quad core ||ddr3 |8g rom |||||external power adapter mode |0.2000 kg |10.90 x 10.90 x 2.00 cm / 4.29 x 4.29 x 0.79 inches |no ||5v 2a |charge adapter ||2|bluetooth 4.1 |100m |ap6255 |64bit |64gb |android 7.1 ||hdcp 
http://www.gearbest.com/tv-box-mini-pc/pp_612098.html|mecool km8 p hd android tv box|$66.21|1 x km8 p tv box, 1 x hdmi cable, 1 x user manual, 1 x power adapter, 1 x ir remote control |2 x aaa battery (not included) |h.263,h.264,h.265,hd mpeg4 |asf,avi,dat,flv,iso,mpeg,mpg,rm,rmvb,ts,vob,wmv |aac,ape,ddp,flac,hd,mp3,ogg,truehd,wav,wma |yes |tv box |2g ram |arm mali-t820mp3 |mecool |km8 p |amlogic s912 |cortex a53 |octa core ||ddr3 |16g rom |||||external power adapter mode |0.0900 kg |9.70 x 9.70 x 1.70 cm / 3.82 x 3.82 x 0.67 inches |no |no |8w |charge adapter |av,dc power port,hdmi,rj45,tf card,usb2.0 |2||100m ||64bit |128gb |android 7.1 |802.11b/g/n |cec 
http://www.gearbest.com/tv-box-mini-pc/pp_630433.html|sunvell t95d tv box|$23.99|1 x sunvell t95d tv box, 1 x power adapter, 1 x hdmi cable, 1 x remote control, 1 x english user manual ||h.265 |4k,asf,avi,dat,flv,iso,mkv,mpeg,mpg,rm,rmvb,ts,vob,wmv |aac,ac3,ape,ddp,dts,flac,hd,mp3,ogg,wav,wma ||tv box |1g ram |mali-400 |sunvell |t95d ||rk3229 |quad core |black |ddr3 |8g rom |||||external power adapter mode |0.1500 kg |10.20 x 10.20 x 2.30 cm / 4.02 x 4.02 x 0.91 inches |||5w |charge adapter |tf card,usb2.0 |||100m ||64bit |32gb |android 6.0 ||
http://www.gearbest.com/tv-box-mini-pc/pp_615651.html|voyo v1 mini pc intel celeron n3450|$189.99|1 x voyo v1 mini pc, 1 x hdmi cable, 1 x power adapter, 1 x english manual |2 x aaa battery |h.263,h.264 |avs,h.263,h.264,mpeg,mpeg-1,mpeg2,mvc,rmvb,vc-1,wmv |ac-3,ape,dts,flac,mp3,ogg,wav,wma |yes |mini pc |4g |intel hd graphic |voyo |v1 ||intel celeron n3450 |quad core |blue,golden,rose gold |ddr3l |128g |||||external power adapter mode |0.4000 kg |12.00 x 12.00 x 2.70 cm / 4.72 x 4.72 x 1.06 inches ||yes |12w |charge adapter |3.5mm audio,dc power port,mini hdmi female,rj45,tf card,usb3.0 |1.4|unsupport |1000m |out-cell |64bit |2tb |windows 10.1 ||cec,hdcp,hec 
http://www.gearbest.com/tv-box-mini-pc/pp_606552.html|voyo v1 vmac mini pc|$149.99|1 x voyo v1 vmac mini pc, 1 x hdmi cable, 1 x power adapter, 1 x english manual |2 x aaa battery ( not included ) |h.263,h.264 |h.263,h.264,mpeg,mpeg-1,mpeg2,mvc,rmvb,vc-1,wmv |ac-3,ape,dts,flac,mp3,ogg,wav,wma |yes |mini pc |4g ram |intel hd graphic |voyo |v1 vmac |apollo lake n3450 |apollo lake n3450 |quad core ||ddr3l |64g rom |||||external power adapter mode |0.4000 kg |12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches ||no |12w |charge adapter |3.5mm audio,dc power port,mini hdmi female,rj45,tf card,usb3.0 |1.4|unsupport |1000m |out-cell |64bit ||windows 10 ||
http://www.gearbest.com/tv-box-mini-pc/pp_584238.html|original xiaomi mi 3s tv box amlogic s905x quad core|$54.99|1 x original xiaomi mi 3s tv box, 1 x mitouch ir touch remote control, 1 x hdmi cable, 1 x power adapter, 1 x chinese manual |2 x aaa battery ( not included ) |h.263,h.264,h.265 |4k |ape,rm |no |tv box |2g ram |mali-450 |xiaomi |3s ||amlogic s905x |2.0ghz,quad core |black |ddr3 |8g rom ||||100-240v / 50-60hz |external power adapter mode |0.1760 kg |10.10 x 10.10 x 1.95 cm / 3.98 x 3.98 x 0.77 inches ||yes |5.2v / 2.1a |charge adapter |av,dc power port,hdmi,usb2.0 |2|bluetooth 4.1 + edr |no |no |64bit |no |android 6.0 |802.11 a/b/g/n/ac |cec 
