root.title|root.price|TechnicalSpecifications.RearCameraQuality|TechnicalSpecifications.FrontFacingCameraQuality|TechnicalSpecifications.SIMcardtype|TechnicalSpecifications.ProcessorType|TechnicalSpecifications.ProcessorSpeed|TechnicalSpecifications.RAM|TechnicalSpecifications.OnboardStorage|TechnicalSpecifications.ScreenResolution|TechnicalSpecifications.Screensize|TechnicalSpecifications.OperatingSystem|TechnicalSpecifications.NetworkSpeeds
"liberto 825 - black/steel 5"" 8gb 4g unlocked & sim free"|£19.97|8 megapixel||micro sim|quad core|1.1ghz|512mb|8gb|1280 x 720 pixels|5 inches|android 5.1 lollipop|4g
"motorola moto g4 play black 5"" 16gb 4g unlocked & sim free"|£14.99|8 megapixel|5 megapixel|micro sim|quad core|everyday|1gb|16gb|720p|5 inches|android 6.0 marshmellow|4g
"samsung galaxy a5 2016 black 5.2"" 16gb 4g unlocked & sim free"|£145.99|13 megapixel||nano sim|octa core|1.5 & 1.2ghz|2gb|16gb|1080p and over|5.2 inches|android 5.1 lollipop|4g
"cat s40 rugged smartphone black 4.7"" 16gb 4g dual sim unlocked & sim free"|£30.99|8 megapixel||dual sim||||16gb|||android 5.1 lollipop|4g
"honor 6x silver 5.5"" 32gb 4g dual sim unlocked & sim free"|£64.97|12 megapixel|8 megapixel|dual sim|octa core|2.1 & 1.7ghz|3gb|32gb|1080p and over|5.5 inches|android 6.0 marshmallow|4g
"apple iphone 7 plus black 5.5"" 32gb 4g unlocked & sim free"|£705|12 megapixel|7 megapixel|nano sim|quad core|performance|3gb|32gb|1080p and over|5.5 inches|ios 10|4g
"samsung galaxy a5 2016 white 5.2"" 16gb 4g unlocked & sim free"|£140.99|13 megapixel||nano sim|octa core|1.5 & 1.2ghz|2gb|16gb|1080p and over|5.2 inches|android 5.1 lollipop|4g
"samsung galaxy s8+ orchid grey 6.2"" 64gb 4g unlocked & sim free"|£131.97|12 megapixel|8 megapixel|nano sim|samsung exynos|2.4 & 1.9ghz|4gb|64gb|1440x2960 pixels|6.2 inches|android 7.0 nougat|4g
"iphone 6s 32gb space grey 4.7"" unlocked & sim free"|£500|12 megapixel||nano sim|a9|||32gb|||ios 9|4g
"alcatel 20.51x silver 2.4"" 8mb 2g unlocked & sim free"|£37|2 megapixel||micro sim||312mhz|8mb|8mb|320x240 pixels|2.4 inches|threadx|2g
motorola moto z black 5.5 inch 32gb 4g unlocked & sim free|£44.99|13 megapixel||nano sim|quad core|2.1 & 1.6ghz|4gb|32gb|1080p and over|5.5 inches|android 6.0 marshmallow|4g
"lg google nexus 5x white 5.2"" 32gb 4g unlocked & sim free"|£80.99|12.3 megapixel|||snapdragon 808|1.8ghz|2gb|32gb||5.2 inches|android 6.0 marshmallow|4g
"lg google nexus 5x white 5.2"" 32gb 4g unlocked & sim free"|£80.99|12.3 megapixel|||snapdragon 808|1.8ghz|2gb|32gb||5.2 inches|android 6.0 marshmallow|4g
blackberry leap black 16gb unlocked & sim free|£40.98|8 megapixel|2 megapixel|micro sim|dual core|everyday|2gb|16gb|720p|5 inches|blackberry|4g
"doro liberto 820 mini black/steel 4"" 4gb 3g unlocked & sim free"|£55.02|5 megapixel||micro sim|dual core|everyday|512mb|4gb|under 720p|4 inches|android 4.2 jelly bean|3g
sony xperia xa ultra white 6 inch 16gb 4g unlocked & sim free|£84.98|21 megapixel||nano sim|octa core|2 & 1ghz|3gb|16gb|1080p and over||android 6.0 marshmallow|4g
"archos 55b platinum blue 5.5"" 8gb 3g unlocked & sim free"|£14.97|8 megapixel||nano sim|sc7731g|everyday|1gb|8gb|720p|5.5 inches|android 5.1 lollipop|3g
"cubot manito black 5"" 16gb 4g unlocked & sim free"|£25.99|13 megapixel|5 megapixel|micro sim|quad core|everyday|3gb|16gb|720p|5 inches|android 6.0 marshmallow|4g
"cubot rainbow 2 blue 5"" 16gb 3g unlocked & sim free"|£79|12 megapixel|2 megapixel|nano sim|quad core|everyday|1gb|16gb|720p|5 inches|android 7.0 nougat|3g
"samsung s6 edge white pearl 5.1"" 32gb 4g unlocked & sim free"|£134.98|16 megapixel|5 megapixel|nano sim|octa core|performance|3gb|32gb|1080p and over|5.1 inches|android 5.0 lollipop|4g
"alcatel u5 3g sharp blue 5"" 8gb unlocked & sim free - dual sim"|£14.97|5 megapixel|2 megapixel|micro sim|quad core|everyday|1gb|8gb|854x480 pixels|5 inches|android 7.0 nougat|3g
"htc u 11 ice white 5.5"" 64gb 4g unlocked & sim free"|£108.97|12 megapixel|16 megapixel|nano sim|octa core|2.45ghz|4gb|64gb|1080p and over|5.5 inches|android 7.0 nougat|4g
"cubot echo gold 5"" 16gb 3g unlocked & sim free"|£79|13 megapixel|5 megapixel|micro sim|quad core|everyday|2gb|16gb|720p|5 inches|android 6.0 marshmallow|3g
"honor 5c dark grey 5.2"" 16gb 4g dual sim unlocked & sim free"|£24.99|13 megapixel|8 megapixel|nano sim|octa core|2 & 1.7ghz|2gb|16gb|1080p and over|5.2 inches|android 6.0 marshmallow|4g
"apple iphone se silver 4"" 32gb 4g unlocked & sim free"|£385|12 megapixel||nano sim|a9|performance|2gb|32gb|under 720p||ios 9|4g
"htc desire 650 dark blue 5"" 16gb 4g unlocked & sim free"|£21.97|13 megapixel||nano sim|quad core|1.6ghz|2gb|16gb|720p|5 inches|android 6.0 marshmallow|4g
samsung galaxy j3 white 2016 5 inch 8gb 4g unlocked & sim free|£60.99|8 megapixel|5 megapixel|micro sim|quad core|everyday|1.5gb|16gb|720p|5 inches|android 5.1 lollipop|4g
"alcatel a3 prime black 5"" 16gb 4g unlocked & sim free"|£24.97|13 megapixel|5 megapixel|nano sim|quad core|1.25ghz|1.5gb|16gb|1280 x 720 pixels|5 inches|android 6.0 marshmallow|4g
"motorola moto g4 white 5.5"" 16gb 4g dual sim unlocked & sim free"|£50.02|13 megapixel||micro sim|octa core|1.5 & 1.2ghz|2gb|16gb|1080p and over|5.5 inches|android 6.0 marshmallow|4g
"sony xperia m5 black 5"" 16gb 4g unlocked & sim free"|£124.99|21 megapixel|13 megapixel|nano sim|octa core|performance|2gb|16gb|1080p and over|5 inches|android 5.0 lollipop|4g
htc u play 32g black oil - black|£114.97||||helio p10|2ghz|3gb|||||
