Resource URI	root.title	Graphics.GraphicType	Graphics.GraphicsManufacturer	Graphics.Graphicscard	Graphics.GraphicsMemory	Processor.ClockSpeed	KeySpecification.Processormanufacturer	Processor.ProcessorModel	Processor.ProcessorNumber	Storage.Harddrivecapacity	Storage.SSDCapacity	Memory.Memorytype	Memory.RAMMemory	root.price	KeySpecification.Formfactor	Operatingsystem.OperatingSystem	Warranty.ManufacturerWarranty	KeySpecification.Screensize	Display.ScreenResolution
http://www.debenhamsplus.com/desktops/p/1197927/msi-cubi-243we-intel-celeron-3215u-4gb-32gb-ssd-windows-10-desktop	msi cubi-243we intel celeron 3215u 4gb 32gb ssd windows 10 desktop	integrated	intel			1.7ghz	intel	intel celeron	3215u		32gb		4gb	£21.97	ultra small form factor (usff)	windows 10	2 year warranty		
http://www.debenhamsplus.com/desktops/p/1190721/lenovo-ideacentre-510s-08ish-core-i3-6100-8gb-1tb-dvd-rw-windows-10-desktop	lenovo ideacentre 510s-08ish core i3-6100 8gb 1tb dvd-rw windows 10 desktop	integrated	intel			3.7ghz	intel	intel core i3	i3-6100	1tb		ddr4 sdram	8gb	£465	tower	windows 10 home	1 year warranty		
http://www.debenhamsplus.com/desktops/p/1183283/hp-omen-870-185na-core-i7-6700-16gb-3tb-256gb-ssd-geforce-gtx-1080-windows-10-gaming-desktop	hp omen 870-185na core i7-6700 16gb 3tb + 256gb ssd geforce gtx 1080 windows 10 gaming desktop	dedicated	nvidia	geforce gtx 1080	8gb	3.4ghz	intel	intel core i7	6700	3tb	256gb	ddr4 sdram	16gb	£414.97	tower	windows 10	1 year warranty		
http://www.debenhamsplus.com/desktops/p/905755/apple-mac-mini-dual-core-i5-.8ghz-8gb-1tb-fusion-iris-graphics-apple-os-x-10.10-yosemite-desktop	apple mac mini dual-core i5 8gb 1tb apple os x 10.12 sierra desktop	integrated	hd graphics			2.8ghz	intel	intel core i5	apple	1tb		lpddr3 sdram	8gb	£90.97	ultra small form factor (usff)	apple os x 10.12 sierra	1 year warranty		
http://www.debenhamsplus.com/desktops/p/905754/apple-macmini-.6ghz-intel-dual-core-i5-8gb-1ytb-intel-hd-5000-usb-3.0-hdmi-dvi-os-x-yosemite-ml-bt-4.0-cr-wlan-1yr	apple mac mini intel dual core i5 8gb 1tb apple os x 10.12 sierra desktop	integrated	hd graphics			2.5ghz	intel	intel core i5	apple	1tb		lpddr3 sdram	8gb	£625	desktop slimline	apple os x 10.12 sierra	1 year warranty		
http://www.debenhamsplus.com/desktops/p/1195305/acer-aspire-tc-780-core-i5-7400-8gb-2tb-dvd-rw-windows-10-desktop	acer aspire tc-780 core i5-7400 8gb 2tb dvd-rw windows 10 desktop	integrated	intel			3ghz	intel	intel core i5	i5-7400	2tb		ddr4 sdram	8gb	£95.97	tower	windows 10	1 year warranty		
http://www.debenhamsplus.com/desktops/p/1199106/lenovo-ideacentre-y900-re-34isz-core-i7-6700k-16gb-2tb-256gb-ssd-geforce-gtx-1070-windows-10-gaming-desktop	lenovo ideacentre y900 re-34isz core i7-6700k 16gb 2tb + 256gb ssd geforce gtx 1070 windows 10 gaming desktop	dedicated	nvidia	geforce gtx 1070	8gb	4ghz	intel	intel core i7	6700k	2tb	256gb		16gb	£347.97	tower	windows 10	1 year warranty		
http://www.debenhamsplus.com/desktops/p/1144775/asus-k20ce-pentium-n3700-4gb-1tb-windows-10-desktop	asus k20ce pentium n3700 4gb 1tb dvd-rw windows 10 desktop	integrated	intel			1.6ghz	intel	intel pentium	n3700	1tb		ddr3l sdram	4gb	£74.97	mini pc	windows 10			
http://www.debenhamsplus.com/desktops/p/1199112/lenovo-ideacentre-310-20iap-intel-pentium-j4205-4gb-1tb-dvd-rw-19.5-inch-windows-10-all-in-one-white	lenovo ideacentre 310-20iap intel pentium j4205 4gb 1tb dvd-rw 19.5 inch windows 10 all in one - white	integrated	intel			1.5ghz	intel	intel pentium	j4205	1tb			4gb	£425	all in one	windows 10	1 year warranty	19.5in	
http://www.debenhamsplus.com/desktops/p/1057367/hp-800-g-core-i5-6500-4gb-500gb-dvd-sm-windows-10-professional-3-all-in-one	hp proone 800 g2 core i5-6500 4gb 500gb dvd-rw 23 inch windows 10 professional all in one desktop	integrated	intel			3.2ghz	intel	intel core i5	6500	500gb		ddr4 sdram	4gb	£227.97	all in one	windows 10 pro	3 year warranty	23in	1920 x 1080
