TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
hystou fmp03 fanless mini pc|unsupport ||mini pc |||32bit ||hystou |hystou |$263.73|||||||||16gb |ddr4 |intel hd graphics 4400 |core-i5-4250u ||2.6ghz ||4g emmc + 64g ssd ||||1.2500 kg |19.80 x 19.80 x 3.70 cm / 7.8 x 7.8 x 1.46 inches |||||silver |0
gole gole1 5 inch 720 x 1280 mini pc windows 10 / android 5.1|bluetooth4.0 ||mini pc ||android 5.1,windows 10 |64bit ||||$149.39||||||802.11 b/g/n/ac |||4g ||gen 8 graphics |intel cherry trail z8300 ||1.84ghz,quad core ||32g ||||0.200 kg |13.50 x 9.00 x 2.00 cm / 5.31 x 3.54 x 0.79 inches |||||golden |
gole gole1 5 inch 720 x 1280 mini pc windows 10 / android 5.1|bluetooth4.0 ||mini pc ||android 5.1,windows 10 |64bit ||||$149.99||||||802.11 b/g/n/ac |||4g |ddr3 |gen 8 graphics |intel atom x5-z8350 ||1.84ghz,quad core ||64g ||||0.200 kg |13.50 x 9.00 x 2.00 cm / 5.31 x 3.54 x 0.79 inches |||||golden |
voyo v1 mini pc intel celeron n3450|unsupport ||mini pc ||windows 10.1 |64bit ||voyo |voyo |$189.99|||||||||4g |ddr3l |intel hd graphic |intel celeron n3450 ||quad core |2tb |128g ||||0.4000 kg |12.00 x 12.00 x 2.70 cm / 4.72 x 4.72 x 1.06 inches |||||blue,golden,rose gold |1000m 
voyo v1 vmac mini pc|unsupport ||mini pc ||windows 10 |64bit ||voyo |voyo |$149.99|||||||||4g ram ||intel hd graphic |apollo lake n3450 ||quad core ||64g rom ||||0.4000 kg |12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches ||||||1000m 
onda m3 mini pc|||mini pc |||64bit ||onda |onda |$284.82|||||||||4g ram |ddr3 ||intel celeron g1840 ||single core |128gb |128g rom ||||1.3070 kg |19.70 x 19.70 x 3.30 cm / 7.76 x 7.76 x 1.3 inches |||||golden |
hystou fmp03 fanless mini pc|||mini pc |||32bit ||hystou |hystou |$203.37||||||||||ddr3 |intel hd graphics 4400 |core-i3-5005u ||2.0ghz ||||||1.250 kg |19.80 x 19.80 x 3.70 cm / 7.8 x 7.8 x 1.46 inches |||||silver |
morefine m1s mini pc stick|bluetooth4.0 ||mini pc ||windows 10 |64bit ||morefine |morefine |$181.14|||||||||4g ram |ddr3 |intel hd graphic |intel atom x5-z8350 ||quad core |128gb |64g rom ||||0.0650 kg |12.40 x 3.70 x 1.20 cm / 4.88 x 1.46 x 0.47 inches |||||black |no 
voyo v1 vmac mini pc|unsupport ||mini pc ||windows 10 |64bit ||voyo |voyo |$149.99|||||||||4g ram |ddr3 |intel hd graphic |apollo lake n3450 ||quad core ||64g rom ||||0.4000 kg |12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches ||||||1000m 
chuwi hibox mini pc android 5.1 + window 10 dual os 64bit|bluetooth4.0 ||mini pc ||android 5.1,windows 10 |64bit ||chuwi |chuwi |$119.99||||||802.11 a/b/g/n/ac |||4g ram |ddr3 |intel hd graphic |||quad core |128g |64g rom ||||0.2000 kg |12.00 x 12.00 x 2.50 cm / 4.72 x 4.72 x 0.98 inches |||||black |1000m / 100m 
k8 mini pc usb 3.0 foldable keyboard|bluetooth4.0 ||mini pc |||64bit ||||$185.4|||||||||4g |ddr3 |intel hd graphic 5500 |intel z8300 ||2.0ghz,quad core |128gb |64g ||||0.5000 kg |38.50 x 12.00 x 1.50 cm / 15.16 x 4.72 x 0.59 inches |||||black |no 
chuwi hibox mini pc android 5.1 + window 10 dual os 64bit|bluetooth4.0 ||mini pc ||android 5.1,windows 10 |64bit ||chuwi |chuwi |$119.99||||||802.11 a/b/g/n/ac |||4g ram |ddr4 |intel hd graphic |||quad core |128g |64g rom ||||0.2000 kg |12.00 x 12.00 x 2.50 cm / 4.72 x 4.72 x 0.98 inches |||||black |1000m / 100m 
k8 mini pc usb 3.0 foldable keyboard|bluetooth4.0 ||gaming,mini pc |||64bit ||||$156.61|||||||||4g |ddr3 |intel hd graphic 5500 |intel z8300 ||2.0ghz,quad core |128gb |64g ||||0.5000 kg |38.50 x 12.00 x 1.50 cm / 15.16 x 4.72 x 0.59 inches |||||black |no 
